VALEUR,#raton,#totinet,#momus,#rozette,#tricolor,#tous-deux,#tous-quatre,#tous-cinq
Fréquences (scènes),1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25
Fréquences(répliques),0.21634615384615385,0.1875,0.2980769230769231,0.11057692307692307,0.125,0.004807692307692308,0.04807692307692308,0.009615384615384616
Confrontation,0.16666666666666666,0.16666666666666666,0.13636363636363635,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.10606060606060606,0.10606060606060606
Déviations,#raton,#totinet,#momus,#rozette,#tricolor,#tous-deux,#tous-quatre,#tous-cinq
#raton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#raton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#momus,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5
#rozette,0.0,0.0,0.5,2.25,2.25,2.25,2.25,2.25
#rozette,0.0,0.0,0.5,2.25,2.25,2.25,2.25,2.25
#rozette,0.0,0.0,0.5,2.25,2.25,2.25,2.25,2.25
#rozette,0.0,0.0,0.5,2.25,2.25,2.25,2.25,2.25
#rozette,0.0,0.0,0.5,2.25,2.25,2.25,2.25,2.25
Successions,#raton,#totinet,#momus,#rozette,#tricolor,#tous-deux,#tous-quatre,#tous-cinq
#raton,0.043478260869565216,0.782608695652174,0.13043478260869565,0.0,0.043478260869565216,0.0,0.0,0.0
#totinet,0.75,0.0,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0
#momus,0.23529411764705882,0.35294117647058826,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,0.0
#rozette,0.1,0.0,0.2,0.0,0.7,0.0,0.0,0.0
#tricolor,0.0,0.0,0.18181818181818182,0.7272727272727273,0.0,0.09090909090909091,0.0,0.0
#tous-deux,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#tous-quatre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tous-quatre,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
