VALEUR,#philoxandre,#clyton,#le-roi,#arcylas,#alceste,#orphise,#archestrate,#soldat,#lucinde,#acante,#apollonie
Fréquences (scènes),0.4,0.16,0.48,0.16,0.44,0.4,0.52,0.04,0.32,0.04,0.04
Fréquences(répliques),0.2812105926860025,0.02459016393442623,0.21563682219419925,0.004413619167717529,0.07503152585119799,0.08511979823455233,0.21626733921815888,0.0006305170239596469,0.07503152585119799,0.013240857503152586,0.008827238335435058
Confrontation,0.1320754716981132,0.04716981132075472,0.16037735849056603,0.05188679245283019,0.16037735849056603,0.1320754716981132,0.1509433962264151,0.02358490566037736,0.07547169811320754,0.0330188679245283,0.0330188679245283
Déviations,#philoxandre,#clyton,#le-roi,#arcylas,#alceste,#orphise,#archestrate,#soldat,#lucinde,#acante,#apollonie
#philoxandre,9.0,1.2249999999999999,0.008333333333333349,0.22500000000000006,0.036363636363636424,0.25,0.623076923076923,0.8999999999999999,0.4500000000000001,0.8999999999999999,0.8999999999999999
#clyton,1.2249999999999999,17.639999999999997,0.44083333333333324,0.20249999999999999,0.3281818181818182,1.6000000000000003,0.40692307692307683,0.16,0.061250000000000006,0.16,0.16
#le-roi,0.008333333333333273,0.44083333333333324,6.760000000000001,2.253333333333334,1.401212121212121,1.0083333333333326,0.2464102564102565,0.5633333333333335,2.100416666666667,0.5633333333333335,0.5633333333333335
#arcylas,0.22500000000000006,0.20249999999999999,2.253333333333334,17.639999999999997,0.8736363636363637,0.22500000000000006,0.5607692307692308,0.16,1.28,0.16,0.16
#alceste,0.036363636363636424,0.3281818181818182,1.401212121212122,0.8736363636363637,7.84,4.809090909090908,0.5172027972027976,0.7127272727272729,0.6563636363636364,0.7127272727272729,0.7127272727272729
#orphise,0.25,1.6000000000000003,1.0083333333333335,0.22500000000000006,4.809090909090908,9.0,0.9307692307692309,0.8999999999999999,0.4500000000000001,0.8999999999999999,0.8999999999999999
#archestrate,0.623076923076923,0.40692307692307683,0.2464102564102565,0.5607692307692308,0.517202797202797,0.9307692307692309,5.760000000000001,0.44307692307692303,0.8138461538461537,0.44307692307692303,0.44307692307692303
#soldat,0.8999999999999999,0.16,0.5633333333333335,0.16,0.7127272727272729,0.8999999999999999,0.44307692307692303,23.04,0.32,0.04,0.04
#lucinde,0.4500000000000001,0.061250000000000006,2.100416666666667,1.28,0.6563636363636364,0.4500000000000001,0.8138461538461537,0.32,11.559999999999997,1.4449999999999996,1.4449999999999996
#acante,0.8999999999999999,0.16,0.5633333333333335,0.16,0.7127272727272729,0.8999999999999999,0.44307692307692303,0.04,1.4449999999999996,23.04,23.04
#acante,0.8999999999999999,0.16,0.5633333333333335,0.16,0.7127272727272729,0.8999999999999999,0.44307692307692303,0.04,1.4449999999999996,23.04,23.04
Successions,#philoxandre,#clyton,#le-roi,#arcylas,#alceste,#orphise,#archestrate,#soldat,#lucinde,#acante,#apollonie
#philoxandre,0.0,0.10810810810810811,0.40540540540540543,0.0,0.0,0.0,0.4864864864864865,0.0,0.0,0.0,0.0
#clyton,0.5714285714285714,0.0,0.07142857142857142,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0
#le-roi,0.4393939393939394,0.0,0.030303030303030304,0.06060606060606061,0.13636363636363635,0.06060606060606061,0.18181818181818182,0.015151515151515152,0.015151515151515152,0.030303030303030304,0.030303030303030304
#arcylas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alceste,0.0,0.047619047619047616,0.23809523809523808,0.0,0.047619047619047616,0.5714285714285714,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0
#orphise,0.0,0.0,0.2857142857142857,0.0,0.42857142857142855,0.0,0.0,0.0,0.23809523809523808,0.0,0.047619047619047616
#archestrate,0.42045454545454547,0.056818181818181816,0.13636363636363635,0.0,0.011363636363636364,0.0,0.022727272727272728,0.0,0.3522727272727273,0.0,0.0
#arcylas,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucinde,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.1282051282051282,0.8205128205128205,0.0,0.0,0.0,0.0
#acante,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#apollonie,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
