VALEUR,#attale,#prusias,#araxe,#nicomede,#elise,#alcine,#annibal,#flaminius,#procule
Fréquences (scènes),0.3055555555555556,0.5,0.1388888888888889,0.19444444444444445,0.4722222222222222,0.1111111111111111,0.2777777777777778,0.2777777777777778,0.05555555555555555
Fréquences(répliques),0.12985074626865672,0.24129353233830847,0.031840796019900496,0.10497512437810945,0.1855721393034826,0.01890547263681592,0.15970149253731344,0.12238805970149254,0.005472636815920398
Confrontation,0.140625,0.171875,0.0546875,0.078125,0.21875,0.0625,0.1328125,0.125,0.015625
Déviations,#attale,#prusias,#araxe,#nicomede,#elise,#alcine,#annibal,#flaminius,#procule
#attale,17.361111111111104,0.4090909090909091,1.527777777777778,2.138888888888889,0.0072786690433749406,0.04040404040404036,0.29191919191919175,0.29191919191919175,0.611111111111111
#prusias,0.4090909090909091,9.0,0.9,0.6428571428571429,1.4411764705882353,0.5,1.8,0.2,1.0
#araxe,1.527777777777778,0.9,26.694444444444443,0.0007936507936507944,0.7846405228758171,0.5555555555555556,0.10888888888888885,1.3888888888888888,0.2777777777777778
#nicomede,2.1388888888888893,0.6428571428571429,0.0007936507936507879,23.361111111111114,0.14589169000933716,0.7777777777777776,0.5730158730158728,1.9444444444444446,0.3888888888888888
#elise,0.0072786690433749406,1.4411764705882353,0.7846405228758171,0.14589169000933694,10.027777777777782,2.3594771241830066,0.01633986928104574,0.1104575163398693,0.9444444444444444
#alcine,0.040404040404040435,0.5,0.5555555555555556,0.7777777777777778,2.3594771241830066,28.444444444444443,0.01111111111111112,0.01111111111111112,0.2222222222222222
#annibal,0.29191919191919175,1.8,0.10888888888888885,0.5730158730158731,0.01633986928104574,0.01111111111111112,18.77777777777778,1.1377777777777778,0.5555555555555556
#flaminius,0.29191919191919175,0.2,1.3888888888888888,1.9444444444444444,0.1104575163398693,0.01111111111111112,1.1377777777777778,18.77777777777778,3.755555555555555
#procule,0.6111111111111112,1.0,0.2777777777777778,0.3888888888888889,0.9444444444444444,0.2222222222222222,0.5555555555555556,3.755555555555555,32.111111111111114
Successions,#attale,#prusias,#araxe,#nicomede,#elise,#alcine,#annibal,#flaminius,#procule
#attale,0.0,0.5106382978723404,0.0,0.0,0.23404255319148937,0.0,0.06382978723404255,0.19148936170212766,0.0
#prusias,0.26136363636363635,0.022727272727272728,0.18181818181818182,0.11363636363636363,0.125,0.011363636363636364,0.06818181818181818,0.2159090909090909,0.0
#araxe,0.05263157894736842,0.7894736842105263,0.0,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.0
#nicomede,0.0,0.22727272727272727,0.06818181818181818,0.0,0.5,0.0,0.20454545454545456,0.0,0.0
#elise,0.1527777777777778,0.18055555555555555,0.0,0.2777777777777778,0.05555555555555555,0.18055555555555555,0.08333333333333333,0.06944444444444445,0.0
#alcine,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.07142857142857142,0.0
#annibal,0.12121212121212122,0.15151515151515152,0.0,0.3333333333333333,0.18181818181818182,0.0,0.030303030303030304,0.18181818181818182,0.0
#flaminius,0.2,0.4,0.0,0.0,0.1111111111111111,0.0,0.15555555555555556,0.0,0.13333333333333333
#procule,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0
