VALEUR,#axiane,#alcine,#ariarate,#phradate,#anaxandre,#cleone,#laodice,#theodot,#aquilius
Fréquences (scènes),0.32142857142857145,0.03571428571428571,0.5714285714285714,0.21428571428571427,0.25,0.14285714285714285,0.5714285714285714,0.03571428571428571,0.14285714285714285
Fréquences(répliques),0.13636363636363635,0.03215077605321508,0.25110864745011086,0.07649667405764966,0.06485587583148558,0.025498891352549888,0.3630820399113082,0.004988913525498891,0.045454545454545456
Confrontation,0.14130434782608695,0.010869565217391304,0.22826086956521738,0.10869565217391304,0.13043478260869565,0.05434782608695652,0.22826086956521738,0.021739130434782608,0.07608695652173914
Déviations,#axiane,#alcine,#ariarate,#phradate,#anaxandre,#cleone,#laodice,#theodot,#aquilius
#axiane,12.89285714285714,1.4325396825396828,0.25396825396825373,0.00264550264550266,0.6944444444444444,1.2857142857142856,0.25396825396825373,0.3214285714285714,0.06349206349206343
#alcine,1.4325396825396826,26.03571428571429,0.5714285714285714,0.21428571428571427,0.25,0.14285714285714285,0.5714285714285714,0.03571428571428571,0.14285714285714285
#ariarate,0.2539682539682541,0.5714285714285714,5.142857142857144,0.0952380952380953,0.0,0.7232142857142856,1.8772321428571423,0.3214285714285715,0.035714285714285685
#phradate,0.0026455026455026267,0.21428571428571427,0.0952380952380953,17.28571428571429,0.16666666666666666,0.8571428571428571,0.5952380952380951,0.21428571428571427,0.023809523809523826
#anaxandre,0.6944444444444444,0.25,0.0,0.16666666666666666,15.75,1.0,0.0,2.25,0.0
#cleone,1.2857142857142858,0.14285714285714285,0.7232142857142856,0.8571428571428571,1.0,20.571428571428577,1.285714285714286,0.14285714285714285,0.5714285714285714
#laodice,0.2539682539682541,0.5714285714285714,1.8772321428571423,0.5952380952380951,0.0,1.285714285714286,5.142857142857144,0.5714285714285714,0.035714285714285685
#theodot,0.32142857142857145,0.03571428571428571,0.3214285714285715,0.21428571428571427,2.25,0.14285714285714285,0.5714285714285714,26.03571428571429,0.14285714285714285
#aquilius,0.06349206349206353,0.14285714285714285,0.035714285714285685,0.023809523809523826,0.0,0.5714285714285714,0.035714285714285685,0.14285714285714285,20.571428571428577
Successions,#axiane,#alcine,#ariarate,#phradate,#anaxandre,#cleone,#laodice,#theodot,#aquilius
#axiane,0.0,0.2727272727272727,0.5,0.0,0.045454545454545456,0.0,0.1590909090909091,0.0,0.022727272727272728
#alcine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ariarate,0.25,0.011363636363636364,0.011363636363636364,0.20454545454545456,0.1590909090909091,0.011363636363636364,0.3409090909090909,0.011363636363636364,0.0
#phradate,0.047619047619047616,0.0,0.7142857142857143,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.047619047619047616
#anaxandre,0.03225806451612903,0.0,0.4838709677419355,0.03225806451612903,0.0,0.0,0.25806451612903225,0.0967741935483871,0.0967741935483871
#cleone,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.9230769230769231,0.0,0.0
#laodice,0.11428571428571428,0.0,0.44285714285714284,0.02857142857142857,0.1,0.17142857142857143,0.04285714285714286,0.0,0.1
#theodot,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0
#aquilius,0.0,0.0,0.23076923076923078,0.0,0.23076923076923078,0.0,0.5384615384615384,0.0,0.0
