VALEUR,#mercure,#la-paix,#bacchus,#l-amour,#thalie,#thalie #mercure,#un-thessalien,#jupiter,#faunus,#corine,#junon,#l-inconstance,#philene,#merope,#philis,#philis #philene,#philis #tircis,#un-suivant-de-bacchus,#une-bacchante,#un-petit-amour,#une-suivante-de-l-amour,#venus,#une-thessalienne
Fréquences (scènes),0.27906976744186046,0.046511627906976744,0.16279069767441862,0.23255813953488372,0.023255813953488372,0.0,0.0,0.20930232558139536,0.3953488372093023,0.3023255813953488,0.13953488372093023,0.06976744186046512,0.09302325581395349,0.16279069767441862,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.023255813953488372,0.16279069767441862,0.0
Fréquences(répliques),0.11961722488038277,0.025358851674641147,0.06124401913875598,0.05741626794258373,0.009569377990430622,0.00430622009569378,0.03684210526315789,0.11961722488038277,0.1598086124401914,0.13779904306220095,0.05406698564593301,0.027751196172248804,0.02583732057416268,0.10095693779904306,0.0028708133971291866,0.0019138755980861245,0.0019138755980861245,0.0066985645933014355,0.0066985645933014355,0.0014354066985645933,0.0028708133971291866,0.03205741626794258,0.0033492822966507177
Confrontation,0.08849557522123894,0.022123893805309734,0.07964601769911504,0.09734513274336283,0.017699115044247787,0.0,0.0,0.061946902654867256,0.1592920353982301,0.084070796460177,0.022123893805309734,0.035398230088495575,0.04424778761061947,0.061946902654867256,0.02654867256637168,0.02654867256637168,0.02654867256637168,0.035398230088495575,0.01327433628318584,0.022123893805309734,0.022123893805309734,0.05309734513274336,0.0
Déviations,#mercure,#la-paix,#bacchus,#l-amour,#thalie,#thalie #mercure,#un-thessalien,#jupiter,#faunus,#corine,#junon,#l-inconstance,#philene,#merope,#philis,#philis #philene,#philis #tircis,#un-suivant-de-bacchus,#une-bacchante,#un-petit-amour,#une-suivante-de-l-amour,#venus,#une-thessalienne
#mercure,22.348837209302335,3.724806201550387,0.46539313399778526,0.22403100775193802,1.8624031007751936,0.0,0.0,8.020887166236005,1.5873233014135884,3.627906976744186,1.6744186046511627,0.031653746770025866,1.1162790697674418,0.46539313399778526,0.27906976744186046,0.27906976744186046,0.27906976744186046,0.5581395348837209,0.27906976744186046,0.27906976744186046,0.27906976744186046,0.5606312292358803,0.0
#la-paix,3.724806201550387,39.093023255813954,1.3970099667774085,0.6151162790697676,19.546511627906977,0.0,0.0,0.4186046511627907,0.7906976744186046,0.6046511627906976,0.27906976744186046,0.13953488372093023,0.18604651162790695,0.32558139534883723,0.04651162790697674,0.04651162790697674,0.04651162790697674,0.09302325581395347,0.04651162790697674,0.04651162790697674,0.04651162790697674,0.32558139534883723,0.0
#bacchus,0.46539313399778526,1.3970099667774085,30.13953488372092,1.156478405315614,4.30564784053156,0.0,0.0,1.4651162790697676,1.8010553058432677,0.5888065422949146,0.9767441860465117,0.48837209302325585,0.6511627906976745,0.017085904129093554,0.16279069767441862,0.16279069767441862,0.16279069767441862,8.61129568106312,4.30564784053156,4.30564784053156,4.30564784053156,1.1395348837209305,0.0
#l-amour,0.22403100775193802,0.6151162790697676,1.156478405315614,25.32558139534883,2.532558139534884,0.0,0.0,2.0930232558139537,0.22995896032831734,3.023255813953488,0.26201550387596895,7.597674418604652,0.9302325581395349,1.6279069767441863,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.6151162790697676,0.23255813953488372,2.532558139534884,2.532558139534884,3.4564784053156137,0.0
#thalie,1.8624031007751936,19.546511627906977,4.30564784053156,2.532558139534884,41.02325581395348,0.0,0.0,0.20930232558139536,0.3953488372093023,0.3023255813953488,0.13953488372093023,0.06976744186046512,0.09302325581395347,0.16279069767441862,0.02325581395348837,0.02325581395348837,0.02325581395348837,0.04651162790697674,0.02325581395348837,0.02325581395348837,0.02325581395348837,0.16279069767441862,0.0
#thalie #mercure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
