VALEUR,#merope,#cephalie,#le-tyran,#demochare,#amynthor,#philoclee,#orphise,#tyrene,#telephonte,#tyndare,#tydee,#thoas
Fréquences (scènes),0.5,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.4090909090909091,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.2192448233861145,0.03714981729598051,0.10353227771010962,0.18940316686967112,0.0006090133982947625,0.2551766138855055,0.016443361753958587,0.04263093788063337,0.09805115712545676,0.031668696711327646,0.0030450669914738123,0.0030450669914738123
Confrontation,0.22727272727272727,0.16666666666666666,0.06060606060606061,0.07575757575757576,0.030303030303030304,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.015151515151515152,0.030303030303030304,0.030303030303030304
Déviations,#merope,#cephalie,#le-tyran,#demochare,#amynthor,#philoclee,#orphise,#tyrene,#telephonte,#tyndare,#tydee,#thoas
#merope,5.5,3.5,0.16666666666666666,2.5,0.5,0.05555555555555555,0.16666666666666666,1.5,0.16666666666666666,0.5,0.5,0.5
#cephalie,3.5,10.22727272727273,0.9545454545454545,1.590909090909091,0.3181818181818182,0.2604617604617605,0.0021645021645021714,0.9545454545454545,0.0021645021645021714,0.3181818181818182,0.3181818181818182,0.3181818181818182
#le-tyran,0.16666666666666666,0.9545454545454546,16.40909090909091,0.14848484848484855,5.469696969696971,1.2272727272727273,0.40909090909090906,0.40909090909090906,0.40909090909090906,0.13636363636363635,0.13636363636363635,0.13636363636363635
#demochare,2.5,1.590909090909091,0.14848484848484855,13.136363636363638,2.627272727272727,0.0010101010101010081,0.6818181818181818,0.6818181818181818,0.6818181818181818,2.627272727272727,0.2272727272727273,0.2272727272727273
#amynthor,0.5,0.3181818181818182,5.469696969696971,2.627272727272727,20.045454545454547,0.4090909090909091,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.045454545454545456,0.045454545454545456,0.045454545454545456
#philoclee,0.05555555555555555,0.2604617604617605,1.227272727272727,0.0010101010101010081,0.4090909090909091,7.681818181818182,0.48653198653198687,0.04208754208754202,0.04208754208754202,0.4090909090909091,0.4090909090909091,0.4090909090909091
#orphise,0.16666666666666666,0.0021645021645021606,0.40909090909090906,0.6818181818181818,0.13636363636363635,0.4865319865319865,16.40909090909091,0.40909090909090906,0.40909090909090906,0.13636363636363635,0.13636363636363635,0.13636363636363635
#tyrene,1.5,0.9545454545454546,0.40909090909090906,0.6818181818181818,0.13636363636363635,0.04208754208754209,0.40909090909090906,16.40909090909091,0.8535353535353537,0.13636363636363635,5.469696969696971,5.469696969696971
#telephonte,0.16666666666666666,0.0021645021645021606,0.40909090909090906,0.6818181818181818,0.13636363636363635,0.04208754208754209,0.40909090909090906,0.8535353535353537,16.40909090909091,0.13636363636363635,0.13636363636363635,0.13636363636363635
#tyndare,0.5,0.3181818181818182,0.13636363636363635,2.627272727272727,0.045454545454545456,0.4090909090909091,0.13636363636363635,0.13636363636363635,0.13636363636363635,20.045454545454547,0.045454545454545456,0.045454545454545456
#tydee,0.5,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.4090909090909091,0.13636363636363635,5.469696969696971,0.13636363636363635,0.045454545454545456,20.045454545454547,20.045454545454547
#tydee,0.5,0.3181818181818182,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.4090909090909091,0.13636363636363635,5.469696969696971,0.13636363636363635,0.045454545454545456,20.045454545454547,20.045454545454547
Successions,#merope,#cephalie,#le-tyran,#demochare,#amynthor,#philoclee,#orphise,#tyrene,#telephonte,#tyndare,#tydee,#thoas
#merope,0.0,0.23684210526315788,0.23684210526315788,0.013157894736842105,0.0,0.32894736842105265,0.06578947368421052,0.0,0.11842105263157894,0.0,0.0,0.0
#cephalie,0.9047619047619048,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0
#le-tyran,0.5757575757575758,0.0,0.0,0.3939393939393939,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#demochare,0.0,0.0,0.18181818181818182,0.0,0.0,0.5844155844155844,0.0,0.0,0.012987012987012988,0.22077922077922077,0.0,0.0
#amynthor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philoclee,0.3125,0.010416666666666666,0.0,0.46875,0.0,0.0,0.052083333333333336,0.13541666666666666,0.020833333333333332,0.0,0.0,0.0
#orphise,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0
#tyrene,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555,0.2222222222222222
#telephonte,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.5714285714285714,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
#tyndare,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tydee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
#thoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0
