VALEUR,#le-comte,#hortense,#cleonte,#aurelie,#lise,#le-valet-de-chambre,#blondel,#le-marquis,#davon,#le-suisse,#le-duc,#stemmate,#clenard,#le-baron,#le-maitre-d-hotel,#dimanche
Fréquences (scènes),0.35714285714285715,0.10714285714285714,0.125,0.32142857142857145,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.6071428571428571,0.23214285714285715,0.017857142857142856,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.10714285714285714,0.017857142857142856,0.017857142857142856
Fréquences(répliques),0.2096,0.06986666666666666,0.04853333333333333,0.11893333333333334,0.0096,0.0021333333333333334,0.0032,0.3157333333333333,0.0432,0.0021333333333333334,0.07893333333333333,0.005333333333333333,0.012266666666666667,0.0704,0.0005333333333333334,0.0096
Confrontation,0.14018691588785046,0.037383177570093455,0.056074766355140186,0.14485981308411214,0.004672897196261682,0.04672897196261682,0.009345794392523364,0.24766355140186916,0.08411214953271028,0.004672897196261682,0.11214953271028037,0.018691588785046728,0.02336448598130841,0.0514018691588785,0.004672897196261682,0.014018691588785047
Déviations,#le-comte,#hortense,#cleonte,#aurelie,#lise,#le-valet-de-chambre,#blondel,#le-marquis,#davon,#le-suisse,#le-duc,#stemmate,#clenard,#le-baron,#le-maitre-d-hotel,#dimanche
#le-comte,23.142857142857142,3.8095238095238098,0.1,0.028571428571428602,0.3571428571428571,1.4285714285714284,0.3571428571428571,0.8134453781512604,1.5043956043956046,0.3571428571428571,0.05142857142857138,0.3571428571428571,0.7142857142857142,0.6095238095238095,0.3571428571428571,0.3571428571428571
#hortense,3.8095238095238098,44.64285714285715,0.75,0.44708994708994726,0.10714285714285714,0.42857142857142855,0.10714285714285714,1.917366946778711,0.11080586080586079,0.10714285714285714,1.0714285714285714,0.10714285714285714,0.21428571428571427,0.6428571428571428,0.10714285714285714,0.10714285714285714
#cleonte,0.1,0.75,42.875,1.3611111111111112,0.125,0.5,0.125,0.36764705882352944,0.2403846153846154,0.125,0.05,0.125,0.25,0.75,0.125,0.125
#aurelie,0.028571428571428602,0.447089947089947,1.3611111111111112,25.78571428571428,1.4325396825396828,0.06349206349206343,1.4325396825396828,0.340336134453781,2.417887667887668,0.3214285714285714,0.45873015873015877,0.3214285714285714,0.6428571428571428,2.2248677248677255,0.3214285714285714,1.4325396825396828
#lise,0.35714285714285715,0.10714285714285714,0.125,1.4325396825396826,54.017857142857146,0.07142857142857142,0.017857142857142856,0.6071428571428571,0.23214285714285715,0.017857142857142856,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.10714285714285714,0.017857142857142856,0.017857142857142856
#le-valet-de-chambre,1.4285714285714286,0.42857142857142855,0.5,0.06349206349206353,0.07142857142857142,48.28571428571429,12.071428571428573,0.13445378151260512,0.9285714285714286,0.07142857142857142,7.314285714285713,12.071428571428573,5.142857142857144,0.42857142857142855,0.07142857142857142,0.07142857142857142
#blondel,0.35714285714285715,0.10714285714285714,0.125,1.4325396825396826,0.017857142857142856,12.071428571428573,54.017857142857146,0.6071428571428571,0.23214285714285715,0.017857142857142856,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.10714285714285714,0.017857142857142856,0.017857142857142856
#le-marquis,0.8134453781512604,1.9173669467787116,0.36764705882352944,0.34033613445378164,0.6071428571428571,0.13445378151260512,0.6071428571428571,8.642857142857144,0.5625404007756947,0.254201680672269,1.412605042016807,0.254201680672269,0.03781512605042014,0.03501400560224091,0.254201680672269,0.254201680672269
#davon,1.5043956043956046,0.11080586080586079,0.2403846153846154,2.417887667887668,0.23214285714285712,0.9285714285714285,0.23214285714285712,0.5625404007756952,33.017857142857146,0.23214285714285712,0.044505494505494556,0.23214285714285712,0.46428571428571425,0.11080586080586079,0.23214285714285712,0.23214285714285712
#le-suisse,0.35714285714285715,0.10714285714285714,0.125,0.32142857142857145,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.254201680672269,0.23214285714285715,54.017857142857146,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.10714285714285714,0.017857142857142856,0.017857142857142856
#le-duc,0.05142857142857138,1.0714285714285714,0.05,0.45873015873015877,0.17857142857142855,7.314285714285715,0.17857142857142855,1.412605042016807,0.044505494505494556,0.17857142857142855,37.78571428571428,3.7785714285714285,7.557142857142857,1.0714285714285714,0.17857142857142855,0.17857142857142855
#stemmate,0.35714285714285715,0.10714285714285714,0.125,0.32142857142857145,0.017857142857142856,12.071428571428573,0.017857142857142856,0.254201680672269,0.23214285714285715,0.017857142857142856,3.778571428571428,54.017857142857146,26.03571428571429,0.10714285714285714,0.017857142857142856,0.017857142857142856
#clenard,0.7142857142857143,0.21428571428571427,0.25,0.6428571428571429,0.03571428571428571,5.142857142857144,0.03571428571428571,0.03781512605042014,0.4642857142857143,0.03571428571428571,7.557142857142856,26.03571428571429,52.07142857142858,0.21428571428571427,0.03571428571428571,0.03571428571428571
#le-baron,0.6095238095238095,0.6428571428571428,0.75,2.2248677248677238,0.10714285714285714,0.42857142857142855,0.10714285714285714,0.035014005602241,0.11080586080586079,0.10714285714285714,1.0714285714285714,0.10714285714285714,0.21428571428571427,44.64285714285715,0.10714285714285714,7.440476190476192
#le-maitre-d-hotel,0.35714285714285715,0.10714285714285714,0.125,0.32142857142857145,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.254201680672269,0.23214285714285715,0.017857142857142856,0.17857142857142858,0.017857142857142856,0.03571428571428571,0.10714285714285714,54.017857142857146,0.017857142857142856
#dimanche,0.35714285714285715,0.10714285714285714,0.125,1.4325396825396826,0.017857142857142856,0.07142857142857142,0.017857142857142856,0.254201680672269,0.23214285714285715,0.017857142857142856,0.17857142857142858,0.017857142857142856,0.03571428571428571,7.440476190476192,0.017857142857142856,54.017857142857146
Successions,#le-comte,#hortense,#cleonte,#aurelie,#lise,#le-valet-de-chambre,#blondel,#le-marquis,#davon,#le-suisse,#le-duc,#stemmate,#clenard,#le-baron,#le-maitre-d-hotel,#dimanche
#le-comte,0.031007751937984496,0.40310077519379844,0.10077519379844961,0.03875968992248062,0.0,0.0,0.0,0.3023255813953488,0.015503875968992248,0.0,0.10852713178294573,0.0,0.0,0.0,0.0,0.0
#hortense,0.8387096774193549,0.0,0.0,0.14516129032258066,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cleonte,0.28888888888888886,0.0,0.0,0.4666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0
#aurelie,0.053763440860215055,0.08602150537634409,0.24731182795698925,0.010752688172043012,0.0967741935483871,0.010752688172043012,0.06451612903225806,0.16129032258064516,0.0,0.0,0.03225806451612903,0.0,0.0,0.23655913978494625,0.0,0.0
#lise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-valet-de-chambre,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lise,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
