VALEUR,#aldobrandin,#horace,#zima,#lucelle,#la-gouvernante,#le-notaire,#le-laquais,#le-recitant-de-la-marche,#le-chanteur-du-vaudeville
Fréquences (scènes),0.75,0.375,0.375,0.4375,0.3125,0.0625,0.0625,0.0,0.0
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2608695652173913,0.7391304347826086
Confrontation,0.2631578947368421,0.15789473684210525,0.14473684210526316,0.17105263157894737,0.17105263157894737,0.06578947368421052,0.02631578947368421,0.0,0.0
Déviations,#aldobrandin,#horace,#zima,#lucelle,#la-gouvernante,#le-notaire,#le-laquais,#le-recitant-de-la-marche,#le-chanteur-du-vaudeville
#aldobrandin,1.0,0.05555555555555555,0.05555555555555555,0.10714285714285714,0.016666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0
#horace,0.05555555555555555,6.25,0.027777777777777776,0.1488095238095238,0.675,1.0416666666666667,0.375,0.0,0.0
#zima,0.05555555555555555,0.027777777777777776,6.25,1.005952380952381,0.008333333333333333,1.0416666666666667,1.0416666666666667,0.0,0.0
#lucelle,0.10714285714285714,0.1488095238095238,1.005952380952381,5.0625,0.30178571428571427,0.7232142857142857,0.4375,0.0,0.0
#la-gouvernante,0.016666666666666666,0.675,0.008333333333333333,0.30178571428571427,7.5625,1.5125,0.3125,0.0,0.0
#le-notaire,0.08333333333333333,1.0416666666666667,1.0416666666666667,0.7232142857142857,1.5125,14.0625,0.0625,0.0,0.0
#le-laquais,0.08333333333333333,0.375,1.0416666666666667,0.4375,0.3125,0.0625,14.0625,0.0,0.0
#le-recitant-de-la-marche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-recitant-de-la-marche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#aldobrandin,#horace,#zima,#lucelle,#la-gouvernante,#le-notaire,#le-laquais,#le-recitant-de-la-marche,#le-chanteur-du-vaudeville
#aldobrandin,0.010416666666666666,0.3125,0.3229166666666667,0.16666666666666666,0.125,0.052083333333333336,0.010416666666666666,0.0,0.0
#horace,0.8095238095238095,0.023809523809523808,0.14285714285714285,0.0,0.023809523809523808,0.0,0.0,0.0,0.0
#zima,0.6170212765957447,0.1276595744680851,0.0,0.0,0.23404255319148937,0.02127659574468085,0.0,0.0,0.0
#lucelle,0.8,0.0,0.0,0.05,0.15,0.0,0.0,0.0,0.0
#la-gouvernante,0.41379310344827586,0.10344827586206896,0.3448275862068966,0.10344827586206896,0.0,0.034482758620689655,0.0,0.0,0.0
#le-notaire,0.5714285714285714,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#le-recitant-de-la-marche,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chanteur-du-vaudeville,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
