VALEUR,#colin,#nicolas,#claudine,#gros-jean,#grand-françois,#le-juge,#le-greffier,#tous-ensemble,#bertrand,#marion,#le-vielleux,#un-choeur-de-paysans,#un-autre-choeur
Fréquences (scènes),1.0,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.3841059602649007,0.1280353200883002,0.04856512141280353,0.08167770419426049,0.16997792494481237,0.08830022075055188,0.006622516556291391,0.011037527593818985,0.026490066225165563,0.008830022075055188,0.04194260485651214,0.002207505518763797,0.002207505518763797
Confrontation,0.16477272727272727,0.14204545454545456,0.125,0.09090909090909091,0.14772727272727273,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.05113636363636364,0.056818181818181816,0.03409090909090909,0.03409090909090909,0.03409090909090909
Déviations,#colin,#nicolas,#claudine,#gros-jean,#grand-françois,#le-juge,#le-greffier,#tous-ensemble,#bertrand,#marion,#le-vielleux,#un-choeur-de-paysans,#un-autre-choeur
#colin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicolas,0.0,0.14285714285714304,0.019047619047619032,0.07142857142857152,0.019047619047619032,0.023809523809523826,0.023809523809523826,0.023809523809523826,0.29761904761904756,0.29761904761904756,0.023809523809523826,0.023809523809523826,0.023809523809523826
#claudine,0.0,0.019047619047619032,0.5714285714285713,0.3428571428571429,0.05142857142857138,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.22857142857142873,0.12857142857142848,0.7142857142857142,0.7142857142857142,0.7142857142857142
#gros-jean,0.0,0.07142857142857152,0.3428571428571429,2.2857142857142865,0.3428571428571429,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.023809523809523826,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.42857142857142855
#grand-françois,0.0,0.019047619047619032,0.05142857142857138,0.3428571428571429,0.5714285714285713,0.11428571428571437,0.11428571428571437,0.11428571428571437,0.22857142857142873,0.22857142857142873,0.11428571428571437,0.11428571428571437,0.11428571428571437
#le-juge,0.0,0.023809523809523826,0.11428571428571427,0.7619047619047619,0.11428571428571427,5.142857142857144,5.142857142857144,5.142857142857144,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-juge,0.0,0.023809523809523826,0.11428571428571427,0.7619047619047619,0.11428571428571427,5.142857142857144,5.142857142857144,5.142857142857144,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#le-juge,0.0,0.023809523809523826,0.11428571428571427,0.7619047619047619,0.11428571428571427,5.142857142857144,5.142857142857144,5.142857142857144,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
#bertrand,0.0,0.29761904761904756,0.22857142857142854,0.023809523809523826,0.22857142857142854,0.2857142857142857,0.2857142857142857,0.2857142857142857,3.5714285714285716,0.3214285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857
