VALEUR,#lelie,#ergaste,#lydie,#eraste,#aurelie,#anselme,#eroxene,#geronte,#horace,#constance,#orgie
Fréquences (scènes),0.3870967741935484,0.3548387096774194,0.3548387096774194,0.25806451612903225,0.1935483870967742,0.3870967741935484,0.12903225806451613,0.12903225806451613,0.0967741935483871,0.25806451612903225,0.12903225806451613
Fréquences(répliques),0.15623409669211197,0.17709923664122137,0.1297709923664122,0.0737913486005089,0.04529262086513995,0.20763358778625954,0.026463104325699746,0.0717557251908397,0.0010178117048346056,0.06921119592875317,0.04173027989821883
Confrontation,0.13592233009708737,0.1262135922330097,0.10679611650485436,0.07281553398058252,0.11165048543689321,0.1553398058252427,0.06796116504854369,0.02912621359223301,0.038834951456310676,0.12135922330097088,0.03398058252427184
Déviations,#lelie,#ergaste,#lydie,#eraste,#aurelie,#anselme,#eroxene,#geronte,#horace,#constance,#orgie
#lelie,11.645161290322584,7.742913000977519,2.492913000977517,0.38844086021505375,0.1975806451612905,0.08960573476702495,0.19422043010752688,1.5483870967741935,0.022401433691756237,2.7217741935483875,1.5483870967741935
#ergaste,7.742913000977519,12.903225806451612,2.159424153559051,0.247800586510264,0.35630498533724353,0.015640273704789806,0.123900293255132,1.4193548387096777,0.0039100684261974515,0.47507331378299106,1.4193548387096777
#lydie,2.492913000977517,2.159424153559051,12.903225806451612,1.6455278592375364,0.35630498533724353,0.015640273704789806,1.7602639296187683,1.4193548387096777,1.064516129032258,0.009164222873900276,0.23753665689149553
#eraste,0.38844086021505375,0.247800586510264,1.6455278592375364,17.06451612903226,0.19422043010752688,0.38844086021505375,0.9072580645161291,1.032258064516129,0.7741935483870968,0.548891129032258,1.032258064516129
#aurelie,0.1975806451612905,0.35630498533724353,0.35630498533724353,0.19422043010752688,20.16129032258065,1.2114695340501798,1.9408602150537635,0.06586021505376345,0.30286738351254494,3.881720430107527,0.06586021505376345
#anselme,0.08960573476702495,0.015640273704789806,0.015640273704789806,0.38844086021505375,1.2114695340501798,11.645161290322584,0.1317204301075269,1.3608870967741937,2.911290322580646,0.2634408602150538,0.1317204301075269
#eroxene,0.19422043010752688,0.123900293255132,1.7602639296187683,0.9072580645161291,1.9408602150537635,0.1317204301075269,23.516129032258064,0.5161290322580645,0.3870967741935484,0.9072580645161291,0.45362903225806456
#geronte,1.5483870967741935,1.4193548387096777,1.4193548387096777,1.032258064516129,0.06586021505376345,1.3608870967741937,0.5161290322580645,23.516129032258064,6.720430107526881,1.032258064516129,0.5161290322580645
#horace,0.022401433691756237,0.0039100684261974515,1.064516129032258,0.7741935483870968,0.30286738351254494,2.911290322580646,0.3870967741935484,6.720430107526881,25.29032258064517,0.7741935483870968,0.3870967741935484
#constance,2.7217741935483875,0.47507331378299106,0.009164222873900276,0.548891129032258,3.881720430107527,0.2634408602150538,0.9072580645161291,1.032258064516129,0.7741935483870968,17.06451612903226,0.0010080645161290305
#orgie,1.5483870967741935,1.4193548387096777,0.23753665689149553,1.032258064516129,0.06586021505376345,0.1317204301075269,0.45362903225806456,0.5161290322580645,0.3870967741935484,0.0010080645161290305,23.516129032258064
Successions,#lelie,#ergaste,#lydie,#eraste,#aurelie,#anselme,#eroxene,#geronte,#horace,#constance,#orgie
#lelie,0.0,0.4057971014492754,0.014492753623188406,0.18840579710144928,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.2608695652173913,0.0
#ergaste,0.25773195876288657,0.0,0.041237113402061855,0.061855670103092786,0.010309278350515464,0.5257731958762887,0.0,0.0,0.030927835051546393,0.07216494845360824,0.0
#lydie,0.0,0.08333333333333333,0.013888888888888888,0.4861111111111111,0.013888888888888888,0.19444444444444445,0.06944444444444445,0.0,0.0,0.013888888888888888,0.125
#eraste,0.2711864406779661,0.05084745762711865,0.5423728813559322,0.0,0.0,0.06779661016949153,0.06779661016949153,0.0,0.0,0.0,0.0
#aurelie,0.16,0.08,0.0,0.0,0.0,0.28,0.0,0.44,0.0,0.04,0.0
#anselme,0.051470588235294115,0.34558823529411764,0.13970588235294118,0.007352941176470588,0.04411764705882353,0.0,0.007352941176470588,0.23529411764705882,0.022058823529411766,0.07352941176470588,0.07352941176470588
#eroxene,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0
#geronte,0.0,0.0,0.020833333333333332,0.0,0.20833333333333334,0.7083333333333334,0.0,0.0,0.0625,0.0,0.0
#horace,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0
#constance,0.4,0.175,0.05,0.025,0.05,0.175,0.025,0.0,0.0,0.0,0.1
#orgie,0.0,0.0,0.30434782608695654,0.043478260869565216,0.043478260869565216,0.5217391304347826,0.0,0.0,0.0,0.08695652173913043,0.0
