VALEUR,#merlin,#monsieur-grasset,#monsieur-la-montagne,#lisette,#gillette,#sotencour,#mathieu-crochet,#geronte,#leonore,#valere,#le-baron,#les-masques,#une-bergere,#le-choeur
Fréquences (scènes),0.5,0.05,0.05,0.6,0.1,0.55,0.25,0.35,0.2,0.15,0.2,0.05,0.05,0.05
Fréquences(répliques),0.29322268326417705,0.016597510373443983,0.012448132780082987,0.15214384508990317,0.02074688796680498,0.2710926694329184,0.029045643153526972,0.048409405255878286,0.022130013831258646,0.030428769017980636,0.08713692946058091,0.005532503457814661,0.005532503457814661,0.005532503457814661
Confrontation,0.13829787234042554,0.010638297872340425,0.010638297872340425,0.11702127659574468,0.026595744680851064,0.14893617021276595,0.07446808510638298,0.13297872340425532,0.07446808510638298,0.07446808510638298,0.0797872340425532,0.03723404255319149,0.03723404255319149,0.03723404255319149
Déviations,#merlin,#monsieur-grasset,#monsieur-la-montagne,#lisette,#gillette,#sotencour,#mathieu-crochet,#geronte,#leonore,#valere,#le-baron,#les-masques,#une-bergere,#le-choeur
#merlin,5.0,0.5,0.5,1.5,0.0,0.4090909090909091,0.1,0.07142857142857142,0.0,1.5,0.0,0.5,0.5,0.5
#monsieur-grasset,0.5,18.049999999999997,18.049999999999997,0.6,0.10000000000000002,0.55,0.25,0.35,0.20000000000000004,0.15,0.20000000000000004,0.05000000000000001,0.05000000000000001,0.05000000000000001
#monsieur-grasset,0.5,18.049999999999997,18.049999999999997,0.6,0.10000000000000002,0.55,0.25,0.35,0.20000000000000004,0.15,0.20000000000000004,0.05000000000000001,0.05000000000000001,0.05000000000000001
#lisette,1.5,0.6000000000000001,0.6000000000000001,3.200000000000001,0.03333333333333339,0.024242424242424176,0.0,0.3428571428571425,0.1499999999999998,0.3555555555555554,0.816666666666667,0.6000000000000001,0.6000000000000001,0.6000000000000001
#gillette,0.0,0.10000000000000002,0.10000000000000002,0.03333333333333332,16.2,0.009090909090909106,0.5,0.12857142857142861,0.4000000000000001,0.3,0.8999999999999999,0.10000000000000002,0.10000000000000002,0.10000000000000002
#sotencour,0.4090909090909091,0.55,0.55,0.024242424242424288,0.009090909090909106,4.049999999999999,1.8409090909090908,1.2006493506493512,0.6545454545454547,0.256060606060606,0.29090909090909073,0.55,0.55,0.55
#mathieu-crochet,0.1,0.25,0.25,0.0,0.5,1.8409090909090908,11.25,0.03571428571428571,0.0,0.08333333333333333,1.0,0.25,0.25,0.25
#geronte,0.07142857142857142,0.35000000000000003,0.35000000000000003,0.3428571428571429,0.1285714285714285,1.2006493506493499,0.03571428571428571,8.450000000000005,0.11428571428571435,0.8595238095238095,1.828571428571428,1.2071428571428566,1.2071428571428566,1.2071428571428566
#leonore,0.0,0.20000000000000004,0.20000000000000004,0.15000000000000005,0.4000000000000001,0.6545454545454547,0.0,0.11428571428571424,12.800000000000002,3.266666666666666,0.049999999999999975,3.2000000000000006,3.2000000000000006,3.2000000000000006
#valere,1.5,0.15000000000000002,0.15000000000000002,0.3555555555555554,0.30000000000000004,0.25606060606060616,0.08333333333333333,0.8595238095238099,3.2666666666666657,14.450000000000001,0.2666666666666665,4.8166666666666655,4.8166666666666655,4.8166666666666655
#le-baron,0.0,0.20000000000000004,0.20000000000000004,0.8166666666666665,0.8999999999999999,0.29090909090909073,1.0,1.828571428571429,0.049999999999999975,0.2666666666666667,12.800000000000002,3.2000000000000006,3.2000000000000006,3.2000000000000006
#les-masques,0.5,0.05000000000000001,0.05000000000000001,0.6,0.10000000000000002,0.55,0.25,1.2071428571428573,3.2000000000000006,4.816666666666666,3.2000000000000006,18.049999999999997,18.049999999999997,18.049999999999997
#les-masques,0.5,0.05000000000000001,0.05000000000000001,0.6,0.10000000000000002,0.55,0.25,1.2071428571428573,3.2000000000000006,4.816666666666666,3.2000000000000006,18.049999999999997,18.049999999999997,18.049999999999997
#les-masques,0.5,0.05000000000000001,0.05000000000000001,0.6,0.10000000000000002,0.55,0.25,1.2071428571428573,3.2000000000000006,4.816666666666666,3.2000000000000006,18.049999999999997,18.049999999999997,18.049999999999997
Successions,#merlin,#monsieur-grasset,#monsieur-la-montagne,#lisette,#gillette,#sotencour,#mathieu-crochet,#geronte,#leonore,#valere,#le-baron,#les-masques,#une-bergere,#le-choeur
#merlin,0.01694915254237288,0.06779661016949153,0.0847457627118644,0.5084745762711864,0.0,0.1694915254237288,0.01694915254237288,0.01694915254237288,0.05084745762711865,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.01694915254237288
#monsieur-grasset,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-la-montagne,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
