VALEUR,#lydie,#theoxene,#dioclee,#alcionee,#achate,#alcire,#le-roi,#callisthene
Fréquences (scènes),0.5,0.08333333333333333,0.25,0.5416666666666666,0.16666666666666666,0.25,0.25,0.16666666666666666
Fréquences(répliques),0.30809859154929575,0.051056338028169015,0.031103286384976527,0.36619718309859156,0.04929577464788732,0.07922535211267606,0.10269953051643192,0.01232394366197183
Confrontation,0.19444444444444445,0.05555555555555555,0.125,0.19444444444444445,0.06944444444444445,0.125,0.125,0.1111111111111111
Déviations,#lydie,#theoxene,#dioclee,#alcionee,#achate,#alcire,#le-roi,#callisthene
#lydie,6.0,1.0,3.0,1.8846153846153846,2.0,1.3333333333333333,0.3333333333333333,2.0
#theoxene,1.0,20.166666666666664,4.5,1.0833333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333
#dioclee,3.0,4.5,13.5,3.25,1.0,1.5,0.16666666666666666,1.0
#alcionee,1.8846153846153846,1.0833333333333333,3.25,5.041666666666669,1.5512820512820515,0.019230769230769232,0.4807692307692308,0.012820512820512798
#achate,2.0,0.3333333333333333,1.0,1.5512820512820515,16.66666666666667,1.0,1.0,0.1666666666666667
#alcire,1.3333333333333333,0.5,1.5,0.019230769230769232,1.0,13.5,0.16666666666666666,4.0
#le-roi,0.3333333333333333,0.5,0.16666666666666666,0.4807692307692308,1.0,0.16666666666666666,13.5,1.0
#callisthene,2.0,0.3333333333333333,1.0,0.012820512820512798,0.1666666666666667,4.0,1.0,16.66666666666667
Successions,#lydie,#theoxene,#dioclee,#alcionee,#achate,#alcire,#le-roi,#callisthene
#lydie,0.029411764705882353,0.11764705882352941,0.17647058823529413,0.36764705882352944,0.0,0.1323529411764706,0.17647058823529413,0.0
#theoxene,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dioclee,0.9230769230769231,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
#alcionee,0.30864197530864196,0.012345679012345678,0.0,0.024691358024691357,0.1728395061728395,0.30864197530864196,0.09876543209876543,0.07407407407407407
#achate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#alcire,0.23076923076923078,0.0,0.0,0.6666666666666666,0.0,0.0,0.05128205128205128,0.05128205128205128
#le-roi,0.44,0.0,0.04,0.28,0.0,0.16,0.04,0.04
#callisthene,0.0,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.2222222222222222,0.0
