VALEUR,#tyridate,#anthiochide,#arsinoe,#ariarathe,#oronte,#berenice,#euridice,#le-roi,#la-reine
Fréquences (scènes),0.25,0.15625,0.0625,0.28125,0.4375,0.1875,0.125,0.375,0.3125
Fréquences(répliques),0.1311659192825112,0.15414798206278027,0.053251121076233185,0.11210762331838565,0.1788116591928251,0.06502242152466367,0.024103139013452915,0.17320627802690583,0.10818385650224215
Confrontation,0.12931034482758622,0.05172413793103448,0.04310344827586207,0.12931034482758622,0.16379310344827586,0.11206896551724138,0.07758620689655173,0.1724137931034483,0.1206896551724138
Déviations,#tyridate,#anthiochide,#arsinoe,#ariarathe,#oronte,#berenice,#euridice,#le-roi,#la-reine
#tyridate,18.0,0.45,0.5,0.25,1.7857142857142858,0.16666666666666666,0.0,0.3333333333333333,0.1
#anthiochide,0.45,22.78125,1.5125,0.11736111111111111,0.6446428571428572,0.9375,0.625,1.875,0.2025
#arsinoe,0.5,1.5125,28.125,0.5625,0.017857142857142856,0.375,0.25,0.08333333333333333,0.225
#ariarathe,0.25,0.11736111111111111,0.5625,16.53125,0.000992063492063492,0.05787037037037037,3.125,0.5601851851851852,2.8125
#oronte,1.7857142857142858,0.6446428571428572,0.017857142857142856,0.000992063492063492,10.125,0.1488095238095238,0.32142857142857145,0.10714285714285714,0.43214285714285716
#berenice,0.16666666666666666,0.9375,0.375,0.05787037037037037,0.1488095238095238,21.125,6.75,0.25,0.4083333333333333
#euridice,0.0,0.625,0.25,3.125,0.32142857142857145,6.75,24.5,0.16666666666666666,1.25
#le-roi,0.3333333333333333,1.875,0.08333333333333333,0.5601851851851852,0.10714285714285714,0.25,0.16666666666666666,12.5,0.4166666666666667
#la-reine,0.1,0.2025,0.225,2.8125,0.43214285714285716,0.4083333333333333,1.25,0.4166666666666667,15.125
Successions,#tyridate,#anthiochide,#arsinoe,#ariarathe,#oronte,#berenice,#euridice,#le-roi,#la-reine
#tyridate,0.0,0.2894736842105263,0.0,0.13157894736842105,0.05263157894736842,0.3157894736842105,0.02631578947368421,0.02631578947368421,0.15789473684210525
#anthiochide,0.3,0.025,0.375,0.075,0.225,0.0,0.0,0.0,0.0
#arsinoe,0.043478260869565216,0.6521739130434783,0.0,0.0,0.13043478260869565,0.0,0.0,0.17391304347826086,0.0
#ariarathe,0.11320754716981132,0.07547169811320754,0.0,0.0,0.6226415094339622,0.0,0.09433962264150944,0.09433962264150944,0.0
#oronte,0.0,0.125,0.013888888888888888,0.4583333333333333,0.013888888888888888,0.0,0.013888888888888888,0.2777777777777778,0.09722222222222222
#berenice,0.631578947368421,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.05263157894736842,0.21052631578947367,0.0
#euridice,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.0
#le-roi,0.015384615384615385,0.0,0.09230769230769231,0.07692307692307693,0.26153846153846155,0.06153846153846154,0.0,0.046153846153846156,0.4461538461538462
#la-reine,0.16666666666666666,0.0,0.023809523809523808,0.0,0.14285714285714285,0.0,0.0,0.6666666666666666,0.0
