VALEUR,#marcene,#crispe,#leon,#andronic,#marsene,#leonce,#l-empereur,#martian,#irene,#eudoxe,#narcee,#aspar,#gelas
Fréquences (scènes),0.1111111111111111,0.022222222222222223,0.06666666666666667,0.5555555555555556,0.022222222222222223,0.06666666666666667,0.24444444444444444,0.08888888888888889,0.2222222222222222,0.08888888888888889,0.044444444444444446,0.17777777777777778,0.044444444444444446
Fréquences(répliques),0.08441116405718176,0.0013614703880190605,0.06603131381892444,0.36078965282505104,0.0006807351940095302,0.07283866575901975,0.14227365554799182,0.021783526208304968,0.15656909462219196,0.04288631722260041,0.0040844111640571815,0.015656909462219197,0.03063308373042886
Confrontation,0.05405405405405406,0.013513513513513514,0.05405405405405406,0.2702702702702703,0.013513513513513514,0.05405405405405406,0.14864864864864866,0.05405405405405406,0.14864864864864866,0.06756756756756757,0.013513513513513514,0.08108108108108109,0.02702702702702703
Déviations,#marcene,#crispe,#leon,#andronic,#marsene,#leonce,#l-empereur,#martian,#irene,#eudoxe,#narcee,#aspar,#gelas
#marcene,35.55555555555556,7.11111111111111,8.333333333333336,2.7777777777777777,0.11111111111111112,0.3333333333333333,0.04040404040404036,0.4444444444444445,1.1111111111111112,0.4444444444444445,0.22222222222222224,0.888888888888889,0.22222222222222224
#crispe,7.111111111111111,43.02222222222222,0.06666666666666667,0.5555555555555556,0.022222222222222223,0.06666666666666667,0.24444444444444444,0.08888888888888889,0.2222222222222222,0.08888888888888889,0.044444444444444446,0.17777777777777778,0.044444444444444446
#leon,8.333333333333336,0.06666666666666667,39.199999999999996,1.6666666666666667,0.06666666666666667,0.20000000000000004,0.09696969696969701,0.26666666666666666,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.4083333333333334,0.13333333333333333
#andronic,2.7777777777777777,0.5555555555555556,1.6666666666666667,8.888888888888888,0.3555555555555555,1.0666666666666667,0.20202020202020188,1.422222222222222,3.7355555555555555,0.6722222222222223,1.1111111111111112,0.04444444444444448,0.01111111111111112
#marsene,0.1111111111111111,0.022222222222222223,0.06666666666666667,0.3555555555555555,43.02222222222222,0.06666666666666667,0.24444444444444444,0.08888888888888889,0.2222222222222222,0.08888888888888889,0.044444444444444446,0.17777777777777778,0.044444444444444446
#leonce,0.3333333333333333,0.06666666666666667,0.20000000000000004,1.0666666666666667,0.06666666666666667,39.199999999999996,0.09696969696969701,0.26666666666666666,0.6666666666666666,0.26666666666666666,0.13333333333333333,0.5333333333333333,0.13333333333333333
#l-empereur,0.04040404040404036,0.24444444444444446,0.09696969696969701,0.20202020202020218,0.24444444444444446,0.09696969696969701,25.688888888888894,0.9777777777777779,0.12626262626262638,0.9777777777777779,0.48888888888888893,1.9555555555555557,0.48888888888888893
#martian,0.4444444444444444,0.08888888888888889,0.26666666666666666,1.422222222222222,0.08888888888888889,0.26666666666666666,0.9777777777777777,37.355555555555554,0.8888888888888888,0.35555555555555557,0.17777777777777778,0.7111111111111111,0.17777777777777778
#irene,1.1111111111111112,0.22222222222222224,0.6666666666666666,3.7355555555555555,0.22222222222222224,0.6666666666666666,0.12626262626262638,0.888888888888889,27.222222222222218,10.88888888888889,0.6944444444444445,0.3402777777777779,0.6944444444444445
#eudoxe,0.4444444444444444,0.08888888888888889,0.26666666666666666,0.6722222222222223,0.08888888888888889,0.26666666666666666,0.9777777777777777,0.35555555555555557,10.88888888888889,37.355555555555554,0.17777777777777778,0.7111111111111111,0.17777777777777778
#narcee,0.2222222222222222,0.044444444444444446,0.13333333333333333,1.1111111111111112,0.044444444444444446,0.13333333333333333,0.4888888888888889,0.17777777777777778,0.6944444444444445,0.17777777777777778,41.08888888888889,0.35555555555555557,0.08888888888888889
#aspar,0.8888888888888888,0.17777777777777778,0.4083333333333334,0.04444444444444448,0.17777777777777778,0.5333333333333333,1.9555555555555555,0.7111111111111111,0.3402777777777777,0.7111111111111111,0.35555555555555557,30.422222222222217,0.35555555555555557
#gelas,0.2222222222222222,0.044444444444444446,0.13333333333333333,0.01111111111111112,0.044444444444444446,0.13333333333333333,0.4888888888888889,0.17777777777777778,0.6944444444444445,0.17777777777777778,0.08888888888888889,0.35555555555555557,41.08888888888889
Successions,#marcene,#crispe,#leon,#andronic,#marsene,#leonce,#l-empereur,#martian,#irene,#eudoxe,#narcee,#aspar,#gelas
#marcene,0.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#crispe,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leon,0.5,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.25,0.0
#andronic,0.0,0.0,0.017543859649122806,0.10526315789473684,0.017543859649122806,0.05263157894736842,0.43859649122807015,0.15789473684210525,0.05263157894736842,0.0,0.0,0.12280701754385964,0.03508771929824561
#marsene,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonce,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#l-empereur,0.02564102564102564,0.0,0.02564102564102564,0.6666666666666666,0.0,0.05128205128205128,0.05128205128205128,0.0,0.15384615384615385,0.02564102564102564,0.0,0.0,0.0
#martian,0.0,0.0,0.0,0.7777777777777778,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
#irene,0.041666666666666664,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,0.25,0.041666666666666664,0.125,0.16666666666666666
#eudoxe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.125,0.0,0.0
#narcee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
#aspar,0.0,0.0,0.23076923076923078,0.5384615384615384,0.0,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0
#gelas,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
