VALEUR,#celie,#clarin,#don-fadrique,#elvire,#don-cesar,#beatrix,#alonse,#don-felix,#isabelle,#leonel
Fréquences (scènes),0.21052631578947367,0.3684210526315789,0.42105263157894735,0.39473684210526316,0.21052631578947367,0.23684210526315788,0.10526315789473684,0.42105263157894735,0.3684210526315789,0.15789473684210525
Fréquences(répliques),0.03469387755102041,0.11224489795918367,0.20153061224489796,0.18112244897959184,0.08163265306122448,0.025510204081632654,0.0066326530612244895,0.18010204081632653,0.14540816326530612,0.031122448979591835
Confrontation,0.056818181818181816,0.13636363636363635,0.14772727272727273,0.14393939393939395,0.08333333333333333,0.07575757575757576,0.03787878787878788,0.13257575757575757,0.12878787878787878,0.056818181818181816
Déviations,#celie,#clarin,#don-fadrique,#elvire,#don-cesar,#beatrix,#alonse,#don-felix,#isabelle,#leonel
#celie,23.68421052631579,0.0009398496240601563,0.04029605263157891,4.674561403508772,0.2779605263157894,1.894736842105263,0.8421052631578947,3.3684210526315788,1.2866541353383458,1.263157894736842
#clarin,0.0009398496240601563,15.1578947368421,4.421522556390978,0.050125313283207996,0.3759398496240603,0.14118629908103608,0.1522556390977443,0.6090225563909772,0.9027926960257788,0.6629072681704258
#don-fadrique,0.04029605263157891,4.421522556390978,12.73684210526316,0.44912280701754376,6.36842105263158,0.8450292397660817,1.6842105263157894,2.0727796052631575,1.4215225563909772,0.9221491228070174
#elvire,4.674561403508772,0.050125313283207996,0.44912280701754376,13.921052631578942,0.22456140350877188,0.6785575048732941,0.212280701754386,0.849122807017544,0.050125313283207996,0.05730994152046778
#don-cesar,0.2779605263157894,0.3759398496240603,6.36842105263158,0.22456140350877188,23.68421052631579,1.894736842105263,0.8421052631578947,0.5559210526315788,0.3045112781954886,0.05482456140350875
#beatrix,1.894736842105263,0.14118629908103608,0.8450292397660817,0.6785575048732945,1.894736842105263,22.131578947368425,1.1695906432748542,0.011695906432748562,0.8554720133667507,0.12475633528265105
#alonse,0.8421052631578947,0.1522556390977443,1.6842105263157894,0.212280701754386,0.8421052631578947,1.1695906432748542,30.42105263157895,3.18421052631579,0.18796992481203015,0.631578947368421
#don-felix,3.3684210526315788,0.6090225563909772,2.0727796052631575,0.849122807017544,0.5559210526315788,0.011695906432748562,3.18421052631579,12.73684210526316,1.6358082706766923,2.422149122807018
#isabelle,1.2866541353383458,0.9027926960257788,1.4215225563909772,0.050125313283207996,0.3045112781954886,0.8554720133667507,0.18796992481203015,1.6358082706766923,15.1578947368421,1.4486215538847123
#leonel,1.263157894736842,0.6629072681704258,0.9221491228070174,0.05730994152046778,0.05482456140350875,0.12475633528265105,0.631578947368421,2.422149122807018,1.4486215538847123,26.94736842105263
Successions,#celie,#clarin,#don-fadrique,#elvire,#don-cesar,#beatrix,#alonse,#don-felix,#isabelle,#leonel
#celie,0.0,0.5116279069767442,0.023255813953488372,0.4186046511627907,0.046511627906976744,0.0,0.0,0.0,0.0,0.0
#clarin,0.21782178217821782,0.0,0.42574257425742573,0.009900990099009901,0.10891089108910891,0.1485148514851485,0.009900990099009901,0.06930693069306931,0.009900990099009901,0.0
#don-fadrique,0.007751937984496124,0.3333333333333333,0.015503875968992248,0.35658914728682173,0.18604651162790697,0.015503875968992248,0.0,0.015503875968992248,0.046511627906976744,0.023255813953488372
#elvire,0.15454545454545454,0.02727272727272727,0.4,0.00909090909090909,0.10909090909090909,0.00909090909090909,0.0,0.12727272727272726,0.10909090909090909,0.05454545454545454
#don-cesar,0.05172413793103448,0.1896551724137931,0.4827586206896552,0.1896551724137931,0.0,0.0,0.0,0.05172413793103448,0.034482758620689655,0.0
#beatrix,0.0,0.4,0.05714285714285714,0.08571428571428572,0.0,0.0,0.0,0.11428571428571428,0.3142857142857143,0.02857142857142857
#alonse,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0
#don-felix,0.0,0.045454545454545456,0.03636363636363636,0.11818181818181818,0.03636363636363636,0.045454545454545456,0.07272727272727272,0.0,0.5272727272727272,0.11818181818181818
#isabelle,0.01,0.02,0.04,0.13,0.04,0.11,0.01,0.57,0.01,0.06
#leonel,0.0,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.0,0.4666666666666667,0.3,0.0
