VALEUR,#abner,#joad,#josabet,#choeur,#zacharie,#salomith,#agar,#athalie,#mathan,#joas,#nabal,#azarias,#ismael,#levites
Fréquences (scènes),0.17142857142857143,0.4857142857142857,0.42857142857142855,0.2,0.08571428571428572,0.14285714285714285,0.02857142857142857,0.2,0.2,0.17142857142857143,0.08571428571428572,0.05714285714285714,0.05714285714285714,0.05714285714285714
Fréquences(répliques),0.1138771186440678,0.2669491525423729,0.1027542372881356,0.13453389830508475,0.05084745762711865,0.017478813559322032,0.0026483050847457626,0.13453389830508475,0.09427966101694915,0.04184322033898305,0.011122881355932203,0.009004237288135594,0.013241525423728813,0.006885593220338983
Confrontation,0.07971014492753623,0.2028985507246377,0.16666666666666666,0.07246376811594203,0.028985507246376812,0.050724637681159424,0.007246376811594203,0.08695652173913043,0.07246376811594203,0.09420289855072464,0.036231884057971016,0.043478260869565216,0.036231884057971016,0.021739130434782608
Déviations,#abner,#joad,#josabet,#choeur,#zacharie,#salomith,#agar,#athalie,#mathan,#joas,#nabal,#azarias,#ismael,#levites
#abner,24.028571428571432,0.002521008403361353,0.12698412698412687,1.2000000000000002,0.5142857142857142,0.8571428571428571,0.17142857142857143,6.533333333333331,0.03333333333333339,0.0007936507936507881,0.5142857142857142,0.34285714285714286,0.34285714285714286,0.34285714285714286
#joad,0.002521008403361353,9.25714285714286,0.4033613445378152,0.5764705882352944,1.457142857142857,2.4285714285714284,0.4857142857142857,0.5764705882352944,1.6941176470588237,0.404481792717087,0.14341736694677867,1.0890756302521007,1.0890756302521007,1.0890756302521007
#josabet,0.12698412698412706,0.4033613445378152,11.428571428571432,0.3333333333333333,0.06349206349206353,0.009523809523809516,0.42857142857142855,1.3333333333333333,1.3333333333333333,0.07142857142857137,1.2857142857142858,0.023809523809523826,0.8571428571428571,0.023809523809523826
#choeur,1.2,0.5764705882352941,0.3333333333333333,22.399999999999995,0.6,1.0,0.19999999999999998,1.4000000000000001,0.11428571428571435,0.03333333333333332,0.2666666666666667,0.9000000000000004,0.39999999999999997,0.39999999999999997
#zacharie,0.5142857142857142,1.457142857142857,0.06349206349206343,0.6000000000000001,29.257142857142863,5.761904761904762,0.08571428571428572,0.6000000000000001,0.2666666666666665,0.5142857142857142,0.2571428571428571,0.17142857142857143,0.17142857142857143,0.17142857142857143
#salomith,0.8571428571428572,2.4285714285714284,0.009523809523809516,1.0,5.761904761904761,25.714285714285715,0.14285714285714285,1.0,1.0,0.023809523809523784,0.4285714285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857
