VALEUR,#le-vicomte,#mezzetin,#le-laqauis,#la-veuve,#isabelle,#colombine,#pierrot,#brocantin,#isabelle #colombine,#le-fiacre,#pasquariel,#arlequin,#le-docteur,#monsieur-bassinet
Fréquences (scènes),0.3333333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.4583333333333333,0.375,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333
Fréquences(répliques),0.0,0.21621621621621623,0.0,0.0,0.0,0.10810810810810811,0.0,0.02702702702702703,0.0,0.0,0.0,0.6081081081081081,0.04054054054054054,0.0
Confrontation,0.09,0.1,0.01,0.01,0.12,0.18,0.13,0.15,0.03,0.02,0.01,0.09,0.01,0.05
Déviations,#le-vicomte,#mezzetin,#le-laqauis,#la-veuve,#isabelle,#colombine,#pierrot,#brocantin,#isabelle #colombine,#le-fiacre,#pasquariel,#arlequin,#le-docteur,#monsieur-bassinet
#le-vicomte,10.66666666666667,0.3333333333333334,1.3333333333333337,1.3333333333333337,2.3333333333333335,0.12121212121212116,3.0,2.0,0.3333333333333333,1.3333333333333337,1.3333333333333337,1.0,0.3333333333333333,0.6666666666666666
#mezzetin,0.3333333333333334,16.66666666666667,0.16666666666666666,0.16666666666666666,0.02380952380952383,0.37878787878787873,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,4.5,0.16666666666666666,1.3333333333333337
#le-laqauis,1.3333333333333337,0.16666666666666666,22.04166666666667,0.041666666666666664,0.2916666666666667,0.4583333333333333,0.375,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333
#la-veuve,1.3333333333333337,0.16666666666666666,0.041666666666666664,22.04166666666667,0.2916666666666667,0.4583333333333333,0.375,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333
#isabelle,2.333333333333333,0.02380952380952377,0.29166666666666663,0.29166666666666663,12.041666666666664,0.01352813852813849,0.1488095238095238,0.03571428571428571,1.7202380952380956,0.29166666666666663,0.29166666666666663,0.017857142857142856,0.29166666666666663,3.440476190476191
#colombine,0.12121212121212116,0.37878787878787873,0.4583333333333333,0.4583333333333333,0.013528138528138547,7.04166666666667,0.1856060606060606,0.022727272727272728,0.6401515151515154,0.6401515151515154,0.4583333333333333,0.10227272727272728,0.4583333333333333,0.9166666666666666
#pierrot,3.0,0.16666666666666666,0.375,0.375,0.1488095238095238,0.1856060606060606,9.375,1.3611111111111112,0.375,0.375,0.375,0.013888888888888888,0.375,0.75
#brocantin,2.0,1.0,0.25,0.25,0.03571428571428571,0.022727272727272728,1.3611111111111112,13.5,2.25,0.25,0.25,2.0833333333333335,0.25,0.5
#isabelle #colombine,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,1.720238095238095,0.6401515151515154,0.375,2.25,22.04166666666667,0.041666666666666664,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333
#le-fiacre,1.3333333333333337,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.6401515151515154,0.375,0.25,0.041666666666666664,22.04166666666667,0.041666666666666664,0.125,0.041666666666666664,0.08333333333333333
#pasquariel,1.3333333333333337,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.4583333333333333,0.375,0.25,0.041666666666666664,0.041666666666666664,22.04166666666667,0.125,0.041666666666666664,0.08333333333333333
#arlequin,1.0,4.5,0.125,0.125,0.017857142857142856,0.10227272727272728,0.013888888888888888,2.0833333333333335,0.125,0.125,0.125,18.375,6.125,2.25
#le-docteur,0.3333333333333333,0.16666666666666666,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.4583333333333333,0.375,0.25,0.041666666666666664,0.041666666666666664,0.041666666666666664,6.125,22.04166666666667,0.08333333333333333
#monsieur-bassinet,0.6666666666666666,1.3333333333333337,0.08333333333333333,0.08333333333333333,3.44047619047619,0.9166666666666666,0.75,0.5,0.08333333333333333,0.08333333333333333,0.08333333333333333,2.25,0.08333333333333333,20.166666666666664
