VALEUR,#penelope,#eurinome,#ericlee,#eumee,#eurimaque,#antinous,#arcas,#iphise,#argine,#telemaque,#ulysse
Fréquences (scènes),0.5263157894736842,0.05263157894736842,0.23684210526315788,0.21052631578947367,0.21052631578947367,0.13157894736842105,0.05263157894736842,0.10526315789473684,0.02631578947368421,0.3684210526315789,0.15789473684210525
Fréquences(répliques),0.24148236700537956,0.012552301255230125,0.029886431560071727,0.10460251046025104,0.1159593544530783,0.06873879258816497,0.012552301255230125,0.062163777644949195,0.010161386730424387,0.17692767483562463,0.16497310221159595
Confrontation,0.23469387755102042,0.030612244897959183,0.12244897959183673,0.11224489795918367,0.11224489795918367,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.01020408163265306,0.16326530612244897,0.07142857142857142
Déviations,#penelope,#eurinome,#ericlee,#eumee,#eurimaque,#antinous,#arcas,#iphise,#argine,#telemaque,#ulysse
#penelope,8.526315789473687,0.8526315789473685,2.2479532163742695,0.3480263157894735,0.3480263157894735,1.011578947368421,1.0526315789473684,0.5802631578947367,0.5263157894736842,1.5398496240601502,1.4745614035087722
#eurinome,0.8526315789473685,34.10526315789474,0.5847953216374271,0.42105263157894735,0.42105263157894735,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.7368421052631579,0.3157894736842105
#ericlee,2.2479532163742695,0.5847953216374271,22.131578947368425,1.894736842105263,0.005847953216374281,1.1842105263157894,0.47368421052631576,0.9473684210526315,0.23684210526315788,1.6173767752715118,1.4210526315789473
#eumee,0.3480263157894735,0.42105263157894735,1.894736842105263,23.68421052631579,1.6842105263157894,1.0526315789473684,0.42105263157894735,0.8421052631578947,0.21052631578947367,0.3759398496240603,5.929824561403509
#eurimaque,0.3480263157894735,0.42105263157894735,0.005847953216374281,1.6842105263157894,23.68421052631579,3.602631578947369,0.7960526315789475,0.8421052631578947,0.21052631578947367,0.3045112781954886,1.263157894736842
#antinous,1.011578947368421,0.2631578947368421,1.1842105263157894,1.0526315789473684,3.602631578947369,28.65789473684211,11.463157894736844,0.5263157894736842,0.13157894736842105,0.38496240601503756,0.7894736842105263
#arcas,1.0526315789473684,0.10526315789473684,0.47368421052631576,0.42105263157894735,0.7960526315789475,11.463157894736844,34.10526315789474,0.21052631578947367,0.05263157894736842,0.7368421052631579,0.3157894736842105
#iphise,0.5802631578947367,0.21052631578947367,0.9473684210526315,0.8421052631578947,0.8421052631578947,0.5263157894736842,0.21052631578947367,30.42105263157895,7.605263157894737,0.18796992481203015,0.631578947368421
#argine,0.5263157894736842,0.05263157894736842,0.23684210526315788,0.21052631578947367,0.21052631578947367,0.13157894736842105,0.05263157894736842,7.605263157894737,36.02631578947369,0.3684210526315789,0.15789473684210525
#telemaque,1.5398496240601502,0.7368421052631579,1.6173767752715118,0.3759398496240603,0.3045112781954886,0.38496240601503756,0.7368421052631579,0.18796992481203015,0.3684210526315789,15.1578947368421,0.020050125313283165
#ulysse,1.4745614035087722,0.3157894736842105,1.4210526315789473,5.929824561403509,1.263157894736842,0.7894736842105263,0.3157894736842105,0.631578947368421,0.15789473684210525,0.020050125313283165,26.94736842105263
Successions,#penelope,#eurinome,#ericlee,#eumee,#eurimaque,#antinous,#arcas,#iphise,#argine,#telemaque,#ulysse
#penelope,0.016129032258064516,0.03225806451612903,0.1774193548387097,0.14516129032258066,0.25806451612903225,0.016129032258064516,0.0,0.04838709677419355,0.0,0.14516129032258066,0.16129032258064516
#eurinome,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ericlee,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
#eumee,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.5806451612903226
#eurimaque,0.7142857142857143,0.0,0.047619047619047616,0.0,0.0,0.14285714285714285,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0
#antinous,0.2,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.2,0.0
#arcas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#iphise,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.45454545454545453,0.0
#argine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#telemaque,0.2857142857142857,0.0,0.02857142857142857,0.2,0.05714285714285714,0.05714285714285714,0.0,0.11428571428571428,0.0,0.02857142857142857,0.22857142857142856
#ulysse,0.2972972972972973,0.0,0.0,0.40540540540540543,0.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.02702702702702703
