VALEUR,#vercingentorixe,#conutodun,#eporedorixe,#catuat,#critognat,#convictolitan,#sylvie,#soldat,#conutodun #catuat
Fréquences (scènes),0.5714285714285714,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.14285714285714285
Fréquences(répliques),0.20588235294117646,0.08455882352941177,0.007352941176470588,0.029411764705882353,0.3014705882352941,0.12867647058823528,0.23161764705882354,0.007352941176470588,0.003676470588235294
Confrontation,0.17105263157894737,0.13157894736842105,0.09210526315789473,0.13157894736842105,0.15789473684210525,0.10526315789473684,0.13157894736842105,0.013157894736842105,0.06578947368421052
Déviations,#vercingentorixe,#conutodun,#eporedorixe,#catuat,#critognat,#convictolitan,#sylvie,#soldat,#conutodun #catuat
#vercingentorixe,1.285714285714286,0.642857142857143,0.642857142857143,0.642857142857143,0.04761904761904765,0.29761904761904756,0.2571428571428572,0.3214285714285715,0.3214285714285715
#conutodun,0.642857142857143,3.5714285714285716,0.3214285714285715,3.5714285714285716,1.5238095238095237,0.023809523809523826,0.1285714285714286,0.2857142857142857,1.7857142857142858
#eporedorixe,0.642857142857143,0.3214285714285715,3.5714285714285716,0.3214285714285715,0.023809523809523826,0.023809523809523826,0.1285714285714286,0.2857142857142857,0.2857142857142857
#conutodun,0.642857142857143,3.5714285714285716,0.3214285714285715,3.5714285714285716,1.5238095238095237,0.023809523809523826,0.1285714285714286,0.2857142857142857,1.7857142857142858
#critognat,0.04761904761904765,1.5238095238095237,0.023809523809523826,1.5238095238095237,2.2857142857142865,0.396825396825397,0.009523809523809516,0.42857142857142855,0.7619047619047619
#convictolitan,0.29761904761904756,0.023809523809523826,0.023809523809523826,0.023809523809523826,0.396825396825397,2.2857142857142865,0.009523809523809516,0.42857142857142855,0.42857142857142855
#sylvie,0.25714285714285695,0.12857142857142848,0.12857142857142848,0.12857142857142848,0.009523809523809516,0.009523809523809516,0.5714285714285713,0.7142857142857142,0.11428571428571437
#soldat,0.3214285714285715,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.7142857142857143,5.142857142857144,0.14285714285714285
#conutodun #catuat,0.3214285714285715,1.7857142857142858,0.2857142857142857,1.7857142857142858,0.7619047619047619,0.42857142857142855,0.11428571428571427,0.14285714285714285,5.142857142857144
Successions,#vercingentorixe,#conutodun,#eporedorixe,#catuat,#critognat,#convictolitan,#sylvie,#soldat,#conutodun #catuat
#vercingentorixe,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.35714285714285715,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.0
#conutodun,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
#eporedorixe,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#catuat,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#critognat,0.375,0.0,0.0,0.125,0.0,0.125,0.375,0.0,0.0
#convictolitan,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.8181818181818182,0.0,0.0
#sylvie,0.2631578947368421,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.47368421052631576,0.05263157894736842,0.0,0.05263157894736842
#soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#soldat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
