VALEUR,#le-maire,#l-officier-municipal,#le-depute,#selimars,#madame-selimars,#le-general,#le-prelat,#le-chef-des-fugitifs
Fréquences (scènes),0.25,0.2,0.65,0.15,0.35,0.25,0.25,0.2
Fréquences(répliques),0.13915547024952016,0.02399232245681382,0.48080614203454897,0.0671785028790787,0.12476007677543186,0.06813819577735125,0.06238003838771593,0.03358925143953935
Confrontation,0.0945945945945946,0.08108108108108109,0.28378378378378377,0.08108108108108109,0.16216216216216217,0.06756756756756757,0.10810810810810811,0.12162162162162163
Déviations,#le-maire,#l-officier-municipal,#le-depute,#selimars,#madame-selimars,#le-general,#le-prelat,#le-chef-des-fugitifs
#le-maire,11.25,0.0,0.019230769230769232,0.08333333333333333,0.03571428571428571,1.25,1.25,1.0
#l-officier-municipal,0.0,12.800000000000002,0.1384615384615385,0.6,0.25714285714285723,1.0,1.0,0.049999999999999975
#le-depute,0.019230769230769232,0.1384615384615385,2.4499999999999984,0.5653846153846154,0.04450549450549454,0.4807692307692308,0.019230769230769232,0.06153846153846151
#selimars,0.08333333333333333,0.6000000000000001,0.5653846153846152,14.450000000000001,0.8595238095238099,0.75,0.75,0.6000000000000001
#madame-selimars,0.03571428571428571,0.257142857142857,0.04450549450549454,0.8595238095238095,8.450000000000005,1.75,1.75,0.11428571428571435
#le-general,1.25,1.0,0.4807692307692308,0.75,1.75,11.25,0.45,0.0
#le-prelat,1.25,1.0,0.019230769230769232,0.75,1.75,0.45,11.25,4.0
#le-chef-des-fugitifs,1.0,0.049999999999999975,0.06153846153846151,0.6,0.11428571428571424,0.0,4.0,12.800000000000002
Successions,#le-maire,#l-officier-municipal,#le-depute,#selimars,#madame-selimars,#le-general,#le-prelat,#le-chef-des-fugitifs
#le-maire,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0
#l-officier-municipal,0.14285714285714285,0.0,0.42857142857142855,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285
#le-depute,0.10204081632653061,0.061224489795918366,0.0,0.10204081632653061,0.20408163265306123,0.2653061224489796,0.12244897959183673,0.14285714285714285
#selimars,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
#madame-selimars,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.36363636363636365,0.045454545454545456,0.0,0.0,0.09090909090909091
#le-general,0.0,0.0,0.7647058823529411,0.0,0.0,0.058823529411764705,0.17647058823529413,0.0
#le-prelat,0.0,0.0,0.5454545454545454,0.0,0.0,0.2727272727272727,0.0,0.18181818181818182
#le-chef-des-fugitifs,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.08333333333333333,0.0
