VALEUR,#gely,#moliere,#claudine,#le-messager,#roustecagnac,#le-garçon,#premier-client,#deuxieme-client,#troisieme-client
Fréquences (scènes),0.7,0.9,0.6,0.2,0.4,0.1,0.1,0.1,0.1
Fréquences(répliques),0.12762762762762764,0.37237237237237236,0.2057057057057057,0.08558558558558559,0.15915915915915915,0.0015015015015015015,0.025525525525525526,0.016516516516516516,0.006006006006006006
Confrontation,0.21428571428571427,0.17346938775510204,0.20408163265306123,0.05102040816326531,0.16326530612244897,0.04081632653061224,0.05102040816326531,0.05102040816326531,0.05102040816326531
Déviations,#gely,#moliere,#claudine,#le-messager,#roustecagnac,#le-garçon,#premier-client,#deuxieme-client,#troisieme-client
#gely,0.9000000000000005,0.01428571428571427,0.7714285714285712,0.11428571428571435,0.514285714285714,0.1285714285714285,0.1285714285714285,0.1285714285714285,0.1285714285714285
#moliere,0.01428571428571427,0.10000000000000007,0.029629629629629554,0.02222222222222221,0.10000000000000002,0.011111111111111105,0.9,0.9,0.9
#claudine,0.7714285714285721,0.02962962962962968,1.6000000000000005,0.03333333333333339,1.066666666666666,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665
#le-messager,0.11428571428571424,0.02222222222222221,0.03333333333333332,6.400000000000001,0.049999999999999975,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#roustecagnac,0.5142857142857145,0.10000000000000002,1.0666666666666669,0.049999999999999975,3.5999999999999996,0.8999999999999999,0.8999999999999999,0.8999999999999999,0.8999999999999999
#le-garçon,0.12857142857142861,0.011111111111111105,0.2666666666666667,0.20000000000000004,0.8999999999999999,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002
#premier-client,0.12857142857142861,0.9,0.2666666666666667,0.20000000000000004,0.8999999999999999,0.10000000000000002,8.1,8.1,8.1
#premier-client,0.12857142857142861,0.9,0.2666666666666667,0.20000000000000004,0.8999999999999999,0.10000000000000002,8.1,8.1,8.1
#premier-client,0.12857142857142861,0.9,0.2666666666666667,0.20000000000000004,0.8999999999999999,0.10000000000000002,8.1,8.1,8.1
Successions,#gely,#moliere,#claudine,#le-messager,#roustecagnac,#le-garçon,#premier-client,#deuxieme-client,#troisieme-client
#gely,0.0,0.48148148148148145,0.25925925925925924,0.07407407407407407,0.18518518518518517,0.0,0.0,0.0,0.0
#moliere,0.23148148148148148,0.0,0.37962962962962965,0.24074074074074073,0.1388888888888889,0.009259259259259259,0.0,0.0,0.0
#claudine,0.1595744680851064,0.43617021276595747,0.010638297872340425,0.031914893617021274,0.19148936170212766,0.0,0.09574468085106383,0.0425531914893617,0.031914893617021274
#le-messager,0.17647058823529413,0.7647058823529411,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0
#roustecagnac,0.2,0.28888888888888886,0.4444444444444444,0.022222222222222223,0.0,0.0,0.0,0.044444444444444446,0.0
#le-garçon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-client,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0
#deuxieme-client,0.0,0.0,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0.0
#troisieme-client,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
