VALEUR,#le-portier,#le-cavalier,#deuxieme-cavalier,#premier-cavalier,#un-laquais,#premier-laquais,#un-garde,#un-bretteur,#un-joueur,#le-garde,#la-bouquetiere,#un-homme,#un-bourgeois,#le-bourgeois,#le-jeune-homme,#des-pages,#un-page,#le-tire-laine,#un-spectateur,#la-distributrice,#une-voix,#un-marquis,#cuigy,#le-marquis,#la-salle,#brissaille,#lignere,#premier-marquis,#christian,#les-violons,#deuxieme-marquis,#ligniere,#le-chef-des-violons,#le-public,#ragueneau,#le-bret,#de-guiche,#le-spectateur,#des-voix,#le-parterre,#montfleury,#la-voix,#tous,#cyrano,#les-marquis,#la-foule,#une-dame,#un-seigneur,#les-loges,#bellerose,#jodelet,#les-uns,#les-autres,#un-jeune-homme,#le-vieux-bourgeois,#les-precieuses,#le-facheux,#le-vicomte-de-valvert,#le-vicomte,#un-chevau-leger,#une-femme,#voix-de-femme,#un-mousquetaire,#la-duegne,#une-comedienne,#la-comedienne,#les-femmes,#premier-patissier,#deuxieme-patissier,#troisieme-patissier,#quatrieme-patissier,#cinquieme-patissier,#le-cuisinier,#l-apprenti,#lise,#premier-enfant,#deuxieme-enfant,#premier-poete,#deuxieme-poete,#troisieme-poete,#quatrieme-poete,#cinquieme-poete,#le-mousquetaire,#les-poetes,#un-poete,#roxane,#carbon,#les-cadets,#un-cadet,#deuxieme-cadet,#troisieme-cadet,#plusieurs-gascons,#premier-cadet,#des-gens,#un-petit-marquis,#second-marquis,#renaudot,#le-poete,#quelqu-un,#le-cadet,#un-porteur,#un-autre-cadet,#le-page,#tous-les-deux,#les-pages,#premier-page,#deuxieme-page,#le-capucin,#la-sentinelle,#quatrieme-cadet,#le-premier-cadet,#le-pecheur,#le-chasseur,#la-voix-d-une-sentinelle,#le-baron-hillot,#un-autre,#un-troisieme-cadet,#les-piquiers,#cadets,#soldats-espagnols,#un-officier-espagnol,#soeur-marthe,#mere-marguerite,#soeur-claire,#les-soeurs,#le-duc,#une-soeur
Fréquences (scènes),0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.06521739130434782,0.13043478260869565,0.06521739130434782,0.13043478260869565,0.06521739130434782,0.08695652173913043,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
Fréquences(répliques),0.0017811704834605599,0.0005089058524173028,0.0007633587786259542,0.0010178117048346056,0.0010178117048346056,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0007633587786259542,0.0002544529262086514,0.0010178117048346056,0.0015267175572519084,0.004325699745547073,0.0010178117048346056,0.0002544529262086514,0.002544529262086514,0.0053435114503816794,0.0007633587786259542,0.0035623409669211198,0.003816793893129771,0.0030534351145038168,0.0066157760814249365,0.0007633587786259542,0.002035623409669211,0.001272264631043257,0.001272264631043257,0.004325699745547073,0.06513994910941476,0.0002544529262086514,0.0033078880407124683,0.013994910941475827,0.0002544529262086514,0.002035623409669211,0.046055979643765906,0.03994910941475827,0.07099236641221374,0.0002544529262086514,0.0010178117048346056,0.0027989821882951653,0.003816793893129771,0.0017811704834605599,0.004580152671755725,0.388295165394402,0.0002544529262086514,0.0010178117048346056,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.002035623409669211,0.0027989821882951653,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0005089058524173028,0.0005089058524173028,0.006361323155216285,0.0002544529262086514,0.0053435114503816794,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.0010178117048346056,0.010432569974554707,0.0007633587786259542,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0005089058524173028,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0005089058524173028,0.0055979643765903305,0.0002544529262086514,0.0002544529262086514,0.0027989821882951653,0.002544529262086514,0.001272264631043257,0.0005089058524173028,0.0002544529262086514,0.0022900763358778627,0.0002544529262086514,0.0002544529262086514,0.15877862595419848,0.021119592875318068,0.0022900763358778627,0.017302798982188294,0.001272264631043257,0.002035623409669211,0.0002544529262086514,0.004325699745547073,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0002544529262086514,0.0007633587786259542,0.0002544529262086514,0.0030534351145038168,0.0002544529262086514,0.0010178117048346056,0.0005089058524173028,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0002544529262086514,0.004580152671755725,0.001272264631043257,0.0002544529262086514,0.0007633587786259542,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0002544529262086514,0.0002544529262086514,0.0005089058524173028,0.0002544529262086514,0.0002544529262086514,0.006870229007633588,0.005089058524173028,0.002544529262086514,0.001272264631043257,0.00916030534351145,0.0005089058524173028
Confrontation,0.013089005235602094,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.02268760907504363,0.013525305410122163,0.008726003490401396,0.005235602094240838,0.017452006980802792,0.010034904013961605,0.010034904013961605,0.01614310645724258,0.027268760907504363,0.017452006980802792,0.028359511343804537,0.01614310645724258,0.020942408376963352,0.010907504363001745,0.0034904013961605585,0.008289703315881327,0.026832460732984294,0.0034904013961605585,0.008289703315881327,0.005671902268760907,0.0034904013961605585,0.01025305410122164,0.03577661431064572,0.03534031413612566,0.027705061082024432,0.004799301919720768,0.004799301919720768,0.012216404886561954,0.012216404886561954,0.004799301919720768,0.031413612565445025,0.04886561954624782,0.007417102966841187,0.012652705061082025,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.009598603839441536,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.007417102966841187,0.00807155322862129,0.0034904013961605585,0.002181500872600349,0.002181500872600349,0.002181500872600349,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,0.0017452006980802793,0.005235602094240838,0.0006544502617801048,0.0006544502617801048,0.002181500872600349,0.002181500872600349,0.002181500872600349,0.002181500872600349,0.002181500872600349,0.0030541012216404886,0.002181500872600349,0.002181500872600349,0.020942408376963352,0.023778359511343803,0.012434554973821989,0.02181500872600349,0.00981675392670157,0.01156195462478185,0.005235602094240838,0.01788830715532286,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.005235602094240838,0.012216404886561954,0.005235602094240838,0.0017452006980802793,0.0008726003490401396,0.0006544502617801048,0.0010907504363001745,0.0010907504363001745,0.0010907504363001745,0.001963350785340314,0.0028359511343804536,0.0017452006980802793,0.0063263525305410125,0.0017452006980802793,0.0017452006980802793,0.001963350785340314,0.002617801047120419,0.002617801047120419,0.002617801047120419,0.002617801047120419,0.002399650959860384,0.002399650959860384,0.002399650959860384,0.0015270506108202443,0.0006544502617801048,0.0006544502617801048,0.0006544502617801048,0.0008726003490401396,0.0013089005235602095
Déviations,#le-portier,#le-cavalier,#deuxieme-cavalier,#premier-cavalier,#un-laquais,#premier-laquais,#un-garde,#un-bretteur,#un-joueur,#le-garde,#la-bouquetiere,#un-homme,#un-bourgeois,#le-bourgeois,#le-jeune-homme,#des-pages,#un-page,#le-tire-laine,#un-spectateur,#la-distributrice,#une-voix,#un-marquis,#cuigy,#le-marquis,#la-salle,#brissaille,#lignere,#premier-marquis,#christian,#les-violons,#deuxieme-marquis,#ligniere,#le-chef-des-violons,#le-public,#ragueneau,#le-bret,#de-guiche,#le-spectateur,#des-voix,#le-parterre,#montfleury,#la-voix,#tous,#cyrano,#les-marquis,#la-foule,#une-dame,#un-seigneur,#les-loges,#bellerose,#jodelet,#les-uns,#les-autres,#un-jeune-homme,#le-vieux-bourgeois,#les-precieuses,#le-facheux,#le-vicomte-de-valvert,#le-vicomte,#un-chevau-leger,#une-femme,#voix-de-femme,#un-mousquetaire,#la-duegne,#une-comedienne,#la-comedienne,#les-femmes,#premier-patissier,#deuxieme-patissier,#troisieme-patissier,#quatrieme-patissier,#cinquieme-patissier,#le-cuisinier,#l-apprenti,#lise,#premier-enfant,#deuxieme-enfant,#premier-poete,#deuxieme-poete,#troisieme-poete,#quatrieme-poete,#cinquieme-poete,#le-mousquetaire,#les-poetes,#un-poete,#roxane,#carbon,#les-cadets,#un-cadet,#deuxieme-cadet,#troisieme-cadet,#plusieurs-gascons,#premier-cadet,#des-gens,#un-petit-marquis,#second-marquis,#renaudot,#le-poete,#quelqu-un,#le-cadet,#un-porteur,#un-autre-cadet,#le-page,#tous-les-deux,#les-pages,#premier-page,#deuxieme-page,#le-capucin,#la-sentinelle,#quatrieme-cadet,#le-premier-cadet,#le-pecheur,#le-chasseur,#la-voix-d-une-sentinelle,#le-baron-hillot,#un-autre,#un-troisieme-cadet,#les-piquiers,#cadets,#soldats-espagnols,#un-officier-espagnol,#soeur-marthe,#mere-marguerite,#soeur-claire,#les-soeurs,#le-duc,#une-soeur
#le-portier,40.19565217391305,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,11.594202898550725,3.306763285024155,5.797101449275362,13.398550724637683,16.64009661835749,5.797101449275362,5.797101449275362,16.64009661835749,6.61352657004831,16.64009661835749,6.61352657004831,16.64009661835749,11.594202898550725,0.19565217391304346,0.06521739130434782,0.13043478260869565,1.2391304347826086,0.06521739130434782,0.13043478260869565,0.13043478260869565,0.06521739130434782,0.19565217391304346,0.00048309178743961286,1.0671497584541065,0.18550724637681157,0.06521739130434782,0.06521739130434782,5.797101449275362,5.797101449275362,0.06521739130434782,0.18550724637681157,0.03498964803312628,13.398550724637683,5.797101449275362,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,5.797101449275362,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,13.398550724637683,5.797101449275362,0.4565217391304348,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.2608695652173913,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.13043478260869565,0.06521739130434782,0.06521739130434782,1.3695652173913042,0.7173913043478262,0.32608695652173914,0.6521739130434783,0.19565217391304346,0.2608695652173913,0.06521739130434782,0.4565217391304348,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.2608695652173913,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.19565217391304346,0.13043478260869565,0.06521739130434782,0.19565217391304346,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.19565217391304346,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.13043478260869565
#le-cavalier,13.398550724637683,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,9.58695652173913,13.398550724637683,21.043478260869566,44.02173913043478,13.398550724637683,21.043478260869566,21.043478260869566,13.398550724637683,5.797101449275362,13.398550724637683,5.797101449275362,13.398550724637683,9.58695652173913,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
#le-cavalier,13.398550724637683,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,9.58695652173913,13.398550724637683,21.043478260869566,44.02173913043478,13.398550724637683,21.043478260869566,21.043478260869566,13.398550724637683,5.797101449275362,13.398550724637683,5.797101449275362,13.398550724637683,9.58695652173913,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
#le-cavalier,13.398550724637683,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,9.58695652173913,13.398550724637683,21.043478260869566,44.02173913043478,13.398550724637683,21.043478260869566,21.043478260869566,13.398550724637683,5.797101449275362,13.398550724637683,5.797101449275362,13.398550724637683,9.58695652173913,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
#le-cavalier,13.398550724637683,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,9.58695652173913,13.398550724637683,21.043478260869566,44.02173913043478,13.398550724637683,21.043478260869566,21.043478260869566,13.398550724637683,5.797101449275362,13.398550724637683,5.797101449275362,13.398550724637683,9.58695652173913,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
#le-cavalier,13.398550724637683,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,44.02173913043478,9.58695652173913,13.398550724637683,21.043478260869566,44.02173913043478,13.398550724637683,21.043478260869566,21.043478260869566,13.398550724637683,5.797101449275362,13.398550724637683,5.797101449275362,13.398550724637683,9.58695652173913,0.06521739130434782,0.021739130434782608,0.043478260869565216,0.41304347826086957,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.32608695652173914,0.32608695652173914,0.21739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.043478260869565216,0.021739130434782608,0.21739130434782608,0.7608695652173914,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.45652173913043476,0.2391304347826087,0.10869565217391304,0.21739130434782608,0.06521739130434782,0.08695652173913043,0.021739130434782608,0.15217391304347827,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.06521739130434782,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.043478260869565216
