Pièce,Perso principal,genre,Première apparition,Fréquence(scène),Fréquence(répliques),Confrontation
abeille-argelie,#ismene,Tragédie,TODO,0.6551724137931034,0.3089171974522293,0.2916666666666667
abeille-coriolan,#coriolan,Tragédie,TODO,0.6086956521739131,0.35943892460549387,0.25806451612903225
abeille-lyncee,#erigone,Tragédie,TODO,0.5769230769230769,0.26039667306461933,0.25
about-risette,#evelina,Comédie,TODO,0.75,0.0,0.30434782608695654
adenis-diogene-et-scapin,#diogene,À propos,TODO,1.0,0.4475,0.375
adenisj-la-double-meprise,#henriette,Charade,TODO,0.28,0.0,0.07692307692307693
aicard-au-clair-de-la-lune,#pierrot,Comédie,TODO,0.8333333333333334,0.5243619489559165,0.34
aicard-pygmalion,#la-femme,Poème dramatique,TODO,1.0,0.576271186440678,0.4
aicard-smilis,#l-amiral,Drame,TODO,0.5609756097560976,0.0,0.21764705882352942
aignan-polyxene,#hecube,Tragédie,TODO,0.7647058823529411,0.3566265060240964,0.32608695652173914
aigueberre-avare-amoureux,#nerine,Comédie,TODO,0.7272727272727273,0.0,0.25675675675675674
aigueberre-pan-et-doris,#pan,Pastorale,TODO,0.7142857142857143,0.26609442060085836,0.15151515151515152
aigueberre-polixene,#polixene,Comédie,TODO,0.7,0.424,0.34615384615384615
aigueberre-prologue,#julie,Prologue,TODO,1.0,0.0,0.16129032258064516
alain-legrand-epreuve-reciproque,#frontin,Comédie,TODO,0.5555555555555556,0.0,0.1875
allainval-ecole-des-bourgeois,#marthon,Comédie,TODO,0.4489795918367347,0.0,0.15894039735099338
allainval-hiver,#comus,Comédie,TODO,0.7333333333333333,0.3032191069574247,0.42857142857142855
allais-bon-bougre,#le-pauvre-bougre,Féérie,TODO,0.9,0.0625,0.34615384615384615
allary-les-lilas-blancs,#cecile,Comédie,TODO,1.0,0.0,0.5
ancelot-arago-papillotes,#ninon,Comédie,TODO,0.7647058823529411,0.5522388059701493,0.15
ancelot-auger-une-seduction,#laurence,Drame,TODO,0.46875,0.26881720430107525,0.15
andrieux-anaximandre,#anaximandre,Comédie,TODO,0.5833333333333334,0.3829479768786127,0.3181818181818182
andrieux-la-comedienne,#madame-belval,Comédie,TODO,0.6129032258064516,0.27235494880546074,0.26666666666666666
andrieux-le-reve-du-mari,#emilie,Comédie,TODO,0.7391304347826086,0.3684210526315789,0.3170731707317073
andrieux-les-etourdis,#monsieur-daiglemont,Comédie,TODO,0.4473684210526316,0.22320768662232077,0.2
andrieux-moliere-et-ses-amis,#chapelle,Comédie,TODO,0.7368421052631579,0.2504835589941973,0.16326530612244897
anomyme-dialogue-de-la-prude-et-de-la-coquette,#angelique,Dialogue,TODO,1.0,0.0,0.5
anonyme-adam,#adam,Drame liturgique,TODO,0.5,0.21386138613861386,0.057971014492753624
anonyme-aventures-de-ninette,#la-maman,Comédie,TODO,0.8333333333333334,0.0,0.21153846153846154
anonyme-bonnes-gens,#madame-guillaume,Comédie,TODO,1.0,0.34405940594059403,0.3076923076923077
anonyme-chapelain-decoiffe-2,#chapelain,Parodie,TODO,1.0,0.6124031007751938,0.5
anonyme-chapelain-decoiffe,#chapelain,Parodie,TODO,0.6,0.4251207729468599,0.3333333333333333
anonyme-club-des-dames,#la-comtesse,Comédie,TODO,0.875,0.0,0.17647058823529413
anonyme-d-alcippe-et-de-drionice,#drionice,Dialogue,TODO,1.0,0.0,0.5
