VALEUR,#lisette,#madame-patin,#la-brie,#monsieur-migaud,#le-chevalier,#crispin,#monsieur-serrefort,#lucile,#la-baronne,#guillemin,#le-cocher
Fréquences (scènes),0.6808510638297872,0.7446808510638298,0.0851063829787234,0.10638297872340426,0.3829787234042553,0.2553191489361702,0.1276595744680851,0.1702127659574468,0.10638297872340426,0.02127659574468085,0.02127659574468085
Fréquences(répliques),0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Confrontation,0.20229007633587787,0.2595419847328244,0.03435114503816794,0.03816793893129771,0.16030534351145037,0.10687022900763359,0.04580152671755725,0.07633587786259542,0.05725190839694656,0.007633587786259542,0.011450381679389313
Déviations,#lisette,#madame-patin,#la-brie,#monsieur-migaud,#le-chevalier,#crispin,#monsieur-serrefort,#lucile,#la-baronne,#guillemin,#le-cocher
#lisette,4.787234042553193,0.02889437689969597,1.0905917553191489,0.04800531914893618,2.253583037825059,2.1285460992907796,0.28823138297872325,0.0561835106382979,0.7480053191489362,0.6808510638297872,0.14960106382978727
#madame-patin,0.02889437689969597,3.063829787234043,0.35015197568389067,0.14054711246200605,0.02647754137115843,0.09807497467071918,0.04903748733535959,0.00030395136778115905,0.02054711246200609,0.08753799392097267,0.08753799392097267
#la-brie,1.0905917553191489,0.35015197568389067,39.340425531914896,0.42553191489361697,1.4069148936170213,0.0004432624113475144,0.5106382978723404,0.6808510638297872,0.42553191489361697,0.0851063829787234,0.0851063829787234
#monsieur-migaud,0.04800531914893618,0.14054711246200605,0.42553191489361697,37.53191489361703,0.4371158392434987,0.05992907801418434,0.2049645390070923,0.02606382978723404,0.5319148936170213,0.10638297872340424,0.10638297872340424
#le-chevalier,2.253583037825059,0.02647754137115843,1.4069148936170213,0.4371158392434989,17.893617021276597,6.355003940110325,0.0386130811662726,0.36938534278959806,0.0037825059101654758,0.9940898345153664,0.38297872340425526
#crispin,2.1285460992907796,0.09807497467071918,0.0004432624113475144,0.05992907801418434,6.355003940110325,26.063829787234052,0.1846926713947988,0.0008865248226950288,0.05992907801418434,0.2553191489361702,0.2553191489361702
#monsieur-serrefort,0.28823138297872325,0.04903748733535959,0.5106382978723404,0.2049645390070923,0.0386130811662726,0.1846926713947988,35.76595744680852,0.0004432624113475144,0.6382978723404255,0.1276595744680851,0.1276595744680851
#lucile,0.0561835106382979,0.00030395136778115905,0.6808510638297872,0.02606382978723404,0.36938534278959806,0.0008865248226950288,0.0004432624113475144,32.361702127659576,1.5510638297872341,0.1702127659574468,0.1702127659574468
#la-baronne,0.7480053191489362,0.02054711246200609,0.42553191489361697,0.5319148936170213,0.0037825059101654957,0.05992907801418434,0.6382978723404255,1.5510638297872341,37.53191489361703,0.10638297872340424,7.506382978723403
#guillemin,0.6808510638297872,0.08753799392097267,0.0851063829787234,0.10638297872340424,0.9940898345153664,0.2553191489361702,0.1276595744680851,0.1702127659574468,0.10638297872340424,45.02127659574468,0.02127659574468085
#le-cocher,0.14960106382978727,0.08753799392097267,0.0851063829787234,0.10638297872340424,0.38297872340425526,0.2553191489361702,0.1276595744680851,0.1702127659574468,7.506382978723403,0.02127659574468085,45.02127659574468
Successions,#lisette,#madame-patin,#la-brie,#monsieur-migaud,#le-chevalier,#crispin,#monsieur-serrefort,#lucile,#la-baronne,#guillemin,#le-cocher
#lisette,0.01764705882352941,0.5470588235294118,0.011764705882352941,0.12941176470588237,0.047058823529411764,0.01764705882352941,0.10588235294117647,0.052941176470588235,0.07058823529411765,0.0,0.0
#madame-patin,0.2739273927392739,0.009900990099009901,0.013201320132013201,0.0891089108910891,0.2145214521452145,0.066006600660066,0.10561056105610561,0.1188118811881188,0.09900990099009901,0.006600660066006601,0.0033003300330033004
#la-brie,0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
#monsieur-migaud,0.43137254901960786,0.5490196078431373,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0
#le-chevalier,0.05434782608695652,0.30434782608695654,0.005434782608695652,0.005434782608695652,0.0,0.532608695652174,0.010869565217391304,0.02717391304347826,0.05434782608695652,0.005434782608695652,0.0
#crispin,0.03125,0.1640625,0.0,0.0,0.75,0.0078125,0.0,0.03125,0.015625,0.0,0.0
#monsieur-serrefort,0.2962962962962963,0.6296296296296297,0.0,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.0,0.0,0.0,0.0,0.0
#lucile,0.25396825396825395,0.5555555555555556,0.015873015873015872,0.0,0.031746031746031744,0.06349206349206349,0.015873015873015872,0.0,0.06349206349206349,0.0,0.0
#la-baronne,0.22413793103448276,0.4827586206896552,0.0,0.0,0.1206896551724138,0.017241379310344827,0.0,0.15517241379310345,0.0,0.0,0.0
#guillemin,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0
#le-cocher,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
