VALEUR,#junon,#mercure,#sosie,#jupiter,#alcmene,#amphitryon,#cephalie,#premier-capitaine,#second-capitaine,#troisieme-capitaine,#capitaine-des-gardes
Fréquences (scènes),0.038461538461538464,0.2692307692307692,0.5,0.3076923076923077,0.2692307692307692,0.38461538461538464,0.23076923076923078,0.2692307692307692,0.23076923076923078,0.07692307692307693,0.11538461538461539
Fréquences(répliques),0.04720369420215495,0.13801949717804002,0.2719343252950231,0.10312981015905592,0.11031298101590559,0.21139045664443304,0.06926629040533606,0.03437660338635198,0.006670087224217547,0.002565418163160595,0.00513083632632119
Confrontation,0.0,0.021739130434782608,0.19021739130434784,0.09239130434782608,0.08152173913043478,0.15760869565217392,0.08152173913043478,0.14673913043478262,0.125,0.03260869565217391,0.07065217391304347
Déviations,#junon,#mercure,#sosie,#jupiter,#alcmene,#amphitryon,#cephalie,#premier-capitaine,#second-capitaine,#troisieme-capitaine,#capitaine-des-gardes
#junon,24.038461538461537,0.2692307692307692,0.5,0.3076923076923077,0.2692307692307692,0.38461538461538464,0.23076923076923078,0.2692307692307692,0.23076923076923078,0.07692307692307693,0.11538461538461539
#mercure,0.2692307692307693,13.884615384615383,0.6428571428571429,2.153846153846154,1.8846153846153846,1.063736263736264,0.23443223443223446,1.8846153846153846,1.6153846153846154,0.5384615384615385,0.8076923076923077
#sosie,0.5,0.6428571428571429,6.5,0.0,0.07142857142857142,1.8,0.0,1.7857142857142858,1.3333333333333333,0.0,1.5
#jupiter,0.3076923076923077,2.1538461538461537,0.0,12.46153846153846,1.5824175824175828,0.376923076923077,0.38782051282051294,0.3324175824175825,0.012820512820512803,0.6153846153846154,0.006410256410256401
#alcmene,0.2692307692307693,1.8846153846153846,0.07142857142857142,1.5824175824175817,13.884615384615383,0.1780219780219781,3.52014652014652,0.4152276295133438,0.23443223443223446,0.5384615384615385,0.8076923076923077
#amphitryon,0.38461538461538464,1.0637362637362635,1.8,0.376923076923077,0.17802197802197792,9.846153846153845,0.20769230769230754,1.9780219780219788,1.2410256410256404,0.0692307692307692,2.953846153846153
#cephalie,0.23076923076923078,0.23443223443223446,0.0,0.38782051282051294,3.52014652014652,0.20769230769230754,15.384615384615381,0.23443223443223446,0.10683760683760682,0.46153846153846156,0.13675213675213677
#premier-capitaine,0.2692307692307693,1.8846153846153846,1.7857142857142858,0.3324175824175821,0.4152276295133438,1.9780219780219774,0.23443223443223446,13.884615384615383,11.901098901098903,3.967032967032966,5.950549450549452
#second-capitaine,0.23076923076923078,1.6153846153846154,1.3333333333333333,0.012820512820512803,0.23443223443223446,1.2410256410256404,0.10683760683760682,11.901098901098903,15.384615384615381,5.128205128205127,2.47008547008547
#troisieme-capitaine,0.07692307692307693,0.5384615384615384,0.0,0.6153846153846154,0.5384615384615384,0.0692307692307692,0.46153846153846156,3.967032967032968,5.128205128205127,22.153846153846157,0.23076923076923078
#capitaine-des-gardes,0.11538461538461539,0.8076923076923077,1.5,0.006410256410256401,0.8076923076923077,2.953846153846153,0.13675213675213677,5.950549450549452,2.47008547008547,0.23076923076923078,20.346153846153843
Successions,#junon,#mercure,#sosie,#jupiter,#alcmene,#amphitryon,#cephalie,#premier-capitaine,#second-capitaine,#troisieme-capitaine,#capitaine-des-gardes
#junon,,,,,,,,,,,
#mercure,0.009523809523809525,0.0,0.6857142857142857,0.009523809523809525,0.0,0.2,0.09523809523809523,0.0,0.0,0.0,0.0
#sosie,0.0,0.4931506849315068,0.0,0.04794520547945205,0.03424657534246575,0.3424657534246575,0.0,0.04794520547945205,0.03424657534246575,0.0,0.0
#jupiter,0.0,0.018867924528301886,0.1509433962264151,0.0,0.32075471698113206,0.39622641509433965,0.0,0.09433962264150944,0.018867924528301886,0.0,0.0
#alcmene,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.5892857142857143,0.125,0.0,0.0,0.0,0.0
#amphitryon,0.0,0.13836477987421383,0.3081761006289308,0.12578616352201258,0.1949685534591195,0.0,0.1069182389937107,0.0880503144654088,0.012578616352201259,0.012578616352201259,0.012578616352201259
#cephalie,0.0,0.2857142857142857,0.11428571428571428,0.11428571428571428,0.08571428571428572,0.4,0.0,0.0,0.0,0.0,0.0
#premier-capitaine,0.0,0.0,0.23333333333333334,0.23333333333333334,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667
#second-capitaine,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111
#troisieme-capitaine,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
#capitaine-des-gardes,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0
