VALEUR,#matamore,#bonniface,#le-capitaine,#angelique,#alison,#philipin,#beau-chateau,#beau-lieu,#tous-deux
Fréquences (scènes),0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.7392679620424762,0.04970628106642567,0.07772254857659286,0.036601897876186174,0.028468142792589246,0.03298689561680976,0.021690013556258474,0.012652507907817443,0.0009037505648441031
Confrontation,0.015625,0.125,0.140625,0.140625,0.140625,0.109375,0.109375,0.109375,0.109375
Déviations,#matamore,#bonniface,#le-capitaine,#angelique,#alison,#philipin,#beau-chateau,#beau-lieu,#tous-deux
#matamore,0.1333333333333334,0.4023809523809524,1.8666666666666667,1.8666666666666667,1.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
#bonniface,0.4023809523809524,26.133333333333336,5.633333333333334,5.633333333333334,5.633333333333334,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#le-capitaine,1.8666666666666667,5.633333333333334,26.133333333333336,26.133333333333336,26.133333333333336,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#le-capitaine,1.8666666666666667,5.633333333333334,26.133333333333336,26.133333333333336,26.133333333333336,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#le-capitaine,1.8666666666666667,5.633333333333334,26.133333333333336,26.133333333333336,26.133333333333336,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668
#philipin,0.9333333333333333,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#philipin,0.9333333333333333,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#philipin,0.9333333333333333,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
#philipin,0.9333333333333333,13.066666666666668,13.066666666666668,13.066666666666668,13.066666666666668,28.03333333333333,28.03333333333333,28.03333333333333,28.03333333333333
Successions,#matamore,#bonniface,#le-capitaine,#angelique,#alison,#philipin,#beau-chateau,#beau-lieu,#tous-deux
#matamore,0.29213483146067415,0.7078651685393258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bonniface,0.9130434782608695,0.0,0.057971014492753624,0.014492753623188406,0.0,0.0,0.014492753623188406,0.0,0.0
#le-capitaine,0.041666666666666664,0.16666666666666666,0.0,0.4583333333333333,0.125,0.0,0.125,0.041666666666666664,0.041666666666666664
#angelique,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0
#alison,0.0,0.0625,0.0625,0.5625,0.0,0.25,0.0625,0.0,0.0
#philipin,0.0,0.0,0.25,0.0,0.25,0.0,0.375,0.125,0.0
#beau-chateau,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0
#beau-lieu,0.0,0.125,0.25,0.125,0.0,0.25,0.25,0.0,0.0
#tous-deux,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
