VALEUR,#lisette,#crispin,#eraste,#geronte,#un-laquais,#madame-argante,#isabelle,#le-laquais,#argante,#clistorel,#monsieur-scrupule,#monsieur-gaspard
Fréquences (scènes),0.7551020408163265,0.4897959183673469,0.6122448979591837,0.5102040816326531,0.02040816326530612,0.12244897959183673,0.10204081632653061,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.02040816326530612
Fréquences(répliques),0.22372227579556414,0.28688524590163933,0.19238187078109933,0.17839922854387658,0.0009643201542912247,0.020732883317261332,0.019286403085824494,0.0028929604628736743,0.00048216007714561236,0.0313404050144648,0.03712632594021215,0.0057859209257473485
Confrontation,0.23841059602649006,0.152317880794702,0.2185430463576159,0.18211920529801323,0.006622516556291391,0.056291390728476824,0.059602649006622516,0.023178807947019868,0.016556291390728478,0.006622516556291391,0.026490066225165563,0.013245033112582781
Déviations,#lisette,#crispin,#eraste,#geronte,#un-laquais,#madame-argante,#isabelle,#le-laquais,#argante,#clistorel,#monsieur-scrupule,#monsieur-gaspard
#lisette,2.938775510204082,0.06952105166390887,0.5890972605258321,0.5164699393270824,0.7551020408163265,0.06214377642949075,0.15929398786541643,0.15885273028130178,0.07942636514065089,0.07942636514065089,0.15885273028130178,0.07942636514065089
#crispin,0.06952105166390887,12.75510204081633,0.3619331065759636,2.246564625850341,0.4897959183673469,1.2790532879818592,0.8573129251700681,0.9795918367346939,0.4897959183673469,0.4897959183673469,1.0629251700680273,0.5314625850340137
#eraste,0.5890972605258311,0.3619331065759636,7.3673469387755075,0.11145578231292512,0.24557823129251719,0.47902494331065754,1.2278911564625845,0.04115646258503395,0.24557823129251719,0.6122448979591836,0.49115646258503437,0.24557823129251719
#geronte,0.5164699393270824,2.24656462585034,0.11145578231292512,11.755102040816324,0.47020408163265304,0.0012244897959183612,0.07902040816326533,0.9404081632653061,0.47020408163265304,0.47020408163265304,0.0004081632653061234,0.5102040816326531
#un-laquais,0.7551020408163263,0.48979591836734687,0.24557823129251719,0.47020408163265337,47.020408163265316,0.12244897959183672,0.1020408163265306,0.040816326530612235,0.020408163265306117,0.020408163265306117,0.040816326530612235,0.020408163265306117
#madame-argante,0.06214377642949075,1.2790532879818592,0.47902494331065754,0.0012244897959183788,0.12244897959183673,37.734693877551024,18.745578231292512,0.24489795918367346,0.12244897959183673,0.12244897959183673,0.24489795918367346,0.12244897959183673
#isabelle,0.15929398786541626,0.8573129251700681,1.2278911564625845,0.07902040816326533,0.1020408163265306,18.745578231292512,39.51020408163265,3.1040816326530614,7.902040816326531,0.1020408163265306,0.2040816326530612,0.1020408163265306
#le-laquais,0.15885273028130195,0.9795918367346937,0.04115646258503395,0.9404081632653067,0.040816326530612235,0.24489795918367344,3.1040816326530614,45.081632653061234,22.540816326530617,0.040816326530612235,0.08163265306122447,0.040816326530612235
#argante,0.07942636514065098,0.48979591836734687,0.24557823129251719,0.47020408163265337,0.020408163265306117,0.12244897959183672,7.902040816326531,22.540816326530617,47.020408163265316,0.020408163265306117,0.040816326530612235,0.020408163265306117
#clistorel,0.07942636514065098,0.48979591836734687,0.6122448979591836,0.47020408163265337,0.020408163265306117,0.12244897959183672,0.1020408163265306,0.040816326530612235,0.020408163265306117,47.020408163265316,0.040816326530612235,0.020408163265306117
#monsieur-scrupule,0.15885273028130195,1.0629251700680278,0.49115646258503437,0.00040816326530611455,0.040816326530612235,0.24489795918367344,0.2040816326530612,0.08163265306122447,0.040816326530612235,0.040816326530612235,45.081632653061234,22.540816326530617
#monsieur-gaspard,0.07942636514065098,0.5314625850340139,0.24557823129251719,0.510204081632653,0.020408163265306117,0.12244897959183672,0.1020408163265306,0.040816326530612235,0.020408163265306117,0.020408163265306117,22.540816326530617,47.020408163265316
Successions,#lisette,#crispin,#eraste,#geronte,#un-laquais,#madame-argante,#isabelle,#le-laquais,#argante,#clistorel,#monsieur-scrupule,#monsieur-gaspard
#lisette,0.022099447513812154,0.425414364640884,0.17679558011049723,0.30386740331491713,0.0,0.0,0.0055248618784530384,0.0,0.0,0.049723756906077346,0.011049723756906077,0.0055248618784530384
#crispin,0.4207650273224044,0.01639344262295082,0.28415300546448086,0.19672131147540983,0.0,0.0,0.0,0.0,0.0,0.0,0.060109289617486336,0.02185792349726776
#eraste,0.20945945945945946,0.35135135135135137,0.013513513513513514,0.2905405405405405,0.006756756756756757,0.060810810810810814,0.0472972972972973,0.0,0.0,0.0,0.02027027027027027,0.0
#geronte,0.2947976878612717,0.2138728323699422,0.26011560693641617,0.017341040462427744,0.0,0.028901734104046242,0.017341040462427744,0.017341040462427744,0.0,0.08092485549132948,0.06936416184971098,0.0
#un-laquais,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-argante,0.25,0.0625,0.4375,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
#isabelle,0.0,0.0,0.46153846153846156,0.3076923076923077,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
#le-laquais,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#argante,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clistorel,0.34782608695652173,0.0,0.0,0.6521739130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-scrupule,0.10714285714285714,0.35714285714285715,0.07142857142857142,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-gaspard,0.2,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
