VALEUR,#artemise,#ceobante,#l-echanson,#hyperie,#doralie,#alcandre,#lyzidan,#cenomant,#tyrene
Fréquences (scènes),0.30303030303030304,0.24242424242424243,0.030303030303030304,0.5151515151515151,0.7575757575757576,0.42424242424242425,0.21212121212121213,0.24242424242424243,0.2727272727272727
Fréquences(répliques),0.1443850267379679,0.09917355371900827,0.0004861448711716091,0.08215848322800194,0.24404472532814778,0.19397180359747204,0.043753038405444825,0.15556635877491493,0.036460865337870685
Confrontation,0.12949640287769784,0.10071942446043165,0.014388489208633094,0.1474820143884892,0.19424460431654678,0.1474820143884892,0.0683453237410072,0.07913669064748201,0.11870503597122302
Déviations,#artemise,#ceobante,#l-echanson,#hyperie,#doralie,#alcandre,#lyzidan,#cenomant,#tyrene
#artemise,16.03030303030303,2.736742424242424,1.6030303030303032,0.6632798573975046,0.26775757575757564,1.792424242424243,0.5926406926406926,0.8367424242424244,1.8939393939393945
#ceobante,2.736742424242424,18.939393939393938,2.367424242424242,0.3050356506238859,0.000606060606060605,0.7600108225108224,0.05411255411255409,0.0018939393939393905,1.5151515151515156
#l-echanson,1.6030303030303032,2.367424242424242,31.03030303030303,0.45632798573975053,0.07757575757575759,0.4242424242424243,0.21212121212121215,0.24242424242424243,0.2727272727272727
#hyperie,0.6632798573975046,0.3050356506238859,0.45632798573975053,7.757575757575757,0.27408199643493764,0.00623885918003564,0.7153043035395976,0.003565062388591794,0.4010695187165779
#doralie,0.26775757575757564,0.000606060606060605,0.07757575757575759,0.27408199643493764,1.9393939393939406,0.24320346320346306,0.017316017316017288,0.14560606060606063,0.09818181818181801
#alcandre,1.792424242424243,0.7600108225108224,0.4242424242424243,0.00623885918003564,0.24320346320346306,10.93939393939394,0.00030921459492888007,0.045725108225108245,2.6515151515151523
#lyzidan,0.5926406926406926,0.05411255411255409,0.21212121212121215,0.7153043035395976,0.017316017316017288,0.00030921459492888007,20.484848484848488,1.0005411255411254,0.6233766233766236
#cenomant,0.8367424242424244,0.0018939393939393905,0.24242424242424243,0.003565062388591794,0.14560606060606063,0.045725108225108245,1.0005411255411254,18.939393939393938,0.015151515151515124
#tyrene,1.8939393939393931,1.5151515151515156,0.2727272727272727,0.4010695187165773,0.09818181818181822,2.6515151515151514,0.6233766233766233,0.015151515151515124,17.45454545454546
Successions,#artemise,#ceobante,#l-echanson,#hyperie,#doralie,#alcandre,#lyzidan,#cenomant,#tyrene
#artemise,0.0,0.22784810126582278,0.0,0.08860759493670886,0.17721518987341772,0.3670886075949367,0.02531645569620253,0.0379746835443038,0.0759493670886076
#ceobante,0.2982456140350877,0.0,0.0,0.0,0.24561403508771928,0.3333333333333333,0.017543859649122806,0.10526315789473684,0.0
#l-echanson,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#hyperie,0.08,0.0,0.013333333333333334,0.013333333333333334,0.38666666666666666,0.4266666666666667,0.0,0.05333333333333334,0.02666666666666667
#doralie,0.12025316455696203,0.06329113924050633,0.0,0.14556962025316456,0.02531645569620253,0.12658227848101267,0.15822784810126583,0.34177215189873417,0.0189873417721519
#alcandre,0.22123893805309736,0.168141592920354,0.0,0.30973451327433627,0.1592920353982301,0.008849557522123894,0.017699115044247787,0.02654867256637168,0.08849557522123894
#lyzidan,0.027777777777777776,0.05555555555555555,0.0,0.05555555555555555,0.6111111111111112,0.1111111111111111,0.0,0.1111111111111111,0.027777777777777776
#cenomant,0.05333333333333334,0.09333333333333334,0.0,0.04,0.7466666666666667,0.013333333333333334,0.05333333333333334,0.0,0.0
#tyrene,0.2727272727272727,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.3181818181818182,0.09090909090909091,0.045454545454545456,0.0
