VALEUR,#amelie,#dorise,#dionys,#eraste,#emile,#le-valet,#lisidan,#le-pere,#erante,#cloris,#la-nourrice
Fréquences (scènes),0.48484848484848486,0.06060606060606061,0.6363636363636364,0.18181818181818182,0.12121212121212122,0.18181818181818182,0.42424242424242425,0.06060606060606061,0.2727272727272727,0.21212121212121213,0.030303030303030304
Fréquences(répliques),0.20980788675429726,0.03387259858442872,0.2416582406471183,0.05965621840242669,0.0935288169868554,0.04954499494438827,0.09302325581395349,0.016177957532861477,0.10010111223458039,0.09251769464105157,0.010111223458038422
Confrontation,0.17289719626168223,0.014018691588785047,0.2102803738317757,0.07476635514018691,0.07009345794392523,0.07009345794392523,0.1542056074766355,0.018691588785046728,0.1308411214953271,0.0794392523364486,0.004672897196261682
Déviations,#amelie,#dorise,#dionys,#eraste,#emile,#le-valet,#lisidan,#le-pere,#erante,#cloris,#la-nourrice
#amelie,8.757575757575758,1.0946969696969697,0.06574675324675328,0.409090909090909,0.0018939393939393905,0.0028409090909090854,1.145021645021645,0.9696969696969697,0.0928030303030304,2.001082251082251,0.48484848484848486
#dorise,1.0946969696969697,29.12121212121212,0.05844155844155843,0.36363636363636365,0.24242424242424243,0.36363636363636365,0.8484848484848486,0.12121212121212122,0.5454545454545454,0.4242424242424243,0.06060606060606061
#dionys,0.06574675324675328,0.05844155844155843,4.363636363636364,0.008658008658008642,0.08116883116883118,0.8658008658008659,0.4907235621521331,0.05844155844155843,0.9018759018759025,0.04638218923933219,0.6363636363636364
#eraste,0.409090909090909,0.36363636363636365,0.008658008658008642,22.090909090909093,0.10227272727272725,0.007575757575757562,0.11688311688311687,1.1136363636363635,0.2474747474747474,0.4155844155844156,0.18181818181818182
#emile,0.0018939393939393905,0.24242424242424243,0.08116883116883118,0.10227272727272725,25.484848484848484,7.102272727272725,1.0005411255411254,0.24242424242424243,0.7575757575757578,0.027056277056277046,0.12121212121212122
#le-valet,0.0028409090909090854,0.36363636363636365,0.8658008658008659,0.007575757575757562,7.102272727272725,22.090909090909093,0.08116883116883118,0.36363636363636365,0.08080808080808087,0.05844155844155843,0.18181818181818182
#lisidan,1.145021645021645,0.8484848484848486,0.490723562152134,0.11688311688311687,1.0005411255411254,0.08116883116883118,10.93939393939394,0.027056277056277046,4.58008658008658,1.3064316635745208,0.4242424242424243
#le-pere,0.9696969696969697,0.12121212121212122,0.05844155844155843,1.1136363636363635,0.24242424242424243,0.36363636363636365,0.027056277056277046,29.12121212121212,0.5454545454545454,0.4242424242424243,14.56060606060606
#erante,0.0928030303030304,0.5454545454545454,0.9018759018759016,0.24747474747474754,0.7575757575757578,0.08080808080808076,4.580086580086579,0.5454545454545454,17.45454545454546,0.004329004329004321,0.2727272727272727
#cloris,2.001082251082251,0.4242424242424243,0.046382189239332024,0.4155844155844156,0.027056277056277046,0.05844155844155843,1.3064316635745208,0.4242424242424243,0.004329004329004343,20.484848484848488,0.21212121212121215
#la-nourrice,0.48484848484848486,0.06060606060606061,0.6363636363636364,0.18181818181818182,0.12121212121212122,0.18181818181818182,0.4242424242424243,14.56060606060606,0.2727272727272727,0.21212121212121215,31.03030303030303
Successions,#amelie,#dorise,#dionys,#eraste,#emile,#le-valet,#lisidan,#le-pere,#erante,#cloris,#la-nourrice
#amelie,0.020202020202020204,0.1717171717171717,0.3838383838383838,0.10101010101010101,0.010101010101010102,0.0707070707070707,0.04040404040404041,0.0,0.08080808080808081,0.1111111111111111,0.010101010101010102
#dorise,0.6818181818181818,0.0,0.3181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#dionys,0.36538461538461536,0.04807692307692308,0.019230769230769232,0.057692307692307696,0.20192307692307693,0.028846153846153848,0.17307692307692307,0.009615384615384616,0.07692307692307693,0.019230769230769232,0.0
#eraste,0.3333333333333333,0.0,0.3333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.0
#emile,0.0,0.0,0.4878048780487805,0.04878048780487805,0.0,0.3902439024390244,0.04878048780487805,0.0,0.024390243902439025,0.0,0.0
#le-valet,0.21212121212121213,0.0,0.06060606060606061,0.0,0.5454545454545454,0.030303030303030304,0.12121212121212122,0.0,0.0,0.030303030303030304,0.0
#lisidan,0.13636363636363635,0.0,0.3181818181818182,0.0,0.022727272727272728,0.09090909090909091,0.0,0.0,0.4318181818181818,0.0,0.0
#le-pere,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
#erante,0.275,0.0,0.275,0.0,0.0,0.025,0.4,0.0,0.025,0.0,0.0
#cloris,0.631578947368421,0.0,0.10526315789473684,0.21052631578947367,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
#la-nourrice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
