VALEUR,#le-venerable,#le-surveillant,#les-deux-surveillants,#choeur-des-femmes,#hortense,#choeur-de-francs-maçons,#marine,#le-premier-surveillant,#le-second-surveillant,#choeur-des-francs-macons
Fréquences (scènes),0.75,0.25,0.125,0.125,0.625,0.125,0.25,0.125,0.125,0.125
Fréquences(répliques),0.326271186440678,0.2245762711864407,0.038135593220338986,0.012711864406779662,0.326271186440678,0.00423728813559322,0.019067796610169493,0.02754237288135593,0.019067796610169493,0.00211864406779661
Confrontation,0.20689655172413793,0.10344827586206896,0.017241379310344827,0.08620689655172414,0.1896551724137931,0.08620689655172414,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.06896551724137931
Déviations,#le-venerable,#le-surveillant,#les-deux-surveillants,#choeur-des-femmes,#hortense,#choeur-de-francs-maçons,#marine,#le-premier-surveillant,#le-second-surveillant,#choeur-des-francs-macons
#le-venerable,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.15,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333
#le-surveillant,0.16666666666666666,4.5,0.25,2.25,0.05,2.25,0.5,0.25,0.25,0.25
#les-deux-surveillants,0.08333333333333333,0.25,6.125,0.125,0.625,0.125,0.25,0.125,0.125,0.125
#choeur-des-femmes,0.08333333333333333,2.25,0.125,6.125,0.225,6.125,2.25,0.125,0.125,0.125
#hortense,0.15,0.05,0.625,0.225,1.125,0.225,0.45,0.225,0.225,0.225
#choeur-des-femmes,0.08333333333333333,2.25,0.125,6.125,0.225,6.125,2.25,0.125,0.125,0.125
#marine,0.16666666666666666,0.5,0.25,2.25,0.45,2.25,4.5,0.25,0.25,0.25
#le-premier-surveillant,0.08333333333333333,0.25,0.125,0.125,0.225,0.125,0.25,6.125,6.125,6.125
#le-premier-surveillant,0.08333333333333333,0.25,0.125,0.125,0.225,0.125,0.25,6.125,6.125,6.125
#le-premier-surveillant,0.08333333333333333,0.25,0.125,0.125,0.225,0.125,0.25,6.125,6.125,6.125
Successions,#le-venerable,#le-surveillant,#les-deux-surveillants,#choeur-des-femmes,#hortense,#choeur-de-francs-maçons,#marine,#le-premier-surveillant,#le-second-surveillant,#choeur-des-francs-macons
#le-venerable,0.027777777777777776,0.4722222222222222,0.027777777777777776,0.027777777777777776,0.3333333333333333,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0
#le-surveillant,0.625,0.041666666666666664,0.0,0.041666666666666664,0.2916666666666667,0.0,0.0,0.0,0.0,0.0
#les-deux-surveillants,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur-des-femmes,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#hortense,0.625,0.16666666666666666,0.0,0.041666666666666664,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0
#choeur-de-francs-maçons,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#marine,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#le-premier-surveillant,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
#le-second-surveillant,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
#choeur-des-francs-macons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
