VALEUR,#hidaspe,#thoas,#anthenor,#iphigenie,#taxis,#cyane,#thomiris,#pylade,#erine,#oreste
Fréquences (scènes),0.18181818181818182,0.4318181818181818,0.13636363636363635,0.3409090909090909,0.09090909090909091,0.06818181818181818,0.25,0.1590909090909091,0.06818181818181818,0.18181818181818182
Fréquences(répliques),0.06650544135429262,0.18742442563482467,0.10761789600967352,0.22249093107617895,0.021160822249093107,0.03143893591293833,0.14389359129383314,0.08827085852478839,0.010882708585247884,0.12031438935912939
Confrontation,0.10869565217391304,0.1956521739130435,0.07608695652173914,0.16304347826086957,0.043478260869565216,0.03260869565217391,0.11956521739130435,0.11956521739130435,0.03260869565217391,0.10869565217391304
Déviations,#hidaspe,#thoas,#anthenor,#iphigenie,#taxis,#cyane,#thomiris,#pylade,#erine,#oreste
#hidaspe,29.45454545454545,0.08612440191387559,0.007575757575757562,0.19393939393939383,0.7272727272727273,0.5454545454545454,2.0,0.4155844155844156,0.5454545454545454,0.14204545454545456
#thoas,0.08612440191387559,14.204545454545453,0.06459330143540672,1.866746411483253,0.9377990430622009,1.2954545454545454,1.5921052631578947,0.34603554340396436,1.2954545454545454,1.744019138755981
#anthenor,0.007575757575757562,0.06459330143540672,32.81818181818182,2.0454545454545454,0.5454545454545454,0.40909090909090906,1.5,0.9545454545454546,0.40909090909090906,1.0909090909090908
#iphigenie,0.19393939393939383,1.866746411483253,2.045454545454545,19.11363636363637,1.3636363636363635,3.8227272727272745,2.016666666666666,0.15779220779220787,1.0227272727272725,0.027272727272727317
#taxis,0.7272727272727273,0.9377990430622009,0.5454545454545454,1.3636363636363635,36.36363636363636,0.2727272727272727,0.0,0.6363636363636364,0.2727272727272727,0.7272727272727273
#cyane,0.5454545454545454,1.2954545454545454,0.40909090909090906,3.822727272727273,0.2727272727272727,38.20454545454545,0.75,0.4772727272727273,0.20454545454545453,0.5454545454545454
#thomiris,2.0,1.5921052631578947,1.5,2.016666666666666,0.0,0.75,24.75,1.75,6.75,0.5
#pylade,0.4155844155844156,0.3460355434039646,0.9545454545454545,0.15779220779220787,0.6363636363636364,0.47727272727272724,1.75,31.113636363636367,0.47727272727272724,5.844155844155845
#erine,0.5454545454545454,1.2954545454545454,0.40909090909090906,1.0227272727272727,0.2727272727272727,0.20454545454545453,6.75,0.4772727272727273,38.20454545454545,0.5454545454545454
#oreste,0.14204545454545456,1.744019138755981,1.0909090909090908,0.027272727272727317,0.7272727272727273,0.5454545454545454,0.5,5.844155844155845,0.5454545454545454,29.45454545454545
Successions,#hidaspe,#thoas,#anthenor,#iphigenie,#taxis,#cyane,#thomiris,#pylade,#erine,#oreste
#hidaspe,0.0,0.6153846153846154,0.0,0.23076923076923078,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693
#thoas,0.1875,0.14583333333333334,0.16666666666666666,0.1875,0.125,0.0,0.14583333333333334,0.020833333333333332,0.0,0.020833333333333332
#anthenor,0.0,0.4666666666666667,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.06666666666666667,0.0
#iphigenie,0.046875,0.140625,0.0,0.046875,0.0,0.15625,0.0625,0.203125,0.0,0.34375
#taxis,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
#cyane,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
#thomiris,0.0,0.3,0.23333333333333334,0.16666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.0,0.16666666666666666,0.06666666666666667
#pylade,0.08333333333333333,0.08333333333333333,0.0,0.4583333333333333,0.0,0.0,0.0,0.0,0.0,0.375
#erine,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
#oreste,0.0,0.0,0.0,0.6571428571428571,0.0,0.0,0.08571428571428572,0.2571428571428571,0.0,0.0
