VALEUR,#trajan,#placide,#plotine,#tyrsis,#lysis,#trajane,#agapite,#teopiste,#agapite #teopiste,#eustache,#matelot,#teopiste-fils,#flore,#le-pere,#arbilan,#le-messager,#amintor,#la-fortune,#la-fleur,#teopiste-mere,#ormond,#un-soldat
Fréquences (scènes),0.21739130434782608,0.08695652173913043,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.4782608695652174,0.043478260869565216,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.043478260869565216
Fréquences(répliques),0.09194711538461539,0.0733173076923077,0.057692307692307696,0.03665865384615385,0.0018028846153846155,0.038461538461538464,0.03365384615384615,0.21514423076923078,0.0006009615384615385,0.17487980769230768,0.006610576923076923,0.009014423076923076,0.025240384615384616,0.0006009615384615385,0.02283653846153846,0.019230769230769232,0.052884615384615384,0.021634615384615384,0.026442307692307692,0.0006009615384615385,0.08954326923076923,0.001201923076923077
Confrontation,0.07368421052631578,0.031578947368421054,0.06315789473684211,0.02631578947368421,0.031578947368421054,0.031578947368421054,0.12105263157894737,0.15263157894736842,0.010526315789473684,0.08947368421052632,0.021052631578947368,0.06315789473684211,0.010526315789473684,0.010526315789473684,0.06315789473684211,0.03684210526315789,0.03684210526315789,0.021052631578947368,0.021052631578947368,0.015789473684210527,0.05263157894736842,0.015789473684210527
Déviations,#trajan,#placide,#plotine,#tyrsis,#lysis,#trajane,#agapite,#teopiste,#agapite #teopiste,#eustache,#matelot,#teopiste-fils,#flore,#le-pere,#arbilan,#le-messager,#amintor,#la-fortune,#la-fleur,#teopiste-mere,#ormond,#un-soldat
#trajan,14.08695652173913,0.7347826086956523,5.219565217391305,0.18550724637681157,5.634782608695653,0.7347826086956523,0.07101449275362319,0.8094861660079051,0.21739130434782608,1.7391304347826086,0.21739130434782608,0.6521739130434783,0.21739130434782608,0.21739130434782608,0.7669565217391305,2.785507246376812,0.6521739130434783,0.21739130434782608,0.21739130434782608,0.21739130434782608,1.0869565217391304,0.21739130434782608
#placide,0.7347826086956523,19.17391304347826,1.2228260869565217,2.094202898550724,3.9239130434782608,3.9239130434782608,0.5217391304347826,0.9565217391304348,9.58695652173913,0.6956521739130435,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.08695652173913043
#plotine,5.219565217391305,1.2228260869565217,15.695652173913043,0.43840579710144933,1.2228260869565217,1.2228260869565217,0.0018115942028985484,0.003952569169960469,0.17391304347826086,1.391304347826087,0.17391304347826086,0.5217391304347826,0.17391304347826086,0.17391304347826086,0.019565217391304356,0.43840579710144933,0.5217391304347826,0.17391304347826086,0.17391304347826086,0.17391304347826086,0.8695652173913043,0.17391304347826086
#tyrsis,0.18550724637681157,2.094202898550724,0.43840579710144933,17.39130434782609,2.094202898550724,0.2608695652173913,0.7826086956521738,0.13175230566534923,0.13043478260869565,1.0434782608695652,0.13043478260869565,0.3913043478260869,0.13043478260869565,0.13043478260869565,0.6521739130434783,0.3913043478260869,0.3913043478260869,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.6521739130434783,0.13043478260869565
#lysis,5.634782608695653,3.9239130434782608,1.2228260869565217,2.094202898550724,19.17391304347826,0.17391304347826086,0.5217391304347826,0.9565217391304348,0.08695652173913043,0.6956521739130435,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.43478260869565216,2.094202898550724,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.08695652173913043
#trajane,0.7347826086956523,3.9239130434782608,1.2228260869565217,0.2608695652173913,0.17391304347826086,19.17391304347826,0.43840579710144933,0.0019762845849802344,9.58695652173913,0.6956521739130435,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.43478260869565216,0.08695652173913043
#agapite,0.07101449275362319,0.5217391304347826,0.0018115942028985484,0.7826086956521738,0.5217391304347826,0.43840579710144933,12.56521739130435,3.4150197628458487,0.2608695652173913,0.0036231884057970967,2.094202898550724,6.282608695652175,0.2608695652173913,0.2608695652173913,0.07101449275362319,0.7826086956521738,0.060386473429951744,2.094202898550724,2.094202898550724,2.094202898550724,0.37101449275362314,2.094202898550724
#teopiste,0.8094861660079051,0.9565217391304348,0.003952569169960469,0.13175230566534912,0.9565217391304348,0.0019762845849802344,3.4150197628458505,6.260869565217391,0.4782608695652174,0.007905138339920938,0.5691699604743082,1.7075098814229253,0.4782608695652174,0.4782608695652174,0.8094861660079051,1.434782608695652,1.7075098814229253,0.5691699604743082,0.5691699604743082,0.5691699604743082,0.06403162055335967,0.5691699604743082
#agapite #teopiste,0.21739130434782608,9.58695652173913,0.17391304347826086,0.13043478260869565,0.08695652173913043,9.58695652173913,0.2608695652173913,0.4782608695652174,21.043478260869566,0.34782608695652173,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.043478260869565216
#eustache,1.7391304347826086,0.6956521739130435,1.391304347826087,1.0434782608695652,0.6956521739130435,0.6956521739130435,0.0036231884057970967,0.007905138339920938,0.34782608695652173,9.782608695652174,1.2228260869565217,0.8768115942028987,1.2228260869565217,1.2228260869565217,0.03913043478260871,0.0018115942028985484,0.0018115942028985484,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.03913043478260871,0.34782608695652173
#matelot,0.21739130434782608,0.08695652173913043,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.08695652173913043,2.094202898550724,0.5691699604743082,0.043478260869565216,1.2228260869565217,21.043478260869566,5.797101449275362,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.21739130434782608,0.043478260869565216
#teopiste-fils,0.6521739130434783,0.2608695652173913,0.5217391304347826,0.3913043478260869,0.2608695652173913,0.2608695652173913,6.282608695652175,1.7075098814229244,0.13043478260869565,0.8768115942028987,5.797101449275362,17.39130434782609,0.13043478260869565,0.13043478260869565,0.18550724637681157,0.3913043478260869,0.3913043478260869,0.13043478260869565,0.13043478260869565,5.797101449275362,0.18550724637681157,0.13043478260869565
