VALEUR,#icile,#sextus,#tarquin,#arons,#collatin,#spurius,#lucrece,#brutus,#valerius,#albin,#mutius,#horace,#les-conjures
Fréquences (scènes),0.3076923076923077,0.5,0.07692307692307693,0.07692307692307693,0.2692307692307692,0.23076923076923078,0.34615384615384615,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.038461538461538464
Fréquences(répliques),0.08891928864569083,0.28454172366621067,0.06087551299589603,0.022571819425444596,0.09644322845417237,0.073187414500684,0.19151846785225718,0.12175102599179206,0.009575923392612859,0.01094391244870041,0.030095759233926128,0.008891928864569083,0.0006839945280437756
Confrontation,0.05232558139534884,0.0755813953488372,0.011627906976744186,0.011627906976744186,0.12209302325581395,0.11627906976744186,0.11627906976744186,0.10465116279069768,0.09302325581395349,0.09302325581395349,0.06395348837209303,0.09302325581395349,0.046511627906976744
Déviations,#icile,#sextus,#tarquin,#arons,#collatin,#spurius,#lucrece,#brutus,#valerius,#albin,#mutius,#horace,#les-conjures
#icile,12.46153846153846,1.0,0.6153846153846154,0.6153846153846154,2.1538461538461537,1.8461538461538463,0.019230769230769242,1.8461538461538463,0.9230769230769231,0.9230769230769231,0.6153846153846154,0.9230769230769231,0.3076923076923077
#sextus,1.0,6.5,0.0,1.0,3.5,3.0,0.05555555555555555,0.3333333333333333,1.5,1.5,1.0,1.5,0.5
#tarquin,0.6153846153846154,0.0,22.153846153846157,4.653846153846153,0.5384615384615384,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693
#arons,0.6153846153846154,1.0,4.653846153846153,22.153846153846157,0.3956043956043957,0.46153846153846156,0.6923076923076923,0.46153846153846156,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693
#collatin,2.153846153846154,3.5,0.5384615384615385,0.3956043956043954,13.884615384615383,11.901098901098903,0.13736263736263746,1.1868131868131866,1.76007326007326,1.76007326007326,0.3956043956043954,1.76007326007326,1.983516483516483
#spurius,1.8461538461538463,3.0,0.46153846153846156,0.46153846153846156,11.901098901098903,15.384615384615381,0.4102564102564105,1.8846153846153848,2.47008547008547,2.47008547008547,0.6282051282051281,2.47008547008547,2.5641025641025634
#lucrece,0.019230769230769242,0.05555555555555555,0.6923076923076923,0.6923076923076923,0.13736263736263746,0.4102564102564101,11.115384615384617,0.0028490028490028613,0.0014245014245014306,0.0014245014245014306,0.13675213675213677,0.0014245014245014306,1.235042735042735
#brutus,1.8461538461538463,0.3333333333333333,0.46153846153846156,0.46153846153846156,1.1868131868131866,1.8846153846153848,0.002849002849002829,15.384615384615381,2.47008547008547,2.47008547008547,0.6282051282051281,2.47008547008547,2.5641025641025634
#valerius,0.9230769230769231,1.5,0.23076923076923078,0.23076923076923078,1.76007326007326,2.47008547008547,0.0014245014245014146,2.47008547008547,20.346153846153843,20.346153846153843,13.564102564102562,20.346153846153843,6.782051282051281
#valerius,0.9230769230769231,1.5,0.23076923076923078,0.23076923076923078,1.76007326007326,2.47008547008547,0.0014245014245014146,2.47008547008547,20.346153846153843,20.346153846153843,13.564102564102562,20.346153846153843,6.782051282051281
#mutius,0.6153846153846154,1.0,0.15384615384615385,0.15384615384615385,0.3956043956043957,0.6282051282051281,0.13675213675213677,0.6282051282051281,13.564102564102562,13.564102564102562,22.153846153846157,13.564102564102562,11.076923076923078
#valerius,0.9230769230769231,1.5,0.23076923076923078,0.23076923076923078,1.76007326007326,2.47008547008547,0.0014245014245014146,2.47008547008547,20.346153846153843,20.346153846153843,13.564102564102562,20.346153846153843,6.782051282051281
#les-conjures,0.3076923076923077,0.5,0.07692307692307693,0.07692307692307693,1.983516483516484,2.5641025641025634,1.235042735042735,2.5641025641025634,6.782051282051281,6.782051282051281,11.076923076923078,6.782051282051281,24.038461538461537
Successions,#icile,#sextus,#tarquin,#arons,#collatin,#spurius,#lucrece,#brutus,#valerius,#albin,#mutius,#horace,#les-conjures
#icile,0.021739130434782608,0.9565217391304348,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
