VALEUR,#la-fortune,#neptune,#une-habitante,#un-habitant,#l-amour,#cleonice,#un-musicien,#la-nymphe,#le-faune,#coridon,#philis,#corinne,#pan,#un-faune,#la-dryade,#mademoiselle-salle,#une-musicienne,#timocles,#aristione,#clitidas,#eriphyle,#le-marie
Fréquences (scènes),0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.1368421052631579,0.1031578947368421,0.016842105263157894,0.029473684210526315,0.07578947368421053,0.03368421052631579,0.02526315789473684,0.014736842105263158,0.14526315789473684,0.06315789473684211,0.008421052631578947,0.03368421052631579,0.056842105263157895,0.023157894736842106,0.03368421052631579,0.008421052631578947,0.029473684210526315,0.0,0.0,0.021052631578947368,0.0,0.14105263157894737
Confrontation,0.02857142857142857,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.08571428571428572,0.014285714285714285,0.014285714285714285,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.04285714285714286,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0
Déviations,#la-fortune,#neptune,#une-habitante,#un-habitant,#l-amour,#cleonice,#un-musicien,#la-nymphe,#le-faune,#coridon,#philis,#corinne,#pan,#un-faune,#la-dryade,#mademoiselle-salle,#une-musicienne,#timocles,#aristione,#clitidas,#eriphyle,#le-marie
#la-fortune,4.0,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.1666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#neptune,1.3333333333333337,7.111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#une-habitante,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#une-habitante,0.3333333333333333,0.1111111111111111,7.111111111111111,7.111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#l-amour,0.1666666666666667,0.2222222222222222,0.2222222222222222,0.2222222222222222,5.444444444444445,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223,0.2222222222222222
#cleonice,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,7.111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
