VALEUR,#claironde,#lucine,#meliarque,#tersandre,#dorimon,#floridan,#le-voleur,#alcinor,#flaviane,#clymene,#diomede
Fréquences (scènes),0.06060606060606061,0.09090909090909091,0.15151515151515152,0.30303030303030304,0.36363636363636365,0.45454545454545453,0.030303030303030304,0.2727272727272727,0.24242424242424243,0.24242424242424243,0.12121212121212122
Fréquences(répliques),0.0619074177356386,0.06636921360847742,0.054099274958170664,0.21416620189626326,0.1003904071388734,0.18627997769102064,0.0011154489682097045,0.11823759063022866,0.10652537646402677,0.0501952035694367,0.04071388733965421
Confrontation,0.027777777777777776,0.027777777777777776,0.0763888888888889,0.1597222222222222,0.14583333333333334,0.2013888888888889,0.020833333333333332,0.09722222222222222,0.1111111111111111,0.10416666666666667,0.027777777777777776
Déviations,#claironde,#lucine,#meliarque,#tersandre,#dorimon,#floridan,#le-voleur,#alcinor,#flaviane,#clymene,#diomede
#claironde,29.12121212121212,18.18181818181818,1.6030303030303032,0.25606060606060604,0.7272727272727273,0.9090909090909091,0.06060606060606061,0.5454545454545454,0.48484848484848486,0.48484848484848486,0.24242424242424243
#lucine,18.18181818181818,27.272727272727277,0.6545454545454544,0.009090909090909073,1.0909090909090908,1.3636363636363635,0.09090909090909091,0.8181818181818181,0.7272727272727273,0.7272727272727273,0.36363636363636365
#meliarque,1.6030303030303032,0.6545454545454544,23.757575757575754,4.075151515151515,0.018181818181818146,0.7127272727272725,0.15151515151515152,1.3636363636363635,1.2121212121212122,0.03712121212121213,0.25606060606060604
#tersandre,0.25606060606060604,0.009090909090909073,4.075151515151515,16.03030303030303,0.7363636363636366,0.4654545454545458,0.30303030303030304,0.027272727272727317,0.13674242424242422,0.07424242424242426,0.03712121212121213
#dorimon,0.7272727272727273,1.0909090909090908,0.018181818181818146,0.7363636363636366,13.363636363636367,2.304545454545455,1.1136363636363635,1.578282828282828,1.2528409090909092,0.409090909090909,0.14204545454545456
#floridan,0.9090909090909092,1.3636363636363638,0.7127272727272729,0.4654545454545451,2.304545454545454,9.818181818181818,0.6545454545454544,0.0020202020202020163,0.03636363636363629,0.11136363636363647,0.3681818181818183
#le-voleur,0.06060606060606061,0.09090909090909091,0.15151515151515152,0.30303030303030304,1.1136363636363635,0.6545454545454544,31.03030303030303,1.9393939393939397,0.24242424242424243,0.24242424242424243,0.12121212121212122
#alcinor,0.5454545454545454,0.8181818181818182,1.3636363636363638,0.02727272727272722,1.5782828282828285,0.0020202020202020163,1.9393939393939397,17.45454545454546,1.5151515151515156,0.640151515151515,1.0909090909090908
#flaviane,0.48484848484848486,0.7272727272727273,1.2121212121212122,0.13674242424242422,1.2528409090909092,0.03636363636363639,0.24242424242424243,1.5151515151515156,18.939393939393938,2.1893939393939394,0.9696969696969697
#clymene,0.48484848484848486,0.7272727272727273,0.03712121212121213,0.07424242424242426,0.409090909090909,0.11136363636363633,0.24242424242424243,0.640151515151515,2.1893939393939394,18.939393939393938,0.9696969696969697
#diomede,0.24242424242424243,0.36363636363636365,0.25606060606060604,0.03712121212121213,0.14204545454545456,0.3681818181818181,0.12121212121212122,1.0909090909090908,0.9696969696969697,0.9696969696969697,25.484848484848484
Successions,#claironde,#lucine,#meliarque,#tersandre,#dorimon,#floridan,#le-voleur,#alcinor,#flaviane,#clymene,#diomede
#claironde,0.0,0.6,0.08571428571428572,0.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lucine,0.8333333333333334,0.0,0.041666666666666664,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#meliarque,0.09523809523809523,0.023809523809523808,0.0,0.7857142857142857,0.047619047619047616,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0
#tersandre,0.1276595744680851,0.010638297872340425,0.3191489361702128,0.010638297872340425,0.07446808510638298,0.19148936170212766,0.0,0.11702127659574468,0.07446808510638298,0.0,0.07446808510638298
#dorimon,0.0,0.01639344262295082,0.01639344262295082,0.11475409836065574,0.01639344262295082,0.5409836065573771,0.0,0.01639344262295082,0.0,0.26229508196721313,0.01639344262295082
#floridan,0.0,0.0,0.009345794392523364,0.1588785046728972,0.308411214953271,0.018691588785046728,0.009345794392523364,0.19626168224299065,0.16822429906542055,0.028037383177570093,0.102803738317757
#le-voleur,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#alcinor,0.0,0.0,0.0,0.140625,0.0,0.328125,0.015625,0.015625,0.484375,0.015625,0.0
#flaviane,0.0,0.0,0.014084507042253521,0.09859154929577464,0.0,0.23943661971830985,0.0,0.4084507042253521,0.0,0.22535211267605634,0.014084507042253521
#clymene,0.0,0.0,0.05128205128205128,0.05128205128205128,0.38461538461538464,0.10256410256410256,0.0,0.02564102564102564,0.38461538461538464,0.0,0.0
#diomede,0.0,0.0,0.14285714285714285,0.19047619047619047,0.047619047619047616,0.5238095238095238,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616
