VALEUR,#dominique,#le-kaouadji,#ben-aïssa,#nathan,#bethsabee,#maurice,#kadidja,#saint-aubin,#bou-taleb,#lea,#le-negre,#premier-rabbin,#deuxieme-rabbin,#choeur,#les-jeunes-filles,#les-jeunes-gens,#un-kabyle,#maurice #saint-aubin,#les-kabyles,#le-kabyle,#l-officier,#les-juifs,#tous,#tout-le-monde
Fréquences (scènes),0.15384615384615385,0.038461538461538464,0.36538461538461536,0.3076923076923077,0.11538461538461539,0.3269230769230769,0.25,0.07692307692307693,0.25,0.3076923076923077,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.019230769230769232,0.057692307692307696,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.038461538461538464
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confrontation,0.05519480519480519,0.016233766233766232,0.14935064935064934,0.10064935064935066,0.03571428571428571,0.11688311688311688,0.07142857142857142,0.03896103896103896,0.10064935064935066,0.07467532467532467,0.006493506493506494,0.025974025974025976,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.03896103896103896,0.01948051948051948,0.012987012987012988,0.025974025974025976,0.00974025974025974,0.01948051948051948,0.01948051948051948,0.03571428571428571
Déviations,#dominique,#le-kaouadji,#ben-aïssa,#nathan,#bethsabee,#maurice,#kadidja,#saint-aubin,#bou-taleb,#lea,#le-negre,#premier-rabbin,#deuxieme-rabbin,#choeur,#les-jeunes-filles,#les-jeunes-gens,#un-kabyle,#maurice #saint-aubin,#les-kabyles,#le-kabyle,#l-officier,#les-juifs,#tous,#tout-le-monde
#dominique,37.230769230769226,9.307692307692307,0.0020242914979757176,0.8677884615384617,0.006410256410256401,0.14479638009049775,2.0,3.115384615384615,0.5,2.4615384615384617,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,5.128205128205127,4.653846153846153,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077
#le-kaouadji,9.307692307692307,48.07692307692307,0.09919028340080975,0.24038461538461534,2.5641025641025634,0.6538461538461539,0.5,0.15384615384615385,0.5,0.6153846153846154,0.038461538461538464,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693
#ben-aïssa,0.002024291497975694,0.09919028340080967,20.942307692307697,0.5829959514170043,0.6484480431848855,0.10008335317932837,0.32894736842105265,0.14574898785425108,1.0657894736842106,0.5829959514170043,0.3653846153846154,0.09919028340080967,0.3653846153846154,0.3653846153846154,0.3653846153846154,0.3653846153846154,0.7452766531713898,1.1022267206477732,1.1022267206477732,0.7452766531713898,1.1022267206477732,1.1022267206477732,1.1022267206477732,2.2044534412955463
#nathan,0.8677884615384617,0.24038461538461534,0.5829959514170039,24.92307692307692,2.5128205128205123,0.2895927601809955,0.25,1.2307692307692308,2.25,0.0012019230769230683,1.5576923076923075,3.115384615384615,1.5576923076923075,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.9230769230769231,0.3076923076923077,0.3076923076923077,0.9230769230769231,0.3076923076923077,1.5576923076923075,1.5576923076923075,3.115384615384615
#bethsabee,0.006410256410256401,2.5641025641025634,0.648448043184885,2.5128205128205123,40.692307692307686,1.9615384615384617,0.16666666666666666,0.46153846153846156,1.5,0.012820512820512803,6.782051282051281,0.23076923076923078,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.34615384615384615,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078
#maurice,0.14479638009049775,0.6538461538461539,0.10008335317932862,0.2895927601809955,1.9615384615384617,23.557692307692314,0.014705882352941176,5.542986425339367,0.1323529411764706,0.11312217194570134,0.3269230769230769,0.6538461538461539,0.3269230769230769,0.3269230769230769,0.3269230769230769,0.3269230769230769,0.0003770739064856685,1.3857466063348418,0.3269230769230769,0.9807692307692308,1.3857466063348418,0.3269230769230769,0.3269230769230769,0.1832579185520362
