VALEUR,#arsace,#mitrane,#oroes,#assur,#otane,#semiramis,#azema,#cedar,#l-ombre,#ninias
Fréquences (scènes),0.40625,0.21875,0.15625,0.34375,0.15625,0.40625,0.375,0.03125,0.03125,0.125
Fréquences(répliques),0.19529938444320089,0.050923335198656966,0.10912143256855064,0.11471740346950196,0.05204252937884723,0.2859541130386122,0.1331841074426413,0.012311135982092894,0.004476776720761052,0.041969781757134866
Confrontation,0.14788732394366197,0.09859154929577464,0.1056338028169014,0.14788732394366197,0.08450704225352113,0.16901408450704225,0.14084507042253522,0.007042253521126761,0.035211267605633804,0.06338028169014084
Déviations,#arsace,#mitrane,#oroes,#assur,#otane,#semiramis,#azema,#cedar,#l-ombre,#ninias
#arsace,11.28125,0.47012362637362637,0.4620192307692308,0.049169580419580416,0.5235576923076923,0.31083579881656803,0.15705128205128205,0.40625,0.8677884615384616,1.625
#mitrane,0.47012362637362637,19.53125,0.7508928571428571,0.06858766233766234,0.008035714285714285,0.008585164835164836,1.005952380952381,0.21875,0.21875,0.017857142857142856
#oroes,0.4620192307692308,0.7508928571428571,22.78125,0.04602272727272727,0.06125,0.4620192307692308,0.008333333333333333,0.15625,4.55625,0.225
#assur,0.049169580419580416,0.06858766233766234,0.04602272727272727,13.78125,0.9551136363636363,0.049169580419580416,0.3068181818181818,1.2528409090909092,1.2528409090909092,0.10227272727272728
#otane,0.5235576923076923,0.008035714285714285,0.06125,0.9551136363636363,22.78125,1.908173076923077,0.4083333333333333,0.15625,0.15625,0.225
#semiramis,0.31083579881656803,0.008585164835164836,0.4620192307692308,0.049169580419580416,1.908173076923077,11.28125,0.15705128205128205,0.40625,0.8677884615384616,0.2403846153846154
#azema,0.15705128205128205,1.005952380952381,0.008333333333333333,0.3068181818181818,0.4083333333333333,0.15705128205128205,12.5,0.375,1.0416666666666667,4.166666666666667
#cedar,0.40625,0.21875,0.15625,1.2528409090909092,0.15625,0.40625,0.375,30.03125,0.03125,0.125
#l-ombre,0.8677884615384616,0.21875,4.55625,1.2528409090909092,0.15625,0.8677884615384616,1.0416666666666667,0.03125,30.03125,0.125
#ninias,1.625,0.017857142857142856,0.225,0.10227272727272728,0.225,0.2403846153846154,4.166666666666667,0.125,0.125,24.5
Successions,#arsace,#mitrane,#oroes,#assur,#otane,#semiramis,#azema,#cedar,#l-ombre,#ninias
#arsace,0.0,0.13793103448275862,0.22988505747126436,0.13793103448275862,0.011494252873563218,0.3218390804597701,0.14942528735632185,0.0,0.011494252873563218,0.0
#mitrane,0.8,0.0,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0
#oroes,0.6111111111111112,0.027777777777777776,0.0,0.027777777777777776,0.0,0.2777777777777778,0.0,0.0,0.0,0.05555555555555555
#assur,0.4,0.0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.13333333333333333,0.1,0.03333333333333333,0.03333333333333333
#otane,0.125,0.0,0.0,0.125,0.0,0.6875,0.0625,0.0,0.0,0.0
#semiramis,0.3698630136986301,0.0273972602739726,0.1506849315068493,0.0821917808219178,0.1780821917808219,0.0136986301369863,0.1506849315068493,0.0,0.0,0.0273972602739726
#azema,0.30952380952380953,0.0,0.023809523809523808,0.047619047619047616,0.0,0.30952380952380953,0.047619047619047616,0.0,0.0,0.2619047619047619
#cedar,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-ombre,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#ninias,0.0,0.0,0.0625,0.125,0.0625,0.125,0.625,0.0,0.0,0.0
