VALEUR,#don-fernand,#guzman,#jacinte,#beatrix,#don-juan,#don-diegue,#isabelle,#leonor,#l-exempt
Fréquences (scènes),0.7352941176470589,0.5882352941176471,0.23529411764705882,0.5294117647058824,0.23529411764705882,0.058823529411764705,0.5,0.2647058823529412,0.029411764705882353
Fréquences(répliques),0.28161730136342267,0.1767748001880583,0.0305594734367654,0.16549130230371414,0.05218617771509168,0.016455101081335213,0.16314057357780912,0.10860366713681241,0.005171603196991067
Confrontation,0.2089041095890411,0.1678082191780822,0.0821917808219178,0.17123287671232876,0.0821917808219178,0.0273972602739726,0.16095890410958905,0.08904109589041095,0.010273972602739725
Déviations,#don-fernand,#guzman,#jacinte,#beatrix,#don-juan,#don-diegue,#isabelle,#leonor,#l-exempt
#don-fernand,2.3823529411764706,1.2538823529411758,0.0023529411764706075,0.11529411764705899,0.2123529411764708,0.15058823529411758,0.5,0.3954248366013074,0.09529411764705888
#guzman,1.2538823529411758,5.764705882352939,0.10588235294117651,0.03267973856209147,0.01838235294117645,0.026470588235294128,0.9,2.049673202614379,0.28823529411764703
#jacinte,0.002352941176470571,0.10588235294117651,19.88235294117647,0.3602941176470588,0.41360294117647056,0.5955882352941178,0.25,7.117647058823529,0.23529411764705882
#beatrix,0.11529411764705899,0.03267973856209147,0.3602941176470588,7.529411764705883,0.13807189542483658,0.0032679738562091517,2.7777777777777777,0.011619462599854762,0.5294117647058824
#don-juan,0.21235294117647044,0.01838235294117645,0.41360294117647056,0.13807189542483658,19.88235294117647,0.5955882352941178,0.0,0.5898692810457516,0.23529411764705882
#don-diegue,0.1505882352941177,0.026470588235294128,0.5955882352941178,0.0032679738562091517,0.5955882352941178,30.11764705882353,1.0,0.41830065359477125,0.058823529411764705
#isabelle,0.5,0.9,0.25,2.7777777777777777,0.0,1.0,8.5,0.5,0.5
#leonor,0.3954248366013074,2.049673202614379,7.117647058823529,0.011619462599854762,0.5898692810457516,0.41830065359477125,0.5,18.38235294117647,0.2647058823529412
#l-exempt,0.09529411764705878,0.28823529411764703,0.23529411764705882,0.5294117647058824,0.23529411764705882,0.058823529411764705,0.5,0.2647058823529412,32.029411764705884
Successions,#don-fernand,#guzman,#jacinte,#beatrix,#don-juan,#don-diegue,#isabelle,#leonor,#l-exempt
#don-fernand,0.00423728813559322,0.3389830508474576,0.0635593220338983,0.15254237288135594,0.11016949152542373,0.00423728813559322,0.1906779661016949,0.1271186440677966,0.00847457627118644
#guzman,0.5923076923076923,0.015384615384615385,0.08461538461538462,0.18461538461538463,0.023076923076923078,0.0,0.06153846153846154,0.015384615384615385,0.023076923076923078
#jacinte,0.5,0.28125,0.0,0.03125,0.0,0.0,0.03125,0.15625,0.0
#beatrix,0.42105263157894735,0.21052631578947367,0.010526315789473684,0.0,0.06315789473684211,0.010526315789473684,0.22105263157894736,0.06315789473684211,0.0
#don-juan,0.5476190476190477,0.11904761904761904,0.0,0.14285714285714285,0.0,0.023809523809523808,0.14285714285714285,0.023809523809523808,0.0
#don-diegue,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.5714285714285714,0.14285714285714285,0.0
#isabelle,0.41818181818181815,0.08181818181818182,0.0,0.22727272727272727,0.045454545454545456,0.02727272727272727,0.00909090909090909,0.18181818181818182,0.00909090909090909
#leonor,0.46153846153846156,0.06153846153846154,0.07692307692307693,0.046153846153846156,0.0,0.015384615384615385,0.3384615384615385,0.0,0.0
#l-exempt,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
