VALEUR,#emilie,#le-chevalier,#la-waltoline,#le-marquis,#boursault,#amarante,#ortodoxe,#la-france
Fréquences (scènes),1.0,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285
Fréquences(répliques),0.2183794466403162,0.2381422924901186,0.036561264822134384,0.308300395256917,0.05632411067193676,0.03359683794466403,0.1067193675889328,0.001976284584980237
Confrontation,0.21739130434782608,0.1956521739130435,0.043478260869565216,0.18478260869565216,0.08695652173913043,0.10869565217391304,0.10869565217391304,0.05434782608695652
Déviations,#emilie,#le-chevalier,#la-waltoline,#le-marquis,#boursault,#amarante,#ortodoxe,#la-france
#emilie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-chevalier,0.0,0.14285714285714304,0.29761904761904756,0.019047619047619032,0.04761904761904765,0.04761904761904765,0.04761904761904765,0.023809523809523826
#la-waltoline,0.0,0.29761904761904756,3.5714285714285716,0.1285714285714286,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.2857142857142857
#le-marquis,0.0,0.019047619047619032,0.12857142857142848,0.5714285714285713,0.22857142857142873,0.22857142857142873,0.22857142857142873,0.11428571428571437
#boursault,0.0,0.04761904761904765,0.5714285714285714,0.22857142857142854,3.5714285714285716,0.3214285714285715,0.3214285714285715,0.2857142857142857
#amarante,0.0,0.04761904761904765,0.5714285714285714,0.22857142857142854,0.3214285714285715,3.5714285714285716,3.5714285714285716,1.7857142857142858
#amarante,0.0,0.04761904761904765,0.5714285714285714,0.22857142857142854,0.3214285714285715,3.5714285714285716,3.5714285714285716,1.7857142857142858
#la-france,0.0,0.023809523809523826,0.2857142857142857,0.11428571428571427,0.2857142857142857,1.7857142857142858,1.7857142857142858,5.142857142857144
Successions,#emilie,#le-chevalier,#la-waltoline,#le-marquis,#boursault,#amarante,#ortodoxe,#la-france
#emilie,0.014925373134328358,0.1044776119402985,0.14925373134328357,0.4925373134328358,0.05970149253731343,0.014925373134328358,0.16417910447761194,0.0
#le-chevalier,0.16666666666666666,0.0,0.016666666666666666,0.7333333333333333,0.0,0.016666666666666666,0.06666666666666667,0.0
#la-waltoline,0.9230769230769231,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.23770491803278687,0.3442622950819672,0.01639344262295082,0.0,0.07377049180327869,0.07377049180327869,0.2540983606557377,0.0
#boursault,0.35714285714285715,0.14285714285714285,0.0,0.35714285714285715,0.0,0.07142857142857142,0.07142857142857142,0.0
#amarante,0.0625,0.125,0.0,0.6875,0.0,0.0,0.0625,0.0625
#ortodoxe,0.1875,0.10416666666666667,0.0,0.6041666666666666,0.020833333333333332,0.08333333333333333,0.0,0.0
#la-france,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
