VALEUR,#phedon,#nicandre,#eraste,#alidor,#philidan,#eliante,#clorise,#dorilas,#eliante #philidan
Fréquences (scènes),0.18518518518518517,0.14814814814814814,0.2222222222222222,0.5555555555555556,0.4074074074074074,0.37037037037037035,0.5555555555555556,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.07426508509541001,0.040226921093347086,0.0593089221248066,0.32026817947395564,0.1072717895822589,0.18824136152656007,0.20061887570912842,0.007735946364105209,0.0020629190304280558
Confrontation,0.07432432432432433,0.07432432432432433,0.11486486486486487,0.16891891891891891,0.18243243243243243,0.16216216216216217,0.19594594594594594,0.013513513513513514,0.013513513513513514
Déviations,#phedon,#nicandre,#eraste,#alidor,#philidan,#eliante,#clorise,#dorilas,#eliante #philidan
#phedon,17.92592592592593,6.890740740740743,0.711111111111111,1.1377777777777778,0.5279461279461277,0.39185185185185173,0.017777777777777795,0.18518518518518517,0.18518518518518517
#nicandre,6.890740740740743,19.59259259259259,5.013888888888889,0.6722222222222223,0.2432659932659932,0.15648148148148142,0.02222222222222224,0.14814814814814814,0.14814814814814814
#eraste,0.711111111111111,5.013888888888889,16.33333333333334,0.03333333333333336,0.12626262626262638,0.02222222222222224,0.13333333333333328,0.2222222222222222,0.2222222222222222
#alidor,1.1377777777777778,0.6722222222222223,0.03333333333333328,5.333333333333332,0.12929292929292943,0.05555555555555552,0.2133333333333335,0.3555555555555555,0.5555555555555556
#philidan,0.5279461279461277,0.2432659932659932,0.12626262626262638,0.12929292929292913,9.481481481481485,2.1013468013468026,0.002020202020202038,0.8619528619528619,0.8619528619528619
#eliante,0.39185185185185173,0.15648148148148142,0.02222222222222224,0.05555555555555552,2.1013468013468026,10.703703703703706,0.37555555555555564,0.37037037037037035,1.0703703703703706
#clorise,0.017777777777777795,0.02222222222222224,0.13333333333333347,0.2133333333333335,0.002020202020202006,0.37555555555555564,5.333333333333332,0.5555555555555556,0.5555555555555556
#dorilas,0.18518518518518517,0.14814814814814814,0.2222222222222222,0.3555555555555555,0.8619528619528619,0.37037037037037035,0.5555555555555556,25.03703703703704,0.037037037037037035
#eliante #philidan,0.18518518518518517,0.14814814814814814,0.2222222222222222,0.5555555555555556,0.8619528619528619,1.0703703703703706,0.5555555555555556,0.037037037037037035,25.03703703703704
Successions,#phedon,#nicandre,#eraste,#alidor,#philidan,#eliante,#clorise,#dorilas,#eliante #philidan
#phedon,0.037037037037037035,0.4444444444444444,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.0,0.25925925925925924,0.0,0.0
#nicandre,0.5555555555555556,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0
#eraste,0.1724137931034483,0.20689655172413793,0.0,0.13793103448275862,0.10344827586206896,0.034482758620689655,0.3448275862068966,0.0,0.0
#alidor,0.016666666666666666,0.0,0.03333333333333333,0.008333333333333333,0.23333333333333334,0.325,0.36666666666666664,0.016666666666666666,0.0
#philidan,0.0,0.0,0.03333333333333333,0.35555555555555557,0.011111111111111112,0.3,0.2,0.08888888888888889,0.011111111111111112
#eliante,0.0,0.0,0.02197802197802198,0.46153846153846156,0.27472527472527475,0.0,0.23076923076923078,0.0,0.01098901098901099
#clorise,0.08823529411764706,0.0,0.08823529411764706,0.39215686274509803,0.18627450980392157,0.23529411764705882,0.00980392156862745,0.0,0.0
#dorilas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#dorilas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
