VALEUR,#faussette,#thyrcee,#choeurs,#bridon,#fiston,#le-paysan,#bebee,#tous,#bridon #les-choeurs,#alix,#enfants-de-choeur,#les-choeurs
Fréquences (scènes),0.10526315789473684,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.47368421052631576,0.05263157894736842,0.631578947368421,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.05263157894736842
Fréquences(répliques),0.08659217877094973,0.12569832402234637,0.0782122905027933,0.1564245810055866,0.2206703910614525,0.0,0.24860335195530725,0.0,0.00558659217877095,0.0446927374301676,0.0223463687150838,0.0111731843575419
Confrontation,0.038461538461538464,0.09615384615384616,0.10576923076923077,0.15384615384615385,0.19230769230769232,0.028846153846153848,0.16346153846153846,0.038461538461538464,0.038461538461538464,0.0673076923076923,0.038461538461538464,0.038461538461538464
Déviations,#faussette,#thyrcee,#choeurs,#bridon,#fiston,#le-paysan,#bebee,#tous,#bridon #les-choeurs,#alix,#enfants-de-choeur,#les-choeurs
#faussette,15.210526315789474,5.921052631578948,0.42631578947368426,0.21491228070175444,0.9473684210526315,0.10526315789473684,1.263157894736842,0.10526315789473684,0.10526315789473684,0.5263157894736842,0.10526315789473684,0.10526315789473684
#thyrcee,5.921052631578948,11.842105263157896,0.8526315789473685,2.3881578947368425,0.005847953216374281,2.960526315789474,2.526315789473684,0.21052631578947367,0.21052631578947367,1.0526315789473684,0.21052631578947367,0.21052631578947367
#choeurs,0.42631578947368426,0.8526315789473685,10.31578947368421,0.212280701754386,0.16842105263157905,0.2631578947368421,1.4745614035087722,0.2631578947368421,0.2631578947368421,0.07578947368421048,2.0631578947368427,2.0631578947368427
#bridon,0.21491228070175444,2.3881578947368425,0.212280701754386,8.894736842105264,0.4717348927875244,1.4824561403508774,0.16447368421052624,1.4824561403508774,1.4824561403508774,0.212280701754386,0.3157894736842105,0.3157894736842105
#fiston,0.9473684210526315,0.005847953216374281,0.16842105263157905,0.4717348927875244,5.263157894736844,0.5847953216374271,0.0823586744639376,0.5847953216374271,0.5847953216374271,0.790643274853801,0.5847953216374271,0.5847953216374271
#le-paysan,0.10526315789473684,2.960526315789474,0.2631578947368421,1.4824561403508774,0.5847953216374271,17.05263157894737,0.631578947368421,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.05263157894736842
#bebee,1.263157894736842,2.526315789473684,1.4745614035087722,0.16447368421052624,0.0823586744639376,0.631578947368421,2.5789473684210535,0.21491228070175444,0.21491228070175444,0.22456140350877188,0.21491228070175444,0.21491228070175444
#tous,0.10526315789473684,0.21052631578947367,0.2631578947368421,1.4824561403508774,0.5847953216374271,0.05263157894736842,0.21491228070175444,17.05263157894737,17.05263157894737,0.2631578947368421,0.05263157894736842,0.05263157894736842
#tous,0.10526315789473684,0.21052631578947367,0.2631578947368421,1.4824561403508774,0.5847953216374271,0.05263157894736842,0.21491228070175444,17.05263157894737,17.05263157894737,0.2631578947368421,0.05263157894736842,0.05263157894736842
#alix,0.5263157894736842,1.0526315789473684,0.07578947368421048,0.212280701754386,0.790643274853801,0.2631578947368421,0.22456140350877188,0.2631578947368421,0.2631578947368421,10.31578947368421,0.2631578947368421,0.2631578947368421
#enfants-de-choeur,0.10526315789473684,0.21052631578947367,2.0631578947368427,0.3157894736842105,0.5847953216374271,0.05263157894736842,0.21491228070175444,0.05263157894736842,0.05263157894736842,0.2631578947368421,17.05263157894737,17.05263157894737
#enfants-de-choeur,0.10526315789473684,0.21052631578947367,2.0631578947368427,0.3157894736842105,0.5847953216374271,0.05263157894736842,0.21491228070175444,0.05263157894736842,0.05263157894736842,0.2631578947368421,17.05263157894737,17.05263157894737
Successions,#faussette,#thyrcee,#choeurs,#bridon,#fiston,#le-paysan,#bebee,#tous,#bridon #les-choeurs,#alix,#enfants-de-choeur,#les-choeurs
#faussette,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thyrcee,0.2727272727272727,0.0,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeurs,0.14285714285714285,0.0,0.0,0.14285714285714285,0.42857142857142855,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0
#bridon,0.047619047619047616,0.2857142857142857,0.0,0.0,0.38095238095238093,0.09523809523809523,0.19047619047619047,0.0,0.0,0.0,0.0,0.0
#fiston,0.0,0.08333333333333333,0.041666666666666664,0.3333333333333333,0.0,0.0,0.4166666666666667,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664
#le-paysan,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bebee,0.0,0.0,0.1111111111111111,0.18518518518518517,0.2962962962962963,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.25925925925925924,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#bridon #les-choeurs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#alix,0.0,0.0,0.125,0.0,0.125,0.0,0.75,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
