VALEUR,#monsieur-de-hauteroche,#mademoiselle-poisson,#le-baron,#le-poete,#bidache,#godenesche,#saint-georges,#monsieur-de-floridor,#mademoiselle-de-beauchasteau,#tous-les-comediens,#mademoiselle-de-brecourt,#scapin,#le-marquis,#agathe,#un-violon,#le-vieillard,#la-servante
Fréquences (scènes),0.6363636363636364,0.36363636363636365,0.6363636363636364,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
Fréquences(répliques),0.1149584487534626,0.05678670360110803,0.09141274238227147,0.38365650969529086,0.002770083102493075,0.07340720221606649,0.008310249307479225,0.055401662049861494,0.004155124653739612,0.002770083102493075,0.0110803324099723,0.06509695290858726,0.04155124653739612,0.07617728531855955,0.0013850415512465374,0.002770083102493075,0.008310249307479225
Confrontation,0.13978494623655913,0.06451612903225806,0.13440860215053763,0.16129032258064516,0.016129032258064516,0.04838709677419355,0.043010752688172046,0.11290322580645161,0.053763440860215055,0.016129032258064516,0.03763440860215054,0.026881720430107527,0.026881720430107527,0.026881720430107527,0.026881720430107527,0.03225806451612903,0.03225806451612903
Déviations,#monsieur-de-hauteroche,#mademoiselle-poisson,#le-baron,#le-poete,#bidache,#godenesche,#saint-georges,#monsieur-de-floridor,#mademoiselle-de-beauchasteau,#tous-les-comediens,#mademoiselle-de-brecourt,#scapin,#le-marquis,#agathe,#un-violon,#le-vieillard,#la-servante
#monsieur-de-hauteroche,1.4545454545454553,0.8311688311688312,0.046382189239332024,0.23376623376623373,0.6363636363636364,0.05844155844155843,0.05844155844155843,0.01038961038961037,0.05844155844155843,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078,0.2077922077922078
#mademoiselle-poisson,0.8311688311688312,4.454545454545454,0.08116883116883118,1.2528409090909092,0.36363636363636365,0.7272727272727273,0.10227272727272725,0.3681818181818181,0.10227272727272725,0.36363636363636365,1.1136363636363635,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
#le-baron,0.046382189239332024,0.08116883116883118,1.4545454545454553,0.0016233766233766204,0.2077922077922078,0.4155844155844156,0.05844155844155843,0.21038961038961046,0.4155844155844156,0.6363636363636364,0.2077922077922078,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.2077922077922078,0.2077922077922078
#le-poete,0.23376623376623373,1.2528409090909092,0.0016233766233766204,0.818181818181818,0.10227272727272725,0.2045454545454545,0.2045454545454545,0.5113636363636365,0.2045454545454545,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725,0.10227272727272725
#bidache,0.6363636363636364,0.36363636363636365,0.2077922077922078,0.10227272727272725,9.09090909090909,3.681818181818181,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
#godenesche,0.05844155844155843,0.7272727272727273,0.4155844155844156,0.2045454545454545,3.681818181818181,7.363636363636362,0.36363636363636365,0.009090909090909097,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,3.681818181818181,3.681818181818181
