VALEUR,#le-major,#le-baron,#le-laquais,#monsieur-roselin,#le-garçon-de-cabaret,#le-caporal,#ensemble,#la-sentinelle
Fréquences (scènes),0.7,0.7,0.4,0.3,0.1,0.4,0.1,0.1
Fréquences(répliques),0.0,0.13636363636363635,0.0,0.0,0.0,0.5909090909090909,0.2727272727272727,0.0
Confrontation,0.21666666666666667,0.23333333333333334,0.15,0.11666666666666667,0.06666666666666667,0.15,0.03333333333333333,0.03333333333333333
Déviations,#le-major,#le-baron,#le-laquais,#monsieur-roselin,#le-garçon-de-cabaret,#le-caporal,#ensemble,#la-sentinelle
#le-major,0.9000000000000005,0.002040816326530634,0.514285714285714,0.00476190476190477,0.1285714285714285,1.1571428571428575,0.7000000000000001,0.7000000000000001
#le-baron,0.002040816326530634,0.9000000000000005,0.2285714285714287,0.00476190476190477,0.1285714285714285,0.014285714285714247,0.1285714285714285,0.7000000000000001
#le-laquais,0.5142857142857145,0.22857142857142848,3.5999999999999996,0.03333333333333332,0.8999999999999999,0.22500000000000006,0.4000000000000001,0.4000000000000001
#monsieur-roselin,0.004761904761904729,0.004761904761904729,0.03333333333333339,4.9,0.30000000000000004,0.03333333333333339,0.30000000000000004,1.6333333333333329
#le-garçon-de-cabaret,0.12857142857142861,0.12857142857142861,0.8999999999999999,0.3,8.1,0.8999999999999999,0.10000000000000002,0.10000000000000002
#le-caporal,1.157142857142857,0.014285714285714311,0.22500000000000006,0.03333333333333332,0.8999999999999999,3.5999999999999996,0.8999999999999999,0.8999999999999999
#ensemble,0.7,0.12857142857142861,0.4000000000000001,0.3,0.10000000000000002,0.8999999999999999,8.1,0.10000000000000002
#la-sentinelle,0.7,0.7,0.4000000000000001,1.633333333333333,0.10000000000000002,0.8999999999999999,0.10000000000000002,8.1
Successions,#le-major,#le-baron,#le-laquais,#monsieur-roselin,#le-garçon-de-cabaret,#le-caporal,#ensemble,#la-sentinelle
#le-major,0.04,0.28,0.16,0.4,0.04,0.08,0.0,0.0
#le-baron,0.22580645161290322,0.0,0.0,0.0967741935483871,0.0,0.6451612903225806,0.03225806451612903,0.0
#le-laquais,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-roselin,0.47368421052631576,0.15789473684210525,0.05263157894736842,0.0,0.0,0.0,0.0,0.3157894736842105
#le-laquais,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-caporal,0.08333333333333333,0.7916666666666666,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664
#ensemble,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0
#la-sentinelle,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.14285714285714285,0.0,0.0
