VALEUR,#democrite,#philine,#toinette,#cleandre,#crispin,#maitre-jacques,#ariste,#le-chevalier,#le-financier,#frontin
Fréquences (scènes),0.64,0.24,0.32,0.12,0.56,0.12,0.16,0.12,0.24,0.04
Fréquences(répliques),0.21845174973488865,0.04772004241781548,0.10180275715800637,0.07529162248144221,0.2926829268292683,0.06786850477200425,0.033934252386002124,0.042417815482502653,0.06256627783669141,0.05726405090137858
Confrontation,0.16455696202531644,0.11392405063291139,0.13291139240506328,0.06962025316455696,0.1962025316455696,0.06329113924050633,0.10759493670886076,0.06329113924050633,0.08227848101265822,0.006329113924050633
Déviations,#democrite,#philine,#toinette,#cleandre,#crispin,#maitre-jacques,#ariste,#le-chevalier,#le-financier,#frontin
#democrite,3.2399999999999998,0.006666666666666679,0.8778125000000001,0.44083333333333324,0.4287500000000003,0.44083333333333324,0.12250000000000001,0.6075,0.006666666666666679,0.20249999999999999
#philine,0.006666666666666679,14.440000000000005,0.6075,2.2755555555555556,0.12190476190476177,0.10888888888888891,1.126666666666667,0.10888888888888891,0.13444444444444442,0.24
#toinette,0.8778125000000001,0.6075,11.559999999999997,1.126666666666667,0.06035714285714275,1.126666666666667,2.31125,0.0016666666666666698,0.0033333333333333396,0.32
#cleandre,0.44083333333333324,2.2755555555555556,1.126666666666667,19.360000000000003,1.0371428571428567,0.36,0.5633333333333335,1.1377777777777778,0.10888888888888891,0.12
#crispin,0.4287500000000003,0.12190476190476177,0.06035714285714275,1.0371428571428567,4.839999999999996,1.0371428571428567,1.3828571428571426,0.06095238095238088,0.03857142857142864,0.56
#maitre-jacques,0.44083333333333324,0.10888888888888891,1.126666666666667,0.36,1.0371428571428567,19.360000000000003,13.230000000000002,0.36,0.72,0.12
#ariste,0.12250000000000001,1.126666666666667,2.31125,0.5633333333333335,1.3828571428571426,13.230000000000002,17.639999999999997,0.5633333333333335,0.0016666666666666698,0.16
#le-chevalier,0.6075,0.10888888888888891,0.0016666666666666698,1.1377777777777778,0.06095238095238088,0.36,0.5633333333333335,19.360000000000003,0.10888888888888891,0.12
#le-financier,0.006666666666666679,0.13444444444444442,0.0033333333333333396,0.10888888888888891,0.03857142857142864,0.72,0.0016666666666666698,0.10888888888888891,14.440000000000005,0.24
#frontin,0.20249999999999999,0.24,0.32,0.12,0.56,0.12,0.16,0.12,0.24,23.04
Successions,#democrite,#philine,#toinette,#cleandre,#crispin,#maitre-jacques,#ariste,#le-chevalier,#le-financier,#frontin
#democrite,0.023529411764705882,0.058823529411764705,0.08235294117647059,0.0,0.2823529411764706,0.03529411764705882,0.011764705882352941,0.1411764705882353,0.15294117647058825,0.21176470588235294
#philine,0.15789473684210525,0.0,0.05263157894736842,0.5263157894736842,0.21052631578947367,0.0,0.0,0.0,0.05263157894736842,0.0
#toinette,0.11627906976744186,0.046511627906976744,0.0,0.023255813953488372,0.6046511627906976,0.0,0.13953488372093023,0.0,0.06976744186046512,0.0
#cleandre,0.0,0.47368421052631576,0.05263157894736842,0.0,0.47368421052631576,0.0,0.0,0.0,0.0,0.0
#crispin,0.29292929292929293,0.030303030303030304,0.2727272727272727,0.0707070707070707,0.010101010101010102,0.1111111111111111,0.030303030303030304,0.010101010101010102,0.1717171717171717,0.0
#maitre-jacques,0.05263157894736842,0.0,0.05263157894736842,0.0,0.42105263157894735,0.0,0.47368421052631576,0.0,0.0,0.0
#ariste,0.05,0.0,0.2,0.05,0.4,0.25,0.0,0.0,0.05,0.0
#le-chevalier,0.8666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0
#le-financier,0.4,0.0,0.05714285714285714,0.0,0.4857142857142857,0.0,0.0,0.05714285714285714,0.0,0.0
#frontin,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
