VALEUR,#melpomene,#soleil,#melpomene #soleil,#cassiope,#persee,#cephee,#phinee,#le-choeur,#venus,#andromede,#aglante,#cephalie,#page,#liriope,#page #liriope,#timante,#eole,#voix,#cymodoce,#ephyre,#cydippe,#neptune,#ammon,#junon,#phorbas,#mercure,#jupiter
Fréquences (scènes),0.03333333333333333,0.03333333333333333,0.03333333333333333,0.36666666666666664,0.3,0.3333333333333333,0.36666666666666664,0.23333333333333334,0.03333333333333333,0.4,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.02117362371445856,0.028433151845130067,0.009074410163339383,0.19479733817301875,0.1191772534785239,0.08711433756805807,0.17846339987900786,0.02601330913490623,0.004839685420447671,0.1645493042952208,0.018753781004234724,0.011494252873563218,0.004234724742891712,0.003629764065335753,0.004839685420447671,0.021778584392014518,0.0024198427102238356,0.0024198427102238356,0.008469449485783424,0.0024198427102238356,0.009074410163339383,0.01572897761645493,0.019358741681790685,0.010889292196007259,0.017543859649122806,0.006049606775559589,0.007259528130671506
Confrontation,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.10833333333333334,0.0875,0.09166666666666666,0.10833333333333334,0.10833333333333334,0.016666666666666666,0.12083333333333333,0.029166666666666667,0.020833333333333332,0.03333333333333333,0.020833333333333332,0.020833333333333332,0.05416666666666667,0.0125,0.020833333333333332,0.0125,0.008333333333333333,0.008333333333333333,0.020833333333333332,0.016666666666666666,0.025,0.004166666666666667,0.008333333333333333,0.016666666666666666
Déviations,#melpomene,#soleil,#melpomene #soleil,#cassiope,#persee,#cephee,#phinee,#le-choeur,#venus,#andromede,#aglante,#cephalie,#page,#liriope,#page #liriope,#timante,#eole,#voix,#cymodoce,#ephyre,#cydippe,#neptune,#ammon,#junon,#phorbas,#mercure,#jupiter
#melpomene,28.03333333333333,28.03333333333333,28.03333333333333,0.36666666666666664,0.3,0.3333333333333333,0.36666666666666664,0.23333333333333334,0.03333333333333333,0.4000000000000001,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
#melpomene,28.03333333333333,28.03333333333333,28.03333333333333,0.36666666666666664,0.3,0.3333333333333333,0.36666666666666664,0.23333333333333334,0.03333333333333333,0.4000000000000001,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
#melpomene,28.03333333333333,28.03333333333333,28.03333333333333,0.36666666666666664,0.3,0.3333333333333333,0.36666666666666664,0.23333333333333334,0.03333333333333333,0.4000000000000001,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333
#cassiope,0.36666666666666664,0.36666666666666664,0.36666666666666664,12.033333333333335,0.875757575757576,0.484848484848485,0.2647382920110192,0.8004329004329,1.093939393939394,0.44545454545454566,0.009090909090909106,0.7333333333333333,0.7333333333333333,0.36666666666666664,0.36666666666666664,0.19393939393939402,0.36666666666666664,1.093939393939394,0.7333333333333333,0.36666666666666664,0.36666666666666664,0.7333333333333333,1.1,0.7333333333333333,0.36666666666666664,1.093939393939394,0.36666666666666664
#persee,0.3,0.3,0.3,0.875757575757576,14.700000000000006,0.3333333333333333,1.6030303030303028,0.3857142857142856,0.3,0.7111111111111112,0.9,0.6,0.6,0.3,0.3,0.5333333333333334,0.3,1.633333333333333,0.6,0.3,0.3,0.2666666666666667,0.9,0.2666666666666667,0.3,0.3,1.633333333333333
#cephee,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.484848484848485,0.3333333333333333,13.333333333333336,0.03030303030303033,0.04761904761904766,1.3333333333333337,1.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0833333333333333,1.3333333333333337,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333337,0.3333333333333333,0.3333333333333333
