VALEUR,#iphise,#pammene,#electre,#clytemnestre,#egisthe,#oreste,#pylade,#dimas
Fréquences (scènes),0.37142857142857144,0.22857142857142856,0.6571428571428571,0.3142857142857143,0.22857142857142856,0.37142857142857144,0.4,0.02857142857142857
Fréquences(répliques),0.10607798165137615,0.08830275229357798,0.29243119266055045,0.15252293577981652,0.11525229357798165,0.14678899082568808,0.09461009174311927,0.0040137614678899085
Confrontation,0.14516129032258066,0.0967741935483871,0.21505376344086022,0.12365591397849462,0.0967741935483871,0.13978494623655913,0.16129032258064516,0.021505376344086023
Déviations,#iphise,#pammene,#electre,#clytemnestre,#egisthe,#oreste,#pylade,#dimas
#iphise,13.828571428571424,0.0002747252747252728,1.3990444338270427,0.20459540459540476,0.3175824175824176,3.0356720202874055,0.9307692307692309,1.0637362637362635
#pammene,0.0002747252747252728,20.82857142857143,0.9690993788819876,0.10519480519480517,0.3754464285714285,0.35604395604395594,1.0124999999999997,0.22857142857142856
#electre,1.3990444338270427,0.9690993788819876,4.114285714285715,0.007227555053642015,0.30062111801242236,0.7569039655996177,0.5260869565217395,0.17888198757763976
#clytemnestre,0.20459540459540476,0.10519480519480517,0.007227555053642015,16.457142857142856,2.4574675324675326,2.3304695304695304,1.3090909090909093,1.4961038961038962
#egisthe,0.3175824175824176,0.3754464285714285,0.30062111801242236,2.4574675324675326,20.82857142857143,0.0002747252747252728,0.4500000000000001,2.6035714285714286
#oreste,3.0356720202874055,0.35604395604395594,0.7569039655996177,2.3304695304695304,0.0002747252747252728,13.828571428571424,6.469230769230769,0.37142857142857144
#pylade,0.9307692307692309,1.0125000000000004,0.5260869565217389,1.3090909090909093,0.4499999999999998,6.469230769230769,12.599999999999994,0.39999999999999997
#dimas,1.0637362637362635,0.22857142857142856,0.17888198757763976,1.4961038961038962,2.6035714285714286,0.37142857142857144,0.4000000000000001,33.02857142857143
Successions,#iphise,#pammene,#electre,#clytemnestre,#egisthe,#oreste,#pylade,#dimas
#iphise,0.02702702702702703,0.10810810810810811,0.5135135135135135,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.08108108108108109,0.02702702702702703
#pammene,0.08,0.0,0.28,0.0,0.04,0.36,0.24,0.0
#electre,0.32978723404255317,0.031914893617021274,0.0425531914893617,0.18085106382978725,0.0425531914893617,0.2765957446808511,0.09574468085106383,0.0
#clytemnestre,0.0425531914893617,0.02127659574468085,0.3829787234042553,0.0425531914893617,0.3829787234042553,0.1276595744680851,0.0,0.0
#egisthe,0.0,0.02631578947368421,0.13157894736842105,0.5,0.02631578947368421,0.18421052631578946,0.07894736842105263,0.05263157894736842
#oreste,0.027777777777777776,0.16666666666666666,0.4027777777777778,0.06944444444444445,0.1111111111111111,0.027777777777777776,0.19444444444444445,0.0
#pylade,0.0,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.027777777777777776,0.5,0.0,0.0
#dimas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
