VALEUR,#tullie,#clodomir,#lepide,#ciceron,#octave,#mecene,#sextus,#philippe
Fréquences (scènes),0.55,0.1,0.1,0.4,0.4,0.15,0.3,0.1
Fréquences(répliques),0.2119281991893457,0.03532136653155762,0.06079907353792704,0.23856398378691374,0.22061378112333527,0.08859293572669369,0.09090909090909091,0.05327156919513607
Confrontation,0.2777777777777778,0.05555555555555555,0.037037037037037035,0.16666666666666666,0.14814814814814814,0.05555555555555555,0.2037037037037037,0.05555555555555555
Déviations,#tullie,#clodomir,#lepide,#ciceron,#octave,#mecene,#sextus,#philippe
#tullie,4.049999999999999,0.7363636363636361,0.009090909090909106,1.3090909090909093,0.44545454545454566,1.65,2.2090909090909094,0.009090909090909106
#clodomir,0.7363636363636361,16.2,0.20000000000000004,0.8000000000000002,0.8000000000000002,0.3,0.2666666666666667,0.20000000000000004
#lepide,0.009090909090909106,0.20000000000000004,16.2,0.049999999999999975,0.8000000000000002,0.3,0.6,0.20000000000000004
#ciceron,1.3090909090909093,0.8000000000000002,0.049999999999999975,7.199999999999999,0.4500000000000001,0.03333333333333332,0.06666666666666664,0.049999999999999975
#octave,0.44545454545454566,0.8000000000000002,0.8000000000000002,0.4500000000000001,7.199999999999999,0.5333333333333334,0.8166666666666665,0.8000000000000002
#mecene,1.6500000000000001,0.30000000000000004,0.30000000000000004,0.03333333333333339,0.533333333333333,14.450000000000001,0.8999999999999999,0.30000000000000004
#sextus,2.2090909090909085,0.2666666666666665,0.6000000000000001,0.06666666666666678,0.816666666666667,0.8999999999999999,9.8,0.2666666666666665
#philippe,0.009090909090909106,0.20000000000000004,0.20000000000000004,0.049999999999999975,0.8000000000000002,0.3,0.2666666666666667,16.2
Successions,#tullie,#clodomir,#lepide,#ciceron,#octave,#mecene,#sextus,#philippe
#tullie,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.10344827586206896,0.5862068965517241,0.0,0.06896551724137931,0.06896551724137931
#clodomir,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lepide,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0
#ciceron,0.08571428571428572,0.0,0.2571428571428571,0.02857142857142857,0.3142857142857143,0.08571428571428572,0.17142857142857143,0.05714285714285714
#octave,0.3333333333333333,0.0,0.0,0.30952380952380953,0.047619047619047616,0.23809523809523808,0.07142857142857142,0.0
#mecene,0.0,0.0,0.0,0.23076923076923078,0.7692307692307693,0.0,0.0,0.0
#sextus,0.3333333333333333,0.0,0.0,0.2777777777777778,0.1111111111111111,0.0,0.05555555555555555,0.2222222222222222
#philippe,0.125,0.0,0.0,0.125,0.0,0.0,0.75,0.0
