VALEUR,#carrille,#leonor,#don-juan,#don-lope,#don-felix,#paquette,#ormin,#thomasse,#une-voix,#don-gaspard,#le-prevot,#l-ombre,#thomas,#rollin,#amarille,#voix-1ere,#voix-2eme
Fréquences (scènes),0.7878787878787878,0.06060606060606061,0.8181818181818182,0.2727272727272727,0.30303030303030304,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.030303030303030304,0.030303030303030304,0.030303030303030304
Fréquences(répliques),0.3275563258232236,0.03581744656268053,0.35239745811669554,0.049104563835932986,0.04563835932986713,0.033506643558636626,0.024263431542461005,0.03466204506065858,0.0005777007510109763,0.019064124783362217,0.0034662045060658577,0.0317735413056037,0.006354708261120739,0.014442518775274409,0.011554015020219527,0.005199306759098787,0.00462160600808781
Confrontation,0.2409090909090909,0.013636363636363636,0.2545454545454545,0.11818181818181818,0.11818181818181818,0.05,0.00909090909090909,0.05454545454545454,0.004545454545454545,0.00909090909090909,0.01818181818181818,0.02727272727272727,0.01818181818181818,0.02727272727272727,0.00909090909090909,0.013636363636363636,0.013636363636363636
Déviations,#carrille,#leonor,#don-juan,#don-lope,#don-felix,#paquette,#ormin,#thomasse,#une-voix,#don-gaspard,#le-prevot,#l-ombre,#thomas,#rollin,#amarille,#voix-1ere,#voix-2eme
#carrille,1.484848484848485,0.11421911421911425,0.003496503496503513,0.16783216783216753,0.44801864801864805,0.0009324009324009308,0.7878787878787878,0.0009324009324009308,0.057109557109557126,0.7878787878787878,0.057109557109557126,0.11421911421911425,0.21037296037296035,0.05594405594405598,0.057109557109557126,0.057109557109557126,0.057109557109557126
#leonor,0.11421911421911425,29.12121212121212,0.24747474747474754,0.5454545454545454,0.6060606060606061,0.30303030303030304,0.06060606060606061,0.30303030303030304,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.12121212121212122,0.12121212121212122,0.18181818181818182,0.06060606060606061,0.06060606060606061,0.06060606060606061
#don-juan,0.003496503496503513,0.24747474747474754,1.0909090909090897,0.36363636363636376,0.4040404040404041,1.0686868686868685,0.8181818181818182,0.2909090909090909,0.8181818181818182,0.04040404040404038,0.04040404040404038,0.08080808080808076,0.24747474747474754,0.08417508417508418,0.04040404040404038,0.04040404040404038,0.04040404040404038
#don-lope,0.1678321678321678,0.5454545454545454,0.36363636363636337,17.45454545454546,10.193939393939393,1.3636363636363638,0.2727272727272727,1.3636363636363638,0.2727272727272727,1.9393939393939397,1.9393939393939397,0.3787878787878789,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727
#don-felix,0.44801864801864805,0.6060606060606061,0.4040404040404041,10.193939393939397,16.03030303030303,1.5151515151515151,0.30303030303030304,1.5151515151515151,0.30303030303030304,0.30303030303030304,1.6030303030303032,0.25606060606060604,0.6060606060606061,0.9090909090909092,0.30303030303030304,0.30303030303030304,0.30303030303030304
#paquette,0.0009324009324009308,0.30303030303030304,1.0686868686868685,1.3636363636363635,1.5151515151515151,23.757575757575754,4.751515151515152,13.877575757575755,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.30303030303030304,0.30303030303030304,0.4545454545454546,0.15151515151515152,0.15151515151515152,0.15151515151515152
