VALEUR,#precieuse,#la-vieille,#le-poete,#don-jean,#le-capitaine,#andres,#l-egyptien,#hipolite,#le-prevot,#un-archer,#isabelle,#ferdinand,#un-de-la-troupe,#le-senechal
Fréquences (scènes),0.6363636363636364,0.45454545454545453,0.18181818181818182,0.12121212121212122,0.12121212121212122,0.48484848484848486,0.06060606060606061,0.15151515151515152,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.030303030303030304,0.030303030303030304
Fréquences(répliques),0.24120851906884597,0.0866765725606736,0.0866765725606736,0.08915304606240713,0.07974244675581971,0.20356612184249628,0.010896483407627538,0.06587419514611194,0.013868251609707775,0.0004952947003467063,0.07578008915304606,0.04210004952947004,0.0009905894006934125,0.0029717682020802376
Confrontation,0.20952380952380953,0.1761904761904762,0.05238095238095238,0.023809523809523808,0.0761904761904762,0.14761904761904762,0.023809523809523808,0.047619047619047616,0.05238095238095238,0.02857142857142857,0.05714285714285714,0.06666666666666667,0.01904761904761905,0.01904761904761905
Déviations,#precieuse,#la-vieille,#le-poete,#don-jean,#le-capitaine,#andres,#l-egyptien,#hipolite,#le-prevot,#un-archer,#isabelle,#ferdinand,#un-de-la-troupe,#le-senechal
#precieuse,4.363636363636364,1.2502164502164508,0.17532467532467538,0.11688311688311687,0.08116883116883118,0.06574675324675328,0.05844155844155843,0.4389610389610391,0.43290043290043295,0.2077922077922078,0.21038961038961024,0.01038961038961042,0.6363636363636364,0.6363636363636364
#la-vieille,1.2502164502164508,9.818181818181818,0.02727272727272722,0.018181818181818146,0.7681818181818179,0.010227272727272774,0.009090909090909073,0.7127272727272729,0.09696969696969703,0.6545454545454544,0.23272727272727256,0.03272727272727277,0.4545454545454546,0.4545454545454546
#le-poete,0.17532467532467538,0.027272727272727317,22.090909090909093,0.7272727272727273,0.7272727272727273,0.0028409090909090854,7.363636363636362,0.9090909090909092,0.5454545454545454,0.18181818181818182,0.9090909090909092,0.9090909090909092,0.18181818181818182,0.18181818181818182
#don-jean,0.11688311688311687,0.018181818181818195,0.7272727272727273,25.484848484848484,0.5473484848484849,1.9393939393939394,0.24242424242424243,0.6060606060606061,0.36363636363636365,0.12121212121212122,0.6060606060606061,0.6060606060606061,0.12121212121212122,0.12121212121212122
#le-capitaine,0.08116883116883118,0.7681818181818183,0.7272727272727273,0.5473484848484849,25.484848484848484,0.0018939393939393905,0.24242424242424243,0.25606060606060604,7.363636363636362,6.371212121212121,0.6060606060606061,0.25606060606060604,6.371212121212121,6.371212121212121
#andres,0.06574675324675328,0.010227272727272708,0.0028409090909090854,1.9393939393939394,0.0018939393939393905,8.757575757575758,0.0009469696969696953,0.13674242424242422,0.14204545454545456,0.5473484848484849,0.8367424242424244,0.8367424242424244,0.48484848484848486,0.48484848484848486
