VALEUR,#madame-de-ponteran,#javote,#mariane,#l-epine,#clitandre,#la-motte,#jonquille,#monsieur-courtinet-pere,#monsieur-courtinet-fils,#monsieur-martinet,#le-notaire
Fréquences (scènes),0.6363636363636364,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182
Fréquences(répliques),0.2903225806451613,0.0,0.0,0.3548387096774194,0.0,0.3548387096774194,0.0,0.0,0.0,0.0,0.0
Confrontation,0.12650602409638553,0.18072289156626506,0.10843373493975904,0.13253012048192772,0.08433734939759036,0.12048192771084337,0.030120481927710843,0.07228915662650602,0.060240963855421686,0.04819277108433735,0.03614457831325301
Déviations,#madame-de-ponteran,#javote,#mariane,#l-epine,#clitandre,#la-motte,#jonquille,#monsieur-courtinet-pere,#monsieur-courtinet-fils,#monsieur-martinet,#le-notaire
#madame-de-ponteran,1.4545454545454553,0.09235209235209241,0.8658008658008656,0.43896103896103883,0.4329004329004328,0.11688311688311687,0.6363636363636364,0.6233766233766236,0.4155844155844156,0.4155844155844156,0.4155844155844156
#javote,0.09235209235209241,0.36363636363636337,0.24242424242424282,0.20202020202020204,0.12121212121212141,0.16161616161616152,0.04040404040404038,0.08417508417508404,0.08080808080808076,0.24747474747474754,0.24747474747474754
#mariane,0.8658008658008659,0.24242424242424238,2.2727272727272734,0.027272727272727317,0.08080808080808087,0.015151515151515124,0.3787878787878789,0.2474747474747474,0.007575757575757562,1.0909090909090908,1.0909090909090908
#l-epine,0.43896103896103883,0.20202020202020204,0.027272727272727317,3.2727272727272734,1.963636363636364,2.6181818181818177,0.6545454545454544,0.09696969696969691,0.009090909090909073,0.009090909090909073,0.009090909090909073
#clitandre,0.43290043290043295,0.12121212121212119,0.08080808080808087,1.963636363636364,5.8181818181818175,3.3409090909090917,1.9393939393939397,0.8181818181818181,0.5454545454545454,0.5454545454545454,0.3787878787878789
#la-motte,0.11688311688311687,0.16161616161616152,0.015151515151515124,2.6181818181818177,3.3409090909090917,4.454545454545454,1.1136363636363635,0.007575757575757562,0.10227272727272725,0.10227272727272725,0.10227272727272725
#jonquille,0.6363636363636364,0.04040404040404038,0.3787878787878789,0.6545454545454544,1.9393939393939397,1.1136363636363635,9.09090909090909,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182
#monsieur-courtinet-pere,0.6233766233766233,0.08417508417508418,0.2474747474747474,0.09696969696969691,0.8181818181818181,0.007575757575757562,0.2727272727272727,5.8181818181818175,3.8787878787878793,3.8787878787878793,0.5454545454545454
#monsieur-courtinet-fils,0.4155844155844156,0.08080808080808076,0.007575757575757562,0.009090909090909097,0.5454545454545454,0.10227272727272725,0.18181818181818182,3.8787878787878793,7.363636363636362,1.1136363636363635,0.36363636363636365
#monsieur-martinet,0.4155844155844156,0.24747474747474754,1.0909090909090908,0.009090909090909097,0.5454545454545454,0.10227272727272725,0.18181818181818182,3.8787878787878793,1.1136363636363635,7.363636363636362,0.36363636363636365
#le-notaire,0.4155844155844156,0.24747474747474754,1.0909090909090908,0.009090909090909097,0.3787878787878789,0.10227272727272725,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.36363636363636365,7.363636363636362
Successions,#madame-de-ponteran,#javote,#mariane,#l-epine,#clitandre,#la-motte,#jonquille,#monsieur-courtinet-pere,#monsieur-courtinet-fils,#monsieur-martinet,#le-notaire
#madame-de-ponteran,0.0,0.2894736842105263,0.07894736842105263,0.15789473684210525,0.10526315789473684,0.02631578947368421,0.0,0.21052631578947367,0.07894736842105263,0.02631578947368421,0.02631578947368421
#javote,0.15254237288135594,0.01694915254237288,0.3389830508474576,0.3050847457627119,0.01694915254237288,0.05084745762711865,0.0,0.05084745762711865,0.06779661016949153,0.0,0.0
#mariane,0.09523809523809523,0.38095238095238093,0.0,0.40476190476190477,0.047619047619047616,0.0,0.023809523809523808,0.0,0.047619047619047616,0.0,0.0
#l-epine,0.058823529411764705,0.3088235294117647,0.22058823529411764,0.0,0.11764705882352941,0.17647058823529413,0.0,0.04411764705882353,0.058823529411764705,0.0,0.014705882352941176
#clitandre,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.43478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.34782608695652173
#la-motte,0.21052631578947367,0.15789473684210525,0.0,0.42105263157894735,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.0,0.0
#jonquille,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#monsieur-courtinet-pere,0.375,0.041666666666666664,0.0,0.20833333333333334,0.0,0.041666666666666664,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0
#monsieur-courtinet-fils,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0
#monsieur-martinet,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0
#le-notaire,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
