VALEUR,#manlius,#albin,#proculus,#valerius,#servilius,#valerie,#rutile,#tullie
Fréquences (scènes),0.35294117647058826,0.14705882352941177,0.029411764705882353,0.11764705882352941,0.6470588235294118,0.2647058823529412,0.17647058823529413,0.08823529411764706
Fréquences(répliques),0.24295302013422818,0.09328859060402685,0.0013422818791946308,0.07248322147651007,0.3093959731543624,0.15771812080536912,0.10201342281879194,0.02080536912751678
Confrontation,0.21875,0.109375,0.015625,0.078125,0.28125,0.140625,0.09375,0.0625
Déviations,#manlius,#albin,#proculus,#valerius,#servilius,#valerie,#rutile,#tullie
#manlius,14.235294117647058,0.8647058823529412,1.1862745098039218,0.2450980392156864,0.9844028520499114,3.176470588235294,0.3676470588235294,1.0588235294117647
#albin,0.8647058823529409,24.735294117647058,0.14705882352941177,0.5882352941176471,0.4716577540106952,0.07908496732026142,0.8823529411764707,0.7078431372549019
#proculus,1.1862745098039214,0.14705882352941177,32.029411764705884,0.11764705882352941,0.6470588235294118,0.2647058823529412,0.17647058823529413,0.08823529411764706
#valerius,0.2450980392156862,0.5882352941176471,0.11764705882352941,26.470588235294116,0.06550802139037429,1.0588235294117647,0.7058823529411765,0.35294117647058826
#servilius,0.9844028520499114,0.4716577540106952,0.6470588235294118,0.06550802139037429,4.235294117647057,0.11645870469399876,0.20053475935828893,1.9411764705882355
#valerie,3.176470588235294,0.07908496732026142,0.2647058823529412,1.0588235294117647,0.11645870469399898,18.38235294117647,1.588235294117647,6.127450980392157
#rutile,0.3676470588235294,0.8823529411764706,0.1764705882352941,0.7058823529411764,0.20053475935828893,1.588235294117647,23.058823529411764,0.5294117647058824
#tullie,1.0588235294117647,0.707843137254902,0.08823529411764705,0.3529411764705882,1.9411764705882355,6.127450980392157,0.5294117647058824,28.264705882352942
Successions,#manlius,#albin,#proculus,#valerius,#servilius,#valerie,#rutile,#tullie
#manlius,0.05405405405405406,0.16216216216216217,0.02702702702702703,0.10810810810810811,0.4594594594594595,0.0,0.1891891891891892,0.0
#albin,0.45454545454545453,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.0,0.0
#proculus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#valerius,0.4166666666666667,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.0
#servilius,0.2786885245901639,0.03278688524590164,0.0,0.13114754098360656,0.04918032786885246,0.4262295081967213,0.08196721311475409,0.0
#valerie,0.0,0.05555555555555555,0.0,0.0,0.7222222222222222,0.05555555555555555,0.027777777777777776,0.1388888888888889
#rutile,0.6923076923076923,0.0,0.0,0.0,0.3076923076923077,0.0,0.0,0.0
#tullie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
