VALEUR,#chrysante,#florette,#anselme,#julie,#tous-deux,#nicole,#jacques,#clitandre,#scapin,#chanteur
Fréquences (scènes),0.8823529411764706,0.47058823529411764,0.35294117647058826,0.4117647058823529,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0
Fréquences(répliques),0.24866310160427807,0.15240641711229946,0.12834224598930483,0.27540106951871657,0.00267379679144385,0.034759358288770054,0.008021390374331552,0.029411764705882353,0.0213903743315508,0.09893048128342247
Confrontation,0.2777777777777778,0.18888888888888888,0.12222222222222222,0.17777777777777778,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.0
Déviations,#chrysante,#florette,#anselme,#julie,#tous-deux,#nicole,#jacques,#clitandre,#scapin,#chanteur
#chrysante,0.23529411764705904,0.0004901960784313691,0.016339869281045832,0.22408963585434152,0.01568627450980393,0.04705882352941166,0.01568627450980393,0.03137254901960786,0.01568627450980393,0.0
#florette,0.0004901960784313691,4.764705882352942,1.1776960784313726,0.15126050420168075,0.5955882352941178,0.12009803921568632,0.5955882352941178,0.003676470588235296,0.5955882352941178,0.0
#anselme,0.016339869281045735,1.1776960784313724,7.117647058823529,0.9467787114845937,0.3529411764705882,1.0588235294117647,0.3529411764705882,0.1225490196078432,0.3529411764705882,0.0
#julie,0.22408963585434152,0.15126050420168075,0.9467787114845937,5.882352941176469,0.8403361344537816,1.2352941176470589,0.4117647058823529,0.037815126050420186,0.8403361344537816,0.0
#tous-deux,0.01568627450980393,0.5955882352941178,0.35294117647058826,0.8403361344537816,15.058823529411764,0.17647058823529413,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0
#nicole,0.047058823529411785,0.12009803921568622,1.0588235294117647,1.2352941176470589,0.1764705882352941,11.529411764705882,3.843137254901961,1.1862745098039218,0.1764705882352941,0.0
#jacques,0.01568627450980393,0.5955882352941178,0.35294117647058826,0.4117647058823529,0.058823529411764705,3.8431372549019605,15.058823529411764,0.11764705882352941,0.058823529411764705,0.0
#clitandre,0.03137254901960786,0.003676470588235296,0.1225490196078431,0.037815126050420186,0.11764705882352941,1.1862745098039214,0.11764705882352941,13.235294117647058,0.11764705882352941,0.0
#scapin,0.01568627450980393,0.5955882352941178,0.35294117647058826,0.8403361344537816,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.11764705882352941,15.058823529411764,0.0
#chanteur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Successions,#chrysante,#florette,#anselme,#julie,#tous-deux,#nicole,#jacques,#clitandre,#scapin,#chanteur
#chrysante,0.009523809523809525,0.3619047619047619,0.2,0.1523809523809524,0.0,0.09523809523809523,0.06666666666666667,0.05714285714285714,0.05714285714285714,0.0
#florette,0.7454545454545455,0.0,0.0,0.2545454545454545,0.0,0.0,0.0,0.0,0.0,0.0
#anselme,0.6896551724137931,0.0,0.0,0.3103448275862069,0.0,0.0,0.0,0.0,0.0,0.0
#julie,0.38636363636363635,0.3409090909090909,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.0,0.0,0.0,0.06818181818181818,0.0
#tous-deux,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicole,0.75,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0
#jacques,0.8571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#clitandre,0.6,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0
#scapin,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.0
#chanteur,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
