VALEUR,#xanthias,#aristophane,#thratta,#citoyens-d-athenes,#thalie,#tous,#realista,#la-peinture,#eglantine,#tabarin,#le-gamin-de-paris,#l-imprimerie,#le-roi-midas,#midas,#la-muse-du-theatre,#carolus,#la-musique,#tempesta,#la-fee-du-palais-de-cristal
Fréquences (scènes),0.6,0.9,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
Fréquences(répliques),0.12945973496432212,0.26605504587155965,0.0,0.0,0.08256880733944955,0.0,0.040774719673802244,0.0,0.05606523955147808,0.0672782874617737,0.06116207951070336,0.0163098878695209,0.03363914373088685,0.0010193679918450561,0.08868501529051988,0.04892966360856269,0.03669724770642202,0.07033639143730887,0.0010193679918450561
Confrontation,0.23648648648648649,0.30405405405405406,0.006756756756756757,0.006756756756756757,0.13513513513513514,0.033783783783783786,0.013513513513513514,0.006756756756756757,0.02027027027027027,0.02027027027027027,0.013513513513513514,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02027027027027027,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02027027027027027
Déviations,#xanthias,#aristophane,#thratta,#citoyens-d-athenes,#thalie,#tous,#realista,#la-peinture,#eglantine,#tabarin,#le-gamin-de-paris,#l-imprimerie,#le-roi-midas,#midas,#la-muse-du-theatre,#carolus,#la-musique,#tempesta,#la-fee-du-palais-de-cristal
#xanthias,4.8000000000000025,0.0024691358024691184,0.6,0.6,0.0,0.03333333333333332,0.2666666666666667,0.2666666666666667,0.2666666666666667,1.2,0.6,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.5333333333333334,0.03333333333333332,0.03333333333333332,0.2666666666666667
#aristophane,0.0024691358024691184,0.2999999999999998,0.011111111111111105,0.011111111111111105,0.0,0.02222222222222221,0.011111111111111105,0.9,0.011111111111111105,0.02222222222222221,0.011111111111111105,0.011111111111111105,0.011111111111111105,0.011111111111111105,0.011111111111111105,0.02222222222222221,0.02222222222222221,0.02222222222222221,0.011111111111111105
#thratta,0.6,0.011111111111111105,28.03333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#citoyens-d-athenes,0.6,0.011111111111111105,0.03333333333333333,28.03333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#thalie,0.0,0.0,0.3333333333333333,0.3333333333333333,13.333333333333336,2.6666666666666674,0.3333333333333333,0.3333333333333333,1.3333333333333337,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333337
#tous,0.03333333333333332,0.02222222222222221,0.06666666666666667,0.06666666666666667,2.6666666666666674,26.133333333333336,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667
#realista,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,28.03333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#la-peinture,0.2666666666666667,0.9,0.03333333333333333,0.03333333333333333,0.3333333333333333,0.06666666666666667,0.03333333333333333,28.03333333333333,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
#eglantine,0.2666666666666667,0.011111111111111105,0.03333333333333333,0.03333333333333333,1.3333333333333337,0.06666666666666667,0.03333333333333333,0.03333333333333333,28.03333333333333,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333
