VALEUR,#oronte,#cliton,#eraste,#florame,#lucie,#licas,#dorotee,#lisette,#argante,#listor
Fréquences (scènes),0.6428571428571429,0.5476190476190477,0.16666666666666666,0.14285714285714285,0.19047619047619047,0.023809523809523808,0.40476190476190477,0.35714285714285715,0.16666666666666666,0.023809523809523808
Fréquences(répliques),0.36268724466636404,0.16704493871992737,0.04448479346345892,0.05265546981389015,0.05674080798910577,0.005447117566954153,0.1634135270086246,0.10894235133908307,0.03767589650476623,0.0009078529278256923
Confrontation,0.22566371681415928,0.2079646017699115,0.05752212389380531,0.048672566371681415,0.09292035398230089,0.004424778761061947,0.1415929203539823,0.13274336283185842,0.07079646017699115,0.017699115044247787
Déviations,#oronte,#cliton,#eraste,#florame,#lucie,#licas,#dorotee,#lisette,#argante,#listor
#oronte,5.357142857142851,2.611801242236022,0.5,0.19047619047619066,0.003968253968253989,0.6428571428571429,1.412231559290384,0.724338624338625,0.05555555555555555,0.19841269841269835
#cliton,2.611801242236022,8.595238095238088,2.094202898550725,0.024844720496894464,0.0874741200828156,0.5476190476190477,1.176531482158081,0.17950310559006238,0.1811594202898553,0.37370600414078664
#eraste,0.5,2.094202898550725,29.16666666666668,0.0,0.3333333333333334,0.16666666666666666,0.24509803921568632,0.9,0.5952380952380955,4.166666666666668
#florame,0.19047619047619066,0.024844720496894464,0.0,30.857142857142865,0.642857142857143,5.142857142857144,2.428571428571429,2.142857142857143,0.0,0.14285714285714285
#lucie,0.003968253968253989,0.0874741200828156,0.3333333333333334,0.642857142857143,27.523809523809526,0.19047619047619047,0.017507002801120452,0.2571428571428572,0.0833333333333333,3.4404761904761907
#licas,0.6428571428571429,0.5476190476190477,0.16666666666666666,5.142857142857144,0.19047619047619047,40.023809523809526,0.40476190476190477,0.35714285714285715,0.16666666666666666,0.023809523809523808
#dorotee,1.4122315592903831,1.176531482158081,0.24509803921568613,2.4285714285714284,0.017507002801120452,0.40476190476190477,14.88095238095238,4.000840336134454,0.009803921568627487,0.40476190476190477
#lisette,0.724338624338625,0.17950310559006238,0.9,2.142857142857143,0.25714285714285695,0.3571428571428571,4.000840336134454,17.357142857142854,0.1,0.3571428571428571
#argante,0.05555555555555555,0.1811594202898553,0.5952380952380955,0.0,0.0833333333333333,0.16666666666666666,0.009803921568627433,0.1,29.16666666666668,0.16666666666666666
#listor,0.19841269841269835,0.37370600414078664,4.166666666666668,0.14285714285714285,3.4404761904761907,0.023809523809523808,0.40476190476190477,0.35714285714285715,0.16666666666666666,40.023809523809526
Successions,#oronte,#cliton,#eraste,#florame,#lucie,#licas,#dorotee,#lisette,#argante,#listor
#oronte,0.01384083044982699,0.4532871972318339,0.02768166089965398,0.05536332179930796,0.10726643598615918,0.0,0.20069204152249134,0.09688581314878893,0.04498269896193772,0.0
#cliton,0.7391304347826086,0.0,0.016304347826086956,0.010869565217391304,0.016304347826086956,0.0,0.03260869565217391,0.16847826086956522,0.016304347826086956,0.0
#eraste,0.25,0.025,0.0,0.025,0.05,0.0,0.4,0.05,0.15,0.05
#florame,0.3888888888888889,0.1388888888888889,0.027777777777777776,0.0,0.2777777777777778,0.1388888888888889,0.0,0.0,0.027777777777777776,0.0
#lucie,0.5740740740740741,0.05555555555555555,0.037037037037037035,0.16666666666666666,0.0,0.0,0.12962962962962962,0.018518518518518517,0.018518518518518517,0.0
#licas,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#dorotee,0.40441176470588236,0.04411764705882353,0.125,0.007352941176470588,0.051470588235294115,0.0,0.022058823529411766,0.33088235294117646,0.014705882352941176,0.0
#lisette,0.27522935779816515,0.30275229357798167,0.009174311926605505,0.0,0.009174311926605505,0.0,0.4036697247706422,0.0,0.0,0.0
#argante,0.3333333333333333,0.18518518518518517,0.25925925925925924,0.07407407407407407,0.0,0.0,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.0
#listor,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
