VALEUR,#laurette,#champagne,#acante,#le-marquis,#cremante,#isabelle,#ismene,#le-page
Fréquences (scènes),0.71875,0.375,0.46875,0.21875,0.21875,0.25,0.21875,0.03125
Fréquences(répliques),0.3087281795511222,0.11770573566084788,0.16758104738154614,0.11970074812967581,0.11521197007481297,0.08329177057356608,0.08628428927680798,0.0014962593516209476
Confrontation,0.26515151515151514,0.1590909090909091,0.21212121212121213,0.08333333333333333,0.09090909090909091,0.09848484848484848,0.07575757575757576,0.015151515151515152
Déviations,#laurette,#champagne,#acante,#le-marquis,#cremante,#isabelle,#ismene,#le-page
#laurette,2.53125,0.21920289855072464,0.717481884057971,0.21137422360248448,1.826281055900621,0.532608695652174,0.18652950310559005,0.11005434782608696
#champagne,0.21920289855072464,12.5,0.33611111111111114,1.005952380952381,1.005952380952381,1.3333333333333333,1.005952380952381,0.375
#acante,0.717481884057971,0.33611111111111114,9.03125,0.024107142857142858,0.1574404761904762,0.4166666666666667,1.5860119047619048,0.46875
#le-marquis,0.21137422360248448,1.005952380952381,0.024107142857142858,19.53125,0.1434948979591837,1.75,1.53125,2.7901785714285716
#cremante,1.826281055900621,1.005952380952381,0.1574404761904762,0.1434948979591837,19.53125,0.03571428571428571,0.18431122448979592,0.21875
#isabelle,0.532608695652174,1.3333333333333333,0.4166666666666667,1.75,0.03571428571428571,18.0,0.32142857142857145,0.25
#ismene,0.18652950310559005,1.005952380952381,1.5860119047619048,1.53125,0.18431122448979592,0.32142857142857145,19.53125,0.21875
#le-page,0.11005434782608696,0.375,0.46875,2.7901785714285716,0.21875,0.25,0.21875,30.03125
Successions,#laurette,#champagne,#acante,#le-marquis,#cremante,#isabelle,#ismene,#le-page
#laurette,0.01984126984126984,0.29365079365079366,0.26587301587301587,0.05555555555555555,0.027777777777777776,0.15873015873015872,0.17857142857142858,0.0
#champagne,0.7339449541284404,0.009174311926605505,0.1926605504587156,0.03669724770642202,0.01834862385321101,0.009174311926605505,0.0,0.0
#acante,0.3707865168539326,0.15168539325842698,0.0,0.21910112359550563,0.09550561797752809,0.12359550561797752,0.03932584269662921,0.0
#le-marquis,0.16483516483516483,0.03296703296703297,0.43956043956043955,0.01098901098901099,0.31868131868131866,0.0,0.0,0.03296703296703297
#cremante,0.11627906976744186,0.023255813953488372,0.20930232558139536,0.3372093023255814,0.011627906976744186,0.13953488372093023,0.16279069767441862,0.0
#isabelle,0.5256410256410257,0.0,0.28205128205128205,0.01282051282051282,0.15384615384615385,0.0,0.02564102564102564,0.0
#ismene,0.5294117647058824,0.029411764705882353,0.1323529411764706,0.0,0.2647058823529412,0.04411764705882353,0.0,0.0
#le-page,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
