VALEUR,#cethegus,#marius,#arisbe,#phenice,#caius-marius,#nemurius,#numerius,#hiempsal,#nerbal
Fréquences (scènes),0.07142857142857142,0.39285714285714285,0.5,0.10714285714285714,0.2857142857142857,0.03571428571428571,0.03571428571428571,0.35714285714285715,0.10714285714285714
Fréquences(répliques),0.07547169811320754,0.19339622641509435,0.2183288409703504,0.012129380053908356,0.272911051212938,0.011455525606469003,0.01752021563342318,0.15633423180592992,0.04245283018867924
Confrontation,0.03571428571428571,0.19642857142857142,0.25,0.05357142857142857,0.16071428571428573,0.03571428571428571,0.03571428571428571,0.16071428571428573,0.07142857142857142
Déviations,#cethegus,#marius,#arisbe,#phenice,#caius-marius,#nemurius,#numerius,#hiempsal,#nerbal
#cethegus,24.142857142857146,0.058441558441558454,0.0,0.21428571428571427,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.7142857142857143,0.21428571428571427
#marius,0.058441558441558454,10.321428571428573,0.045454545454545456,1.1785714285714286,0.23376623376623382,0.39285714285714285,0.39285714285714285,2.1831168831168837,1.1785714285714286
#arisbe,0.0,0.045454545454545456,7.0,1.5,2.25,0.5,0.5,0.8,0.16666666666666666
#phenice,0.21428571428571427,1.1785714285714286,1.5,22.321428571428577,0.8571428571428571,0.10714285714285714,0.10714285714285714,1.0714285714285714,0.3214285714285714
#caius-marius,0.5714285714285714,0.23376623376623382,2.25,0.8571428571428571,14.285714285714286,1.7857142857142858,1.7857142857142858,0.2571428571428572,0.8571428571428571
#nemurius,0.07142857142857142,0.39285714285714285,0.5,0.10714285714285714,1.7857142857142858,26.03571428571429,26.03571428571429,0.35714285714285715,0.10714285714285714
#nemurius,0.07142857142857142,0.39285714285714285,0.5,0.10714285714285714,1.7857142857142858,26.03571428571429,26.03571428571429,0.35714285714285715,0.10714285714285714
#hiempsal,0.7142857142857142,2.183116883116883,0.8,1.0714285714285714,0.25714285714285695,0.3571428571428571,0.3571428571428571,11.571428571428571,3.471428571428572
#nerbal,0.21428571428571427,1.1785714285714286,0.16666666666666666,0.3214285714285714,0.8571428571428571,0.10714285714285714,0.10714285714285714,3.471428571428572,22.321428571428577
Successions,#cethegus,#marius,#arisbe,#phenice,#caius-marius,#nemurius,#numerius,#hiempsal,#nerbal
#cethegus,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
#marius,0.16,0.02,0.58,0.0,0.22,0.0,0.0,0.02,0.0
#arisbe,0.041666666666666664,0.6041666666666666,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0,0.16666666666666666,0.020833333333333332
#phenice,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#caius-marius,0.0,0.275,0.075,0.0,0.05,0.175,0.075,0.35,0.0
#nemurius,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#nemurius,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#hiempsal,0.0,0.05714285714285714,0.22857142857142856,0.0,0.42857142857142855,0.0,0.0,0.08571428571428572,0.2
#nerbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
