VALEUR,#la-sourdiere,#coronis,#carondas,#le-premier-joueur,#le-second-joueur,#le-chevalier,#l-abbe,#dorante,#la-fleche,#jobelin,#louison,#madame-jerome,#le-chevalier #coronis
Fréquences (scènes),0.3888888888888889,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.05555555555555555
Fréquences(répliques),0.0,0.3235294117647059,0.2647058823529412,0.0,0.0,0.35294117647058826,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0
Confrontation,0.11413043478260869,0.125,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.13043478260869565,0.07608695652173914,0.08695652173913043,0.08152173913043478,0.10869565217391304,0.03260869565217391,0.09782608695652174,0.016304347826086956
Déviations,#la-sourdiere,#coronis,#carondas,#le-premier-joueur,#le-second-joueur,#le-chevalier,#l-abbe,#dorante,#la-fleche,#jobelin,#louison,#madame-jerome,#le-chevalier #coronis
#la-sourdiere,6.722222222222222,1.9058956916099772,0.06349206349206356,0.06349206349206356,0.06349206349206356,0.25396825396825423,0.1984126984126983,2.7222222222222223,0.0015873015873015758,0.00396825396825394,1.5555555555555551,0.04761904761904754,0.9603174603174606
#coronis,1.9058956916099772,6.722222222222222,0.06349206349206356,0.06349206349206356,0.06349206349206356,2.6825396825396832,0.1984126984126983,0.19160997732426308,0.0015873015873015758,1.4325396825396823,1.5555555555555551,0.04761904761904754,0.9603174603174606
#carondas,0.06349206349206349,0.06349206349206349,14.222222222222221,14.222222222222221,14.222222222222221,0.013888888888888902,0.6944444444444445,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.1111111111111111
#carondas,0.06349206349206349,0.06349206349206349,14.222222222222221,14.222222222222221,14.222222222222221,0.013888888888888902,0.6944444444444445,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.1111111111111111
#carondas,0.06349206349206349,0.06349206349206349,14.222222222222221,14.222222222222221,14.222222222222221,0.013888888888888902,0.6944444444444445,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.1111111111111111
#le-chevalier,0.25396825396825395,2.6825396825396823,0.013888888888888902,0.013888888888888902,0.013888888888888902,5.555555555555556,0.027777777777777804,0.39682539682539686,0.02222222222222224,0.6805555555555554,1.7777777777777777,0.1666666666666666,0.6944444444444445
