VALEUR,#l-hiver,#comus,#l-hymen,#la-mode,#le-pharaon,#le-bal,#la-medisance,#hector-criquet,#la-volupte,#jeux-ris
Fréquences (scènes),0.4,0.7333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
Fréquences(répliques),0.09865005192107996,0.3032191069574247,0.07476635514018691,0.07892004153686397,0.09034267912772585,0.08722741433021806,0.11630321910695743,0.01973001038421599,0.05088265835929388,0.07995846313603323
Confrontation,0.21428571428571427,0.42857142857142855,0.14285714285714285,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0
Déviations,#l-hiver,#comus,#l-hymen,#la-mode,#le-pharaon,#le-bal,#la-medisance,#hector-criquet,#la-volupte,#jeux-ris
#l-hiver,5.399999999999998,0.03636363636363627,0.03333333333333339,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.8000000000000002
#comus,0.036363636363636424,1.0666666666666669,0.29090909090909073,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.09696969696969701,0.7333333333333333,1.4666666666666666
#l-hymen,0.03333333333333339,0.2909090909090912,9.599999999999998,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001
#la-mode,0.4000000000000001,0.09696969696969701,0.20000000000000004,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
#le-pharaon,0.4000000000000001,0.09696969696969701,0.20000000000000004,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
#le-bal,0.4000000000000001,0.09696969696969701,0.20000000000000004,0.06666666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333
#la-medisance,0.4000000000000001,0.09696969696969701,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667,0.06666666666666667,0.13333333333333333
#hector-criquet,0.4000000000000001,0.09696969696969701,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,0.06666666666666667,0.13333333333333333
#la-volupte,0.8999999999999999,0.7333333333333333,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,13.066666666666668,0.13333333333333333
#jeux-ris,0.8000000000000002,1.4666666666666666,0.4000000000000001,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,11.266666666666667
Successions,#l-hiver,#comus,#l-hymen,#la-mode,#le-pharaon,#le-bal,#la-medisance,#hector-criquet,#la-volupte,#jeux-ris
#l-hiver,0.05,0.775,0.05,0.0,0.0,0.0,0.0,0.0,0.125,0.0
#comus,0.19594594594594594,0.02027027027027027,0.11486486486486487,0.1554054054054054,0.10135135135135136,0.13513513513513514,0.11486486486486487,0.1554054054054054,0.006756756756756757,0.0
#l-hymen,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-mode,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pharaon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pharaon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pharaon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-pharaon,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-volupte,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#jeux-ris,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
