VALEUR,#proserpine,#pluton,#mercure,#pasquin,#arlequin,#silvia,#cinthio,#pantalon,#violette,#rosette,#scaramouche,#un-paysan,#la-fille,#le-garçon,#caron,#mademoiselle-romanville,#mathanasius,#mademoiselle-decoulisses,#l-hotelier,#le-suisse
Fréquences (scènes),0.1,0.23333333333333334,0.2,0.06666666666666667,0.4666666666666667,0.26666666666666666,0.13333333333333333,0.2,0.16666666666666666,0.1,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.0,0.0,0.1,0.0,0.16,0.04,0.0,0.0,0.0,0.04,0.0,0.34,0.0,0.02,0.0,0.0,0.24,0.06,0.0,0.0
Confrontation,0.036585365853658534,0.06707317073170732,0.0975609756097561,0.012195121951219513,0.17073170731707318,0.10365853658536585,0.07317073170731707,0.08536585365853659,0.08536585365853659,0.06097560975609756,0.024390243902439025,0.042682926829268296,0.006097560975609756,0.006097560975609756,0.06097560975609756,0.012195121951219513,0.012195121951219513,0.006097560975609756,0.018292682926829267,0.018292682926829267
Déviations,#proserpine,#pluton,#mercure,#pasquin,#arlequin,#silvia,#cinthio,#pantalon,#violette,#rosette,#scaramouche,#un-paysan,#la-fille,#le-garçon,#caron,#mademoiselle-romanville,#mathanasius,#mademoiselle-decoulisses,#l-hotelier,#le-suisse
#proserpine,24.3,2.4142857142857146,0.2666666666666665,0.20000000000000004,0.25714285714285723,0.8000000000000002,0.4000000000000001,0.6000000000000001,0.5,0.30000000000000004,0.10000000000000002,0.30000000000000004,0.10000000000000002,0.10000000000000002,0.2666666666666665,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#pluton,2.4142857142857133,17.633333333333336,4.8285714285714265,0.4666666666666667,0.491156462585034,1.8666666666666667,0.9333333333333333,1.4000000000000001,0.5952380952380955,0.7000000000000001,0.23333333333333334,0.7000000000000001,0.23333333333333334,0.23333333333333334,0.11428571428571435,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334
#mercure,0.2666666666666665,4.828571428571429,19.199999999999996,0.4000000000000001,0.5142857142857145,0.22500000000000006,0.049999999999999975,0.03333333333333339,4.0,0.2666666666666665,0.20000000000000004,0.6000000000000001,0.20000000000000004,0.20000000000000004,1.2000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#pasquin,0.20000000000000004,0.4666666666666667,0.4000000000000001,26.133333333333336,0.00476190476190476,0.4083333333333334,0.26666666666666666,0.4000000000000001,0.3333333333333333,0.20000000000000004,0.06666666666666667,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#arlequin,0.257142857142857,0.491156462585034,0.514285714285714,0.00476190476190476,8.533333333333333,0.8047619047619048,0.4023809523809524,0.014285714285714247,0.1904761904761907,0.257142857142857,0.4666666666666667,0.11428571428571435,0.4666666666666667,0.4666666666666667,0.514285714285714,0.4666666666666667,0.4666666666666667,0.6095238095238095,0.6095238095238095,0.6095238095238095
#silvia,0.8000000000000002,1.8666666666666667,0.22500000000000006,0.4083333333333334,0.8047619047619048,16.133333333333336,8.066666666666668,0.09999999999999995,0.0833333333333333,6.050000000000001,2.016666666666667,1.7999999999999998,0.26666666666666666,0.26666666666666666,1.6000000000000003,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
