VALEUR,#margot,#claudine,#lucas,#l-olive,#eraste,#le-collecteur,#le-collecteur-lucas,#premiere-paysanne,#premier-paysan,#second-paysan,#seconde-paysanne,#ensemble
Fréquences (scènes),0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.0,0.0,0.17307692307692307,0.19230769230769232,0.0,0.0,0.0,0.038461538461538464,0.25,0.17307692307692307,0.1346153846153846,0.038461538461538464
Confrontation,0.17567567567567569,0.0945945945945946,0.14864864864864866,0.16216216216216217,0.18243243243243243,0.07432432432432433,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.02702702702702703
Déviations,#margot,#claudine,#lucas,#l-olive,#eraste,#le-collecteur,#le-collecteur-lucas,#premiere-paysanne,#premier-paysan,#second-paysan,#seconde-paysanne,#ensemble
#margot,2.1176470588235285,0.0035650623885917746,0.005347593582887717,0.0342245989304813,0.0342245989304813,0.5775401069518714,0.19251336898395718,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
#claudine,0.0035650623885917746,7.117647058823529,1.4912854030501093,0.07941176470588233,0.06274509803921571,0.8366013071895425,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.3529411764705882,0.3529411764705882
#lucas,0.005347593582887662,1.4912854030501093,3.7647058823529416,0.09411764705882357,0.09411764705882357,0.10675381263616551,0.41830065359477125,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
#l-olive,0.0342245989304813,0.07941176470588245,0.09411764705882357,2.8823529411764697,0.7623529411764702,0.331372549019608,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471
#eraste,0.0342245989304813,0.06274509803921559,0.09411764705882357,0.7623529411764702,2.8823529411764697,0.031372549019607794,0.28823529411764703,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471
#le-collecteur,0.5775401069518714,0.8366013071895425,0.10675381263616551,0.33137254901960783,0.03137254901960786,11.529411764705882,3.843137254901961,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941
#le-collecteur-lucas,0.19251336898395718,0.35294117647058826,0.41830065359477125,0.5882352941176471,0.28823529411764703,3.8431372549019605,15.058823529411764,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
#premiere-paysanne,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764
#premiere-paysanne,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764
#premiere-paysanne,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764
#premiere-paysanne,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764
#premiere-paysanne,0.6470588235294118,0.35294117647058826,0.5294117647058824,0.5882352941176471,0.5882352941176471,0.17647058823529413,0.058823529411764705,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764
Successions,#margot,#claudine,#lucas,#l-olive,#eraste,#le-collecteur,#le-collecteur-lucas,#premiere-paysanne,#premier-paysan,#second-paysan,#seconde-paysanne,#ensemble
#margot,0.0,0.2289156626506024,0.3493975903614458,0.26506024096385544,0.0963855421686747,0.060240963855421686,0.0,0.0,0.0,0.0,0.0,0.0
#claudine,0.5454545454545454,0.0,0.0,0.12121212121212122,0.12121212121212122,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0
#lucas,0.4838709677419355,0.03225806451612903,0.0,0.2903225806451613,0.14516129032258066,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0
#l-olive,0.3958333333333333,0.08333333333333333,0.375,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0
#eraste,0.3793103448275862,0.10344827586206896,0.27586206896551724,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
#le-collecteur,0.3333333333333333,0.2777777777777778,0.3333333333333333,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-collecteur-lucas,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premiere-paysanne,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#premier-paysan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
#second-paysan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
#seconde-paysanne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
