VALEUR,#tarquin,#collatin,#brute,#libane,#lucrece,#livie,#cornelie,#procule,#le-pere
Fréquences (scènes),0.47619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.42857142857142855,0.38095238095238093,0.23809523809523808,0.047619047619047616,0.09523809523809523
Fréquences(répliques),0.24173027989821882,0.1342239185750636,0.178117048346056,0.04961832061068702,0.2627226463104326,0.07888040712468193,0.03307888040712468,0.00826972010178117,0.013358778625954198
Confrontation,0.1111111111111111,0.13333333333333333,0.12222222222222222,0.06666666666666667,0.18888888888888888,0.17777777777777778,0.1111111111111111,0.022222222222222223,0.06666666666666667
Déviations,#tarquin,#collatin,#brute,#libane,#lucrece,#livie,#cornelie,#procule,#le-pere
#tarquin,5.761904761904762,0.007142857142857182,0.060952380952380945,0.004761904761904773,0.3857142857142856,3.8095238095238093,2.380952380952381,0.47619047619047616,0.9523809523809523
#collatin,0.007142857142857182,10.714285714285714,4.62857142857143,1.1428571428571428,0.12698412698412687,0.7232142857142856,1.4285714285714284,0.2857142857142857,3.5714285714285716
#brute,0.060952380952380945,4.62857142857143,12.19047619047619,0.9523809523809523,0.009523809523809516,0.4297619047619047,1.1904761904761905,0.23809523809523808,4.876190476190476
#libane,0.004761904761904773,1.1428571428571428,0.9523809523809523,13.761904761904763,0.29761904761904756,0.14880952380952386,0.0023809523809523864,0.19047619047619047,0.38095238095238093
#lucrece,0.3857142857142856,0.12698412698412687,0.009523809523809516,0.29761904761904756,6.857142857142859,0.7202380952380955,0.3428571428571429,0.42857142857142855,0.023809523809523826
#livie,3.8095238095238093,0.7232142857142856,0.4297619047619047,0.14880952380952386,0.7202380952380955,8.04761904761905,5.029761904761906,1.0059523809523812,0.07440476190476193
#cornelie,2.380952380952381,1.4285714285714284,1.1904761904761905,0.0023809523809523864,0.3428571428571429,5.029761904761906,12.19047619047619,2.438095238095238,0.47619047619047616
#procule,0.47619047619047616,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.42857142857142855,1.0059523809523812,2.438095238095238,19.047619047619047,0.09523809523809523
#le-pere,0.9523809523809523,3.5714285714285716,4.876190476190476,0.38095238095238093,0.023809523809523826,0.07440476190476193,0.47619047619047616,0.09523809523809523,17.190476190476193
Successions,#tarquin,#collatin,#brute,#libane,#lucrece,#livie,#cornelie,#procule,#le-pere
#tarquin,0.07547169811320754,0.09433962264150944,0.4339622641509434,0.05660377358490566,0.33962264150943394,0.0,0.0,0.0,0.0
#collatin,0.12903225806451613,0.0,0.6129032258064516,0.0,0.12903225806451613,0.03225806451612903,0.0,0.0,0.0967741935483871
#brute,0.4888888888888889,0.4222222222222222,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.06666666666666667
#libane,0.17647058823529413,0.0,0.0,0.0,0.35294117647058826,0.4117647058823529,0.058823529411764705,0.0,0.0
#lucrece,0.4444444444444444,0.044444444444444446,0.022222222222222223,0.13333333333333333,0.022222222222222223,0.3111111111111111,0.022222222222222223,0.0,0.0
#livie,0.03333333333333333,0.0,0.03333333333333333,0.26666666666666666,0.36666666666666664,0.0,0.26666666666666666,0.03333333333333333,0.0
#cornelie,0.0,0.0,0.0,0.0,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091,0.0
#procule,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
#le-pere,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
