VALEUR,#newcastle,#euric,#norfolk,#morray,#lancastre,#elisabeth,#marie-stuard,#killegre,#melvin
Fréquences (scènes),0.21875,0.15625,0.40625,0.375,0.09375,0.40625,0.1875,0.0625,0.03125
Fréquences(répliques),0.1784064665127021,0.011547344110854504,0.2840646651270208,0.17321016166281755,0.027136258660508082,0.2471131639722864,0.07043879907621248,0.0040415704387990765,0.0040415704387990765
Confrontation,0.11764705882352941,0.10294117647058823,0.19117647058823528,0.17647058823529413,0.04411764705882353,0.20588235294117646,0.10294117647058823,0.04411764705882353,0.014705882352941176
Déviations,#newcastle,#euric,#norfolk,#morray,#lancastre,#elisabeth,#marie-stuard,#killegre,#melvin
#newcastle,19.53125,0.7508928571428571,0.2503434065934066,0.05357142857142857,0.65625,1.1953983516483517,1.3125,0.4375,0.21875
#euric,0.7508928571428571,22.78125,0.0004807692307692308,0.4083333333333333,0.46875,0.0004807692307692308,0.9375,0.3125,0.15625
#norfolk,0.2503434065934066,0.0004807692307692308,11.28125,3.0801282051282053,1.21875,0.9853920118343196,0.12980769230769232,1.7355769230769231,0.40625
#morray,0.05357142857142857,0.4083333333333333,3.0801282051282053,12.5,0.013888888888888888,0.003205128205128205,0.6944444444444444,0.75,0.375
#lancastre,0.65625,0.46875,1.21875,0.013888888888888888,26.28125,0.500801282051282,0.5625,0.1875,0.09375
#elisabeth,1.1953983516483517,0.0004807692307692308,0.9853920118343196,0.003205128205128205,0.500801282051282,11.28125,0.8477564102564102,0.8125,0.40625
#marie-stuard,1.3125,0.9375,0.12980769230769232,0.6944444444444444,0.5625,0.8477564102564102,21.125,1.0416666666666667,3.5208333333333335
#killegre,0.4375,0.3125,1.7355769230769231,0.75,0.1875,0.8125,1.0416666666666667,28.125,0.0625
#melvin,0.21875,0.15625,0.40625,0.375,0.09375,0.40625,3.5208333333333335,0.0625,30.03125
Successions,#newcastle,#euric,#norfolk,#morray,#lancastre,#elisabeth,#marie-stuard,#killegre,#melvin
#newcastle,0.034482758620689655,0.034482758620689655,0.4482758620689655,0.3103448275862069,0.0,0.13793103448275862,0.034482758620689655,0.0,0.0
#euric,0.2,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0
#norfolk,0.3023255813953488,0.046511627906976744,0.06976744186046512,0.023255813953488372,0.0,0.37209302325581395,0.13953488372093023,0.046511627906976744,0.0
#morray,0.2571428571428571,0.0,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.5428571428571428,0.05714285714285714,0.0,0.0
#lancastre,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,0.0,0.0,0.0
#elisabeth,0.09090909090909091,0.03636363636363636,0.23636363636363636,0.38181818181818183,0.12727272727272726,0.07272727272727272,0.03636363636363636,0.01818181818181818,0.0
#marie-stuard,0.0,0.0,0.5333333333333333,0.13333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0,0.13333333333333333
#killegre,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#melvin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
