VALEUR,#helvie,#marcia,#julie,#laetus,#commode,#electus,#lucie,#flavian
Fréquences (scènes),0.5,0.53125,0.09375,0.34375,0.25,0.3125,0.0625,0.15625
Fréquences(répliques),0.2058379466532461,0.2486160040261701,0.02214393558127831,0.10870659285354806,0.1952692501258178,0.14997483643683945,0.012581781580271767,0.05686965274282838
Confrontation,0.22,0.24,0.04,0.16,0.1,0.14,0.03,0.07
Déviations,#helvie,#marcia,#julie,#laetus,#commode,#electus,#lucie,#flavian
#helvie,8.0,0.2647058823529412,1.5,0.045454545454545456,0.25,3.2,1.0,0.1
#marcia,0.2647058823529412,7.03125,0.22120098039215685,0.5817179144385026,1.1911764705882353,0.5360294117647059,0.8272058823529411,1.0327205882352941
#julie,1.5,0.22120098039215685,26.28125,1.03125,0.75,0.9375,0.1875,0.46875
#laetus,0.045454545454545456,0.5817179144385026,1.03125,13.78125,0.20454545454545456,0.09204545454545454,0.6875,0.30056818181818185
#commode,0.25,1.1911764705882353,0.75,0.20454545454545456,18.0,0.9,0.5,0.45
#electus,3.2,0.5360294117647059,0.9375,0.09204545454545454,0.9,15.125,0.225,1.5625
#lucie,1.0,0.8272058823529411,0.1875,0.6875,0.5,0.225,28.125,0.3125
#flavian,0.1,1.0327205882352941,0.46875,0.30056818181818185,0.45,1.5625,0.3125,22.78125
Successions,#helvie,#marcia,#julie,#laetus,#commode,#electus,#lucie,#flavian
#helvie,0.011363636363636364,0.32954545454545453,0.10227272727272728,0.3068181818181818,0.125,0.011363636363636364,0.0,0.11363636363636363
#marcia,0.3516483516483517,0.04395604395604396,0.03296703296703297,0.07692307692307693,0.0989010989010989,0.3076923076923077,0.07692307692307693,0.01098901098901099
#julie,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#laetus,0.5,0.14,0.0,0.0,0.18,0.18,0.0,0.0
#commode,0.2857142857142857,0.21428571428571427,0.0,0.19047619047619047,0.047619047619047616,0.11904761904761904,0.0,0.14285714285714285
#electus,0.0,0.6818181818181818,0.0,0.18181818181818182,0.13636363636363635,0.0,0.0,0.0
#lucie,0.0,0.8571428571428571,0.0,0.0,0.0,0.14285714285714285,0.0,0.0
#flavian,0.5882352941176471,0.11764705882352941,0.0,0.0,0.29411764705882354,0.0,0.0,0.0
