VALEUR,#agenor,#astrate,#nerbal,#sichee,#bazore,#elise,#corisbe,#belus,#geraste,#nicogene
Fréquences (scènes),0.2608695652173913,0.5652173913043478,0.043478260869565216,0.43478260869565216,0.08695652173913043,0.43478260869565216,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.08695652173913043
Fréquences(répliques),0.14078794901506372,0.2827346465816918,0.0017381228273464658,0.19351100811123986,0.009849362688296639,0.28389339513325607,0.05793742757821553,0.006373117033603708,0.016801853997682505,0.006373117033603708
Confrontation,0.09722222222222222,0.25,0.013888888888888888,0.19444444444444445,0.041666666666666664,0.18055555555555555,0.09722222222222222,0.013888888888888888,0.05555555555555555,0.05555555555555555
Déviations,#agenor,#astrate,#nerbal,#sichee,#bazore,#elise,#corisbe,#belus,#geraste,#nicogene
#agenor,12.56521739130435,0.04515050167224079,2.094202898550724,0.9920289855072464,0.5217391304347826,0.9920289855072464,1.3043478260869565,0.2608695652173913,0.43840579710144933,0.5217391304347826
#astrate,0.0451505016722407,4.347826086956526,0.5652173913043478,0.07525083612040119,1.1304347826086956,0.48294314381270864,0.24147157190635432,0.3344481605351171,0.6688963210702342,0.01505016722408025
#nerbal,2.094202898550724,0.5652173913043478,21.043478260869566,0.43478260869565216,0.08695652173913043,0.43478260869565216,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.08695652173913043
#sichee,0.9920289855072464,0.07525083612040119,0.43478260869565216,7.347826086956523,1.4695652173913045,0.4178260869565216,0.6339130434782608,0.43478260869565216,0.8695652173913043,1.4695652173913045
#bazore,0.5217391304347826,1.1304347826086956,0.08695652173913043,1.4695652173913045,19.17391304347826,0.8695652173913043,0.43478260869565216,0.08695652173913043,0.17391304347826086,3.9239130434782608
#elise,0.9920289855072464,0.48294314381270864,0.43478260869565216,0.4178260869565216,0.8695652173913043,7.347826086956523,1.533913043478261,0.43478260869565216,0.019565217391304356,0.8695652173913043
#corisbe,1.3043478260869565,0.24147157190635432,0.21739130434782608,0.6339130434782608,0.43478260869565216,1.533913043478261,14.08695652173913,0.21739130434782608,0.43478260869565216,0.43478260869565216
#belus,0.2608695652173913,0.3344481605351171,0.043478260869565216,0.43478260869565216,0.08695652173913043,0.43478260869565216,0.21739130434782608,21.043478260869566,0.08695652173913043,0.08695652173913043
#geraste,0.43840579710144933,0.6688963210702342,0.08695652173913043,0.8695652173913043,0.17391304347826086,0.019565217391304356,0.43478260869565216,0.08695652173913043,19.17391304347826,0.17391304347826086
#nicogene,0.5217391304347826,0.01505016722408025,0.08695652173913043,1.4695652173913045,3.9239130434782608,0.8695652173913043,0.43478260869565216,0.08695652173913043,0.17391304347826086,19.17391304347826
Successions,#agenor,#astrate,#nerbal,#sichee,#bazore,#elise,#corisbe,#belus,#geraste,#nicogene
#agenor,0.03125,0.5,0.0625,0.15625,0.0,0.0625,0.0,0.0,0.1875,0.0
#astrate,0.14912280701754385,0.017543859649122806,0.0,0.40350877192982454,0.0,0.2982456140350877,0.10526315789473684,0.017543859649122806,0.0,0.008771929824561403
#nerbal,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#sichee,0.06944444444444445,0.6388888888888888,0.013888888888888888,0.0,0.027777777777777776,0.2222222222222222,0.0,0.0,0.0,0.027777777777777776
#bazore,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
#elise,0.014285714285714285,0.4714285714285714,0.0,0.24285714285714285,0.0,0.0,0.2571428571428571,0.0,0.014285714285714285,0.0
#corisbe,0.03333333333333333,0.4,0.0,0.0,0.0,0.5666666666666667,0.0,0.0,0.0,0.0
#belus,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
#geraste,0.8571428571428571,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicogene,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
